# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097737103181e+01 
       2.326967407118e-05       1.107710293080e+02 
       3.616373025385e-05       1.695898509985e+02 
       4.913726151694e-05       2.280370865506e+02 
       6.222535674519e-05       2.864601754115e+02 
       7.546398425925e-05       3.451220205847e+02 
       8.889031306114e-05       4.042490829328e+02 
       1.025430482400e-04       4.640510991291e+02 
       1.164627848241e-04       5.247312501064e+02 
       1.306923843984e-04       5.864923603146e+02 
       1.452773788140e-04       6.495412199414e+02 
       1.602664052592e-04       7.140919528234e+02 
       1.757116767896e-04       7.803689573624e+02 
       1.916694920592e-04       8.486095774305e+02 
       2.082007873531e-04       9.190667125851e+02 
       2.253717329846e-04       9.920112011360e+02 
       2.432543744979e-04       1.067734714415e+03 
       2.619273167265e-04       1.146552045967e+03 
       2.814764453069e-04       1.228803885191e+03 
       3.019956754356e-04       1.314859328201e+03 
       3.235877111086e-04       1.405118324709e+03 
       3.463647893982e-04       1.500013949802e+03 
       3.704493731400e-04       1.600014313838e+03 
       3.959747414598e-04       1.705623418029e+03 
       4.230854108700e-04       1.817381851588e+03 
       4.519373007024e-04       1.935865778573e+03 
       4.826975366868e-04       2.061683958650e+03 
       5.155437679602e-04       2.195473152031e+03 
       5.506628596178e-04       2.337890396072e+03 
       5.882488207355e-04       2.489602344427e+03 
       6.284998437510e-04       2.651270911484e+03 
       6.716143729589e-04       2.823535152010e+03 
       7.177861941321e-04       3.006989669206e+03 
       7.671986460617e-04       3.202160175063e+03 
       8.200181922824e-04       3.409476904911e+03 
       8.763877404929e-04       3.629248931386e+03 
       9.364202297721e-04       3.861640039408e+03 
       1.000193085873e-03       4.106649836272e+03 
       1.067744139097e-03       4.364101827031e+03 
       1.139069488995e-03       4.633640989596e+03 
       1.214123592691e-03       4.914740009048e+03 
       1.292821585146e-03       5.206716318108e+03 
       1.375043566260e-03       5.508735149875e+03 
       1.460640369998e-03       5.819877612570e+03 
       1.549440206739e-03       6.139178168059e+03 
       1.641255555047e-03       6.465611447717e+03 
       1.735889757970e-03       6.798143464415e+03 
       1.833142917693e-03       7.135753850919e+03 
       1.932816842085e-03       7.477457929619e+03 
       2.034718945141e-03       7.822320283431e+03 
       2.138665120595e-03       8.169465289667e+03 
       2.244481687023e-03       8.518083814958e+03 
       2.352006545691e-03       8.867435018228e+03 
       2.461089706729e-03       9.216848051288e+03 
       2.571593333874e-03       9.565718583142e+03 
       2.683391441209e-03       9.913506400339e+03 
       2.796369353385e-03       1.025973119425e+04 
       2.910423018044e-03       1.060396942790e+04 
       3.025458238157e-03       1.094584508357e+04 
       3.141389873900e-03       1.128503971266e+04 
       3.258141048979e-03       1.162125127389e+04 
       3.375642384775e-03       1.195424682090e+04 
       3.493831276973e-03       1.228380744640e+04 
       3.612651222911e-03       1.260974755169e+04 
       3.732051203381e-03       1.293191021538e+04 
       3.851985119443e-03       1.325015875810e+04 
       3.972411282778e-03       1.356438027516e+04 
       4.093291956816e-03       1.387447481976e+04 
       4.214592945137e-03       1.418036914393e+04 
       4.336283223305e-03       1.448198574146e+04 
       4.458334610212e-03       1.477928316599e+04 
       4.580721475085e-03       1.507221156928e+04 
       4.703420476514e-03       1.536073623764e+04 
       4.826410330102e-03       1.564480035140e+04 
       4.949671601620e-03       1.592446807941e+04 
       5.073186522822e-03       1.619967055543e+04 
       5.196938827396e-03       1.647041101550e+04 
       5.320913604738e-03       1.673678019899e+04 
       5.445097169534e-03       1.699869790556e+04 
       5.569476945340e-03       1.725620044884e+04 
       5.694041360547e-03       1.750928615002e+04 
       5.818779755339e-03       1.775798168880e+04 
       5.943682298366e-03       1.800183704625e+04 
       6.068739912061e-03       1.824179229590e+04 
       6.193944205599e-03       1.847744655591e+04 
       6.319287414666e-03       1.870880061053e+04 
       6.444762347267e-03       1.893592318998e+04 
       6.570362334913e-03       1.915867552008e+04 
       6.696081188603e-03       1.937747860615e+04 
       6.821913159065e-03       1.959205028452e+04 
       6.947852900830e-03       1.980236878698e+04 
       7.073895439691e-03       2.000864400487e+04 
       7.200036143231e-03       2.021104108738e+04 
       7.326270694071e-03       2.040923159871e+04 
       7.452595065570e-03       2.060362154734e+04 
       7.579005499726e-03       2.079400319956e+04 
       7.705498487058e-03       2.098060161028e+04 
       7.832070748261e-03       2.116362467372e+04 
       7.958719217469e-03       2.134285891337e+04 
       8.085441026969e-03       2.151754770539e+04 
       8.212233493217e-03       2.168904060438e+04 
       8.339094104040e-03       2.185665541726e+04 
       8.466020506906e-03       2.202081820884e+04 
       8.593010498167e-03       2.218204249312e+04 
       8.720062013184e-03       2.233889100576e+04 
       8.847173117248e-03       2.249223705064e+04 
       8.974341997231e-03       2.264203885636e+04 
       9.101566953904e-03       2.278772490589e+04 
       9.228846394849e-03       2.293053470487e+04 
       9.356178827935e-03       2.306976336755e+04 
       9.483562855287e-03       2.320707030008e+04 
       9.610997167722e-03       2.333987557422e+04 
       9.738480539603e-03       2.346833352672e+04 
       9.866011824080e-03       2.359585052599e+04 
       9.993589948689e-03       2.371781576484e+04 
       1.012121391127e-02       2.383808983744e+04 
       1.024888277620e-02       2.395464204816e+04 
       1.037659567085e-02       2.406882241383e+04 
       1.050435178240e-02       2.417893794391e+04 
       1.063215035476e-02       2.428785030808e+04 
       1.075999068579e-02       2.439152312320e+04 
       1.088787212472e-02       2.449316511495e+04 
       1.101579406970e-02       2.459197523808e+04 
       1.114375596555e-02       2.468899472021e+04 
       1.127175730171e-02       2.478189056527e+04 
       1.139979761025e-02       2.487126373291e+04 
       1.152787646409e-02       2.495944214985e+04 
       1.165599347531e-02       2.504299413509e+04 
       1.178414829358e-02       2.512499870552e+04 
       1.191234060471e-02       2.520519728279e+04 
       1.204057012930e-02       2.528075682927e+04 
       1.216883662147e-02       2.535568181149e+04 
       1.229713986770e-02       2.542679118104e+04 
       1.242547968574e-02       2.549480157371e+04 
       1.255385592360e-02       2.556196921726e+04 
       1.268226845859e-02       2.562464763554e+04 
       1.281071719650e-02       2.568544784344e+04 
       1.293920207075e-02       2.574492856187e+04 
       1.306772304166e-02       2.580050828770e+04 
       1.319628009576e-02       2.585443788902e+04 
       1.332487324514e-02       2.590693186100e+04 
       1.345350252690e-02       2.595656351842e+04 
       1.358216800256e-02       2.600239404874e+04 
       1.371086975761e-02       2.604797098900e+04 
       1.383960790101e-02       2.608942277791e+04 
       1.396838256483e-02       2.613057504716e+04 
       1.409719390384e-02       2.616869573713e+04 
       1.422604209517e-02       2.620428642032e+04 
       1.435492733802e-02       2.623812879630e+04 
       1.448384985339e-02       2.626942238752e+04 
       1.461280988382e-02       2.629883238902e+04 
       1.474180769318e-02       2.632535212753e+04 
       1.487084356650e-02       2.635060233638e+04 
       1.499991780983e-02       2.637380512670e+04 
       1.512903075006e-02       2.639637357029e+04 
       1.525818273484e-02       2.641450128591e+04 
       1.538737413253e-02       2.643197350554e+04 
       1.551660533208e-02       2.644745689879e+04 
       1.564587674306e-02       2.646224157344e+04 
       1.577518879559e-02       2.647285355727e+04 
       1.590454194039e-02       2.648290234640e+04 
       1.603393664878e-02       2.649110164122e+04 
       1.616337341274e-02       2.649852299782e+04 
       1.629285274500e-02       2.650173121045e+04 
       1.642237517907e-02       2.650493410627e+04 
       1.655194126939e-02       2.650601170517e+04 
       1.668155159146e-02       2.650635091792e+04 
       1.681120674194e-02       2.650401690049e+04 
       1.694090733885e-02       2.650033525296e+04 
       1.707065402172e-02       2.649468491001e+04 
       1.720044745181e-02       2.648737920284e+04 
       1.733028831227e-02       2.647827826925e+04 
       1.746017730845e-02       2.646787663886e+04 
       1.759011516805e-02       2.645634029636e+04 
       1.772010264146e-02       2.644293555544e+04 
       1.785014050199e-02       2.642883900488e+04 
       1.798022954618e-02       2.641258473480e+04 
       1.811037059412e-02       2.639449413948e+04 
       1.824056448975e-02       2.637516542812e+04 
       1.837081210124e-02       2.635485483765e+04 
       1.850111432132e-02       2.633325122567e+04 
       1.863147206769e-02       2.631020977661e+04 
       1.876188628337e-02       2.628522509191e+04 
       1.889235793715e-02       2.625969079822e+04 
       1.902288802400e-02       2.623165941762e+04 
