# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.489562692483e-10       1.081454478121e-14       5.887052511660e-13       0.000000000000e+00       8.663531109934e-09       4.867012196335e-10      -2.962702883240e-12 
    3       1.402510771256e-10       2.197951990458e-14       8.082942834197e-13       0.000000000000e+00       5.347726350569e-09       3.484514987945e-10      -2.831541055617e-12 
    4       1.312707014482e-10       3.106105058857e-14       9.015047033004e-13       0.000000000000e+00       3.719316535062e-09       2.665536198021e-10      -2.491005064217e-12 
    5       1.237848611862e-10       3.547701369084e-14       9.063904117713e-13       0.000000000000e+00       2.776092185845e-09       2.126993228807e-10      -2.091108523436e-12 
    6       1.179270265090e-10       3.468338545519e-14       8.556901606944e-13       0.000000000000e+00       2.169168475148e-09       1.746801705444e-10      -1.681065205449e-12 
    7       1.134668437664e-10       2.981756384630e-14       7.742089873969e-13       0.000000000000e+00       1.750688397807e-09       1.464489155003e-10      -1.289498718662e-12 
    8       1.101989848651e-10       2.284493596136e-14       6.780825522373e-13       0.000000000000e+00       1.447571570086e-09       1.247297958936e-10      -9.342195159952e-13 
    9       1.079109857745e-10       1.573275028673e-14       5.778534749122e-13       0.000000000000e+00       1.219651409748e-09       1.076086422307e-10      -6.263543296382e-13 
   10       1.064100770682e-10       9.884237315804e-15       4.806156645322e-13       0.000000000000e+00       1.043008149587e-09       9.382434844673e-11      -3.717475707016e-13 
   11       1.055863313246e-10       5.924551927090e-15       3.913570389882e-13       0.000000000000e+00       8.787392389251e-10       8.265702482542e-11      -1.733879074048e-13 
   12       1.052543671719e-10       3.788785453979e-15       3.138383550959e-13       0.000000000000e+00       7.679899153436e-10       7.302420744304e-11      -2.687724046184e-14 
   13       1.053591584115e-10       2.985038881675e-15       2.507199591350e-13       0.000000000000e+00       6.770543184635e-10       6.515046301645e-11       7.300782326810e-14 
   14       1.057824696421e-10       2.893236639585e-15       2.035090863453e-13       0.000000000000e+00       6.013810429267e-10       5.833601265487e-11       1.303249308687e-13 
   15       1.064851245728e-10       2.995752487888e-15       1.724220223839e-13       0.000000000000e+00       5.376707382607e-10       5.262613013088e-11       1.536645285725e-13 
   16       1.073815045467e-10       2.992375001861e-15       1.562708384620e-13       0.000000000000e+00       4.834917955458e-10       4.774272917391e-11       1.504037853395e-13 
   17       1.084575308062e-10       2.804392663030e-15       1.527440326773e-13       0.000000000000e+00       4.370069966232e-10       4.351648451777e-11       1.280603377964e-13 
   18       1.096370169982e-10       2.510145248609e-15       1.588855975994e-13       0.000000000000e+00       3.966535209125e-10       3.985052835209e-11       9.398804354320e-14 
   19       1.109286654998e-10       2.225908120282e-15       1.719220973496e-13       0.000000000000e+00       3.617941233427e-10       3.668236072230e-11       5.378490281420e-14 
   20       1.123210389903e-10       2.076327097247e-15       1.882305705656e-13       0.000000000000e+00       3.310866054447e-10       3.387451075242e-11       1.346781801042e-14 
