# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097746713105e+01 
       2.326967407118e-05       1.107712921830e+02 
       3.616373025385e-05       1.695902720237e+02 
       4.913726151694e-05       2.280376810381e+02 
       6.222535674519e-05       2.864609687177e+02 
       7.546398425925e-05       3.451230720996e+02 
       8.889031306114e-05       4.042504336001e+02 
       1.025430482400e-04       4.640527799936e+02 
       1.164627848241e-04       5.247333486584e+02 
       1.306923843984e-04       5.864949547470e+02 
       1.452773788140e-04       6.495443924128e+02 
       1.602664052592e-04       7.140958077580e+02 
       1.757116767896e-04       7.803736242943e+02 
       1.916694920592e-04       8.486151773868e+02 
       2.082007873531e-04       9.190734020394e+02 
       2.253717329846e-04       9.920191516786e+02 
       2.432543744979e-04       1.067744107810e+03 
       2.619273167265e-04       1.146563075393e+03 
       2.814764453069e-04       1.228816782203e+03 
       3.019956754356e-04       1.314874273993e+03 
       3.235877111086e-04       1.405135567186e+03 
       3.463647893982e-04       1.500033678359e+03 
       3.704493731400e-04       1.600036640297e+03 
       3.959747414598e-04       1.705648496730e+03 
       4.230854108700e-04       1.817409761846e+03 
       4.519373007024e-04       1.935896322067e+03 
       4.826975366868e-04       2.061716693234e+03 
       5.155437679602e-04       2.195507276078e+03 
       5.506628596178e-04       2.337924601553e+03 
       5.882488207355e-04       2.489634567912e+03 
       6.284998437510e-04       2.651298024941e+03 
       6.716143729589e-04       2.823552739410e+03 
       7.177861941321e-04       3.006991534552e+03 
       7.671986460617e-04       3.202137682440e+03 
       8.200181922824e-04       3.409418917147e+03 
       8.763877404929e-04       3.629140725962e+03 
       9.364202297721e-04       3.861463114066e+03 
       1.000193085873e-03       4.106381456366e+03 
       1.067744139097e-03       4.363714518052e+03 
       1.139069488995e-03       4.633102795018e+03 
       1.214123592691e-03       4.914014471807e+03 
       1.292821585146e-03       5.205763190966e+03 
       1.375043566260e-03       5.507511466215e+03 
       1.460640369998e-03       5.818338343426e+03 
       1.549440206739e-03       6.137278021709e+03 
       1.641255555047e-03       6.463307975889e+03 
       1.735889757970e-03       6.795396715768e+03 
       1.833142917693e-03       7.132530573086e+03 
       1.932816842085e-03       7.473731860365e+03 
       2.034718945141e-03       7.818074034126e+03 
       2.138665120595e-03       8.164690551805e+03 
       2.244481687023e-03       8.512782772510e+03 
       2.352006545691e-03       8.861620036173e+03 
       2.461089706729e-03       9.210539440243e+03 
       2.571593333874e-03       9.558944363291e+03 
       2.683391441209e-03       9.906297314000e+03 
       2.796369353385e-03       1.025212862997e+04 
       2.910423018044e-03       1.059600197531e+04 
