# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.514246840008e-10       1.482190948008e-14       7.092972757237e-13       0.000000000000e+00       8.690158887834e-09       4.899332648432e-10      -3.379845993226e-12 
    3       1.429447085991e-10       3.444074774006e-14       1.041774298691e-12       0.000000000000e+00       5.337262113499e-09       3.522942882322e-10      -3.409066953568e-12 
    4       1.337427435340e-10       5.579816898031e-14       1.231393551354e-12       0.000000000000e+00       3.714098788217e-09       2.708278158126e-10      -3.184526669675e-12 
    5       1.257016073389e-10       7.390175632835e-14       1.306677542726e-12       0.000000000000e+00       2.774655764713e-09       2.172406339071e-10      -2.869933427272e-12 
    6       1.190447205088e-10       8.515739658866e-14       1.300466625053e-12       0.000000000000e+00       2.168915872338e-09       1.793895698400e-10      -2.514419229130e-12 
    7       1.136413463135e-10       8.807453016004e-14       1.241674676854e-12       0.000000000000e+00       1.750877458593e-09       1.512663673607e-10      -2.146205180241e-12 
    8       1.093536519224e-10       8.314607160067e-14       1.150914687691e-12       0.000000000000e+00       1.447604601917e-09       1.295889919625e-10      -1.783569639675e-12 
    9       1.060217010015e-10       7.230598043086e-14       1.042278181830e-12       0.000000000000e+00       1.219074409324e-09       1.124259107366e-10      -1.439366863247e-12 
   10       1.034996975694e-10       5.818761492386e-14       9.246968051041e-13       0.000000000000e+00       1.041872567067e-09       9.853009822401e-11      -1.122605437044e-12 
   11       1.017230342369e-10       4.341838841645e-14       8.035191669984e-13       0.000000000000e+00       8.784634937397e-10       8.703264104806e-11      -8.426371546971e-13 
   12       1.005193753160e-10       3.010115541495e-14       6.826951422871e-13       0.000000000000e+00       7.677464371786e-10       7.721038544455e-11      -5.980206634052e-13 
   13       9.982813012258e-11       1.954342391766e-14       5.656958874545e-13       0.000000000000e+00       6.768375949064e-10       6.909619334669e-11      -3.883068499583e-13 
   14       9.958091427189e-11       1.222316965077e-14       4.558989902177e-13       0.000000000000e+00       6.011870944451e-10       6.201428622182e-11      -2.184353716828e-13 
