# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097742491297e+01 
       2.326967407118e-05       1.107711869745e+02 
       3.616373025385e-05       1.695900991260e+02 
       4.913726151694e-05       2.280374270329e+02 
       6.222535674519e-05       2.864606137544e+02 
       7.546398425925e-05       3.451225804211e+02 
       8.889031306114e-05       4.042497767402e+02 
       1.025430482400e-04       4.640519390400e+02 
       1.164627848241e-04       5.247322639016e+02 
       1.306923843984e-04       5.864935725177e+02 
       1.452773788140e-04       6.495426528038e+02 
       1.602664052592e-04       7.140936390943e+02 
       1.757116767896e-04       7.803709301244e+02 
       1.916694920592e-04       8.486118932395e+02 
       2.082007873531e-04       9.190693619918e+02 
       2.253717329846e-04       9.920143388433e+02 
       2.432543744979e-04       1.067738286800e+03 
       2.619273167265e-04       1.146556148257e+03 
       2.814764453069e-04       1.228808542786e+03 
       3.019956754356e-04       1.314864589086e+03 
       3.235877111086e-04       1.405124217325e+03 
       3.463647893982e-04       1.500020489616e+03 
       3.704493731400e-04       1.600021412977e+03 
       3.959747414598e-04       1.705631095572e+03 
       4.230854108700e-04       1.817390030293e+03 
       4.519373007024e-04       1.935874162526e+03 
       4.826975366868e-04       2.061692241343e+03 
       5.155437679602e-04       2.195480617602e+03 
       5.506628596178e-04       2.337896294954e+03 
       5.882488207355e-04       2.489605557212e+03 
       6.284998437510e-04       2.651269542173e+03 
       6.716143729589e-04       2.823527016065e+03 
       7.177861941321e-04       3.006971637010e+03 
       7.671986460617e-04       3.202128035785e+03 
       8.200181922824e-04       3.409425392719e+03 
       8.763877404929e-04       3.629171449315e+03 
       9.364202297721e-04       3.861528178632e+03 
       1.000193085873e-03       4.106493952907e+03 
       1.067744139097e-03       4.363890277348e+03 
       1.139069488995e-03       4.633360826043e+03 
       1.214123592691e-03       4.914377443405e+03 
       1.292821585146e-03       5.206256594796e+03 
       1.375043566260e-03       5.508163044812e+03 
       1.460640369998e-03       5.819179046038e+03 
       1.549440206739e-03       6.138339827807e+03 
       1.641255555047e-03       6.464622347071e+03 
       1.735889757970e-03       6.796995157120e+03 
       1.833142917693e-03       7.134441508715e+03 
       1.932816842085e-03       7.475980847474e+03 
       2.034718945141e-03       7.820681186088e+03 
       2.138665120595e-03       8.167670819521e+03 
       2.244481687023e-03       8.516143403813e+03 
       2.352006545691e-03       8.865362277571e+03 
       2.461089706729e-03       9.214655660273e+03 
       2.571593333874e-03       9.563422404887e+03 
       2.683391441209e-03       9.911118306913e+03 
       2.796369353385e-03       1.025726407975e+04 
       2.910423018044e-03       1.060143129304e+04 
       3.025458238157e-03       1.094324439861e+04 
       3.141389873900e-03       1.128237069433e+04 
       3.258141048979e-03       1.161852361209e+04 
       3.375642384775e-03       1.195144930817e+04 
       3.493831276973e-03       1.228093142887e+04 
       3.612651222911e-03       1.260678340531e+04 
       3.732051203381e-03       1.292885316226e+04 
       3.851985119443e-03       1.324698060907e+04 
       3.972411282778e-03       1.356107875125e+04 
       4.093291956816e-03       1.387104216561e+04 
       4.214592945137e-03       1.417679295284e+04 
       4.336283223305e-03       1.447826931040e+04 
       4.458334610212e-03       1.477541777765e+04 
       4.580721475085e-03       1.506820239724e+04 
       4.703420476514e-03       1.535658982758e+04 
       4.826410330102e-03       1.564053105766e+04 
       4.949671601620e-03       1.592007188096e+04 
       5.073186522822e-03       1.619516126038e+04 
       5.196938827396e-03       1.646584433316e+04 
       5.320913604738e-03       1.673211103139e+04 
       5.445097169534e-03       1.699394891236e+04 
       5.569476945340e-03       1.725137705444e+04 
       5.694041360547e-03       1.750440150601e+04 
       5.818779755339e-03       1.775303010633e+04 
       5.943682298366e-03       1.799729540098e+04 
       6.068739912061e-03       1.823721010688e+04 
       6.193944205599e-03       1.847282313726e+04 
       6.319287414666e-03       1.870413731797e+04 
       6.444762347267e-03       1.893085219330e+04 
       6.570362334913e-03       1.915371182818e+04 
       6.696081188603e-03       1.937236301782e+04 
       6.821913159065e-03       1.958689051379e+04 
       6.947852900830e-03       1.979730396695e+04 
       7.073895439691e-03       2.000361840044e+04 
       7.200036143231e-03       2.020587371408e+04 
       7.326270694071e-03       2.040417618843e+04 
       7.452595065570e-03       2.059848457683e+04 
       7.579005499726e-03       2.078877412808e+04 
       7.705498487058e-03       2.097522208775e+04 
       7.832070748261e-03       2.115786341413e+04 
       7.958719217469e-03       2.133667691841e+04 
       8.085441026969e-03       2.151180348942e+04 
       8.212233493217e-03       2.168311666005e+04 
       8.339094104040e-03       2.185080864910e+04 
       8.466020506906e-03       2.201483355524e+04 
       8.593010498167e-03       2.217518174293e+04 
       8.720062013184e-03       2.233204337430e+04 
       8.847173117248e-03       2.248527492647e+04 
       8.974341997231e-03       2.263503151162e+04 
       9.101566953904e-03       2.278126192529e+04 
       9.228846394849e-03       2.292410801307e+04 
       9.356178827935e-03       2.306371080454e+04 
       9.483562855287e-03       2.319973441988e+04 
       9.610997167722e-03       2.333261280124e+04 
       9.738480539603e-03       2.346215278048e+04 
       9.866011824080e-03       2.358846905657e+04 
       9.993589948689e-03       2.371147991642e+04 
       1.012121391127e-02       2.383147391744e+04 
       1.024888277620e-02       2.394828631276e+04 
       1.037659567085e-02       2.406205786775e+04 
       1.050435178240e-02       2.417252338313e+04 
       1.063215035476e-02       2.428017290146e+04 
       1.075999068579e-02       2.438482148150e+04 
       1.088787212472e-02       2.448674259916e+04 
       1.101579406970e-02       2.458555488901e+04 
       1.114375596555e-02       2.468099567662e+04 
       1.127175730171e-02       2.477423538311e+04 
       1.139979761025e-02       2.486423717480e+04 
       1.152787646409e-02       2.495205030564e+04 
       1.165599347531e-02       2.503633250780e+04 
       1.178414829358e-02       2.511804255969e+04 
       1.191234060471e-02       2.519723975700e+04 
       1.204057012930e-02       2.527374792070e+04 
       1.216883662147e-02       2.534767385074e+04 
       1.229713986770e-02       2.541894024722e+04 
       1.242547968574e-02       2.548779274437e+04 
       1.255385592360e-02       2.555392290090e+04 
       1.268226845859e-02       2.561771956746e+04 
       1.281071719650e-02       2.567897456326e+04 
       1.293920207075e-02       2.573740045887e+04 
       1.306772304166e-02       2.579405860253e+04 
       1.319628009576e-02       2.584784808261e+04 
       1.332487324514e-02       2.589915879713e+04 
       1.345350252690e-02       2.594834106838e+04 
       1.358216800256e-02       2.599528572425e+04 
       1.371086975761e-02       2.604003363172e+04 
       1.383960790101e-02       2.608232426871e+04 
       1.396838256483e-02       2.612234066007e+04 
       1.409719390384e-02       2.616043269258e+04 
       1.422604209517e-02       2.619598415452e+04 
       1.435492733802e-02       2.622987627034e+04 
       1.448384985339e-02       2.626146267743e+04 
       1.461280988382e-02       2.629076329154e+04 
       1.474180769318e-02       2.631795628292e+04 
       1.487084356650e-02       2.634345781196e+04 
       1.499991780983e-02       2.636668914969e+04 
       1.512903075006e-02       2.638791350982e+04 
       1.525818273484e-02       2.640732494720e+04 
       1.538737413253e-02       2.642501848030e+04 
       1.551660533208e-02       2.644021163624e+04 
       1.564587674306e-02       2.645402773103e+04 
       1.577518879559e-02       2.646569072273e+04 
       1.590454194039e-02       2.647582444065e+04 
       1.603393664878e-02       2.648401482520e+04 
       1.616337341274e-02       2.649023590801e+04 
       1.629285274500e-02       2.649479547157e+04 
       1.642237517907e-02       2.649750139946e+04 
       1.655194126939e-02       2.649855137490e+04 
       1.668155159146e-02       2.649812361587e+04 
       1.681120674194e-02       2.649580453569e+04 
