# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097747511402e+01 
       2.326967407118e-05       1.107712639583e+02 
       3.616373025385e-05       1.695902260048e+02 
       4.913726151694e-05       2.280376135593e+02 
       6.222535674519e-05       2.864608755959e+02 
       7.546398425925e-05       3.451229406422e+02 
       8.889031306114e-05       4.042502290666e+02 
       1.025430482400e-04       4.640525266249e+02 
       1.164627848241e-04       5.247330148127e+02 
       1.306923843984e-04       5.864945223766e+02 
       1.452773788140e-04       6.495438412319e+02 
       1.602664052592e-04       7.140951161953e+02 
       1.757116767896e-04       7.803727484343e+02 
       1.916694920592e-04       8.486141015021e+02 
       2.082007873531e-04       9.190720328482e+02 
       2.253717329846e-04       9.920175187769e+02 
       2.432543744979e-04       1.067742142111e+03 
       2.619273167265e-04       1.146560706537e+03 
       2.814764453069e-04       1.228813933353e+03 
       3.019956754356e-04       1.314870902439e+03 
       3.235877111086e-04       1.405131631127e+03 
       3.463647893982e-04       1.500029052592e+03 
       3.704493731400e-04       1.600031245314e+03 
       3.959747414598e-04       1.705642262795e+03 
       4.230854108700e-04       1.817402677048e+03 
       4.519373007024e-04       1.935888184855e+03 
       4.826975366868e-04       2.061707545638e+03 
       5.155437679602e-04       2.195497158729e+03 
       5.506628596178e-04       2.337913554442e+03 
       5.882488207355e-04       2.489622817745e+03 
       6.284998437510e-04       2.651285953744e+03 
       6.716143729589e-04       2.823540908701e+03 
       7.177861941321e-04       3.006980790487e+03 
       7.671986460617e-04       3.202129153911e+03 
       8.200181922824e-04       3.409414305818e+03 
       8.763877404929e-04       3.629142563178e+03 
       9.364202297721e-04       3.861474518242e+03 
       1.000193085873e-03       4.106406292341e+03 
       1.067744139097e-03       4.363757938380e+03 
       1.139069488995e-03       4.633170853085e+03 
       1.214123592691e-03       4.914114290910e+03 
       1.292821585146e-03       5.205903534457e+03 
       1.375043566260e-03       5.507701389350e+03 
       1.460640369998e-03       5.818588914198e+03 
       1.549440206739e-03       6.137600521467e+03 
       1.641255555047e-03       6.463713784608e+03 
       1.735889757970e-03       6.795897741275e+03 
       1.833142917693e-03       7.133138604706e+03 
       1.932816842085e-03       7.474457321728e+03 
       2.034718945141e-03       7.818926326350e+03 
       2.138665120595e-03       8.165677738072e+03 
       2.244481687023e-03       8.513909908522e+03 
       2.352006545691e-03       8.862890468885e+03 
       2.461089706729e-03       9.211954338346e+03 
