# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.475246632666e-10       8.042899127779e-15       4.994733825422e-13       0.000000000000e+00       8.582508271354e-09       4.837993484944e-10      -2.600642859211e-12 
    3       1.389735466957e-10       1.422872578090e-14       6.426571255264e-13       0.000000000000e+00       5.343107858763e-09       3.455373253735e-10      -2.335877605817e-12 
    4       1.304787030595e-10       1.738396737013e-14       6.769014623520e-13       0.000000000000e+00       3.725121209526e-09       2.632734635480e-10      -1.910930809005e-12 
    5       1.236832499952e-10       1.690386947414e-14       6.445975508207e-13       0.000000000000e+00       2.782727147327e-09       2.091811149575e-10      -1.465139593786e-12 
    6       1.186236642669e-10       1.378996890086e-14       5.764248718743e-13       0.000000000000e+00       2.173079012545e-09       1.710334223751e-10      -1.046707332046e-12 
    7       1.149906968271e-10       9.689679377516e-15       4.937366095477e-13       0.000000000000e+00       1.752384178061e-09       1.427870194727e-10      -6.817135262383e-13 
    8       1.125252751910e-10       6.008505442721e-15       4.096611075956e-13       0.000000000000e+00       1.448598855693e-09       1.211619004517e-10      -3.834603637527e-13 
    9       1.109882802924e-10       3.476975721245e-15       3.323521628387e-13       0.000000000000e+00       1.220764025738e-09       1.042210122978e-10      -1.566150817545e-13 
   10       1.101514101994e-10       2.149131316220e-15       2.668645669778e-13       0.000000000000e+00       1.044290398270e-09       9.068784497565e-11       9.055497309230e-16 
   11       1.099013097179e-10       1.664899020642e-15       2.158750006082e-13       0.000000000000e+00       8.788459763649e-10       7.987123926442e-11       9.546383675641e-14 
   12       1.100686695950e-10       1.567449122979e-15       1.801269117497e-13       0.000000000000e+00       7.680839567117e-10       7.052649275508e-11       1.390945052481e-13 
   13       1.105832909965e-10       1.524955449551e-15       1.587813061220e-13       0.000000000000e+00       6.771377613429e-10       6.294545825296e-11       1.439661662279e-13 
   14       1.113568202559e-10       1.404044412175e-15       1.498109655730e-13       0.000000000000e+00       6.014557451246e-10       5.640079586612e-11       1.213757608077e-13 
   15       1.123646767580e-10       1.225112794214e-15       1.504154815236e-13       0.000000000000e+00       5.377381180054e-10       5.093462969362e-11       8.356022756945e-14 
   16       1.135263469380e-10       1.068658511337e-15       1.574861494682e-13       0.000000000000e+00       4.835528444340e-10       4.625965103251e-11       4.028167929229e-14 
   17       1.148400196003e-10       9.959754145079e-16       1.679954387423e-13       0.000000000000e+00       4.370625092543e-10       4.220366787610e-11      -8.302991431040e-16 
   18       1.162489863284e-10       1.014915258979e-15       1.795072140617e-13       0.000000000000e+00       3.967038566786e-10       3.867202412706e-11      -3.444754372939e-14 
   19       1.177635527669e-10       1.091776856138e-15       1.905548990861e-13       0.000000000000e+00       3.618406259781e-10       3.560293594334e-11      -5.802926239569e-14 
   20       1.193671856505e-10       1.175118592753e-15       1.998163522978e-13       0.000000000000e+00       3.311295138337e-10       3.286347292500e-11      -7.049529648757e-14 
   21       1.210564002397e-10       1.243088527929e-15       2.069925079931e-13       0.000000000000e+00       3.040896148324e-10       3.040357512702e-11      -7.263129611394e-14 
   22       1.228014608959e-10       1.287524321883e-15       2.122281171928e-13       0.000000000000e+00       2.800759988781e-10       2.816538707674e-11      -6.664688831782e-14 
   23       1.246067305841e-10       1.329357719203e-15       2.158733547493e-13       0.000000000000e+00       2.587596191232e-10       2.614384734331e-11      -5.504093938327e-14 
   24       1.264659451592e-10       1.400799064403e-15       2.184706536782e-13       0.000000000000e+00       2.396486631443e-10       2.432651896921e-11      -4.089069123479e-14 
   25       1.283782845422e-10       1.518811853716e-15       2.206773487954e-13       0.000000000000e+00       2.225190688527e-10       2.269666344451e-11      -2.656871083257e-14 
   26       1.303289306662e-10       1.692876974482e-15       2.232065648854e-13       0.000000000000e+00       2.070615291228e-10       2.122048950730e-11      -1.432962830286e-14 
   27       1.323115598177e-10       1.915929611267e-15       2.264038922648e-13       0.000000000000e+00       1.930911092451e-10       1.988095872403e-11      -5.395217755899e-15 
   28       1.343139876927e-10       2.175077101237e-15       2.304433310779e-13       0.000000000000e+00       1.803674410748e-10       1.865758726887e-11      -5.049657263602e-16 
   29       1.363449184459e-10       2.466571121817e-15       2.352225881567e-13       0.000000000000e+00       1.688258993419e-10       1.754721263328e-11       5.124347903549e-16 
   30       1.384085761685e-10       2.788572873131e-15       2.404733078470e-13       0.000000000000e+00       1.583429339408e-10       1.654165700767e-11      -1.662914110121e-15 
   31       1.404991445314e-10       3.138619588967e-15       2.458168724391e-13       0.000000000000e+00       1.487051683664e-10       1.562299672187e-11      -6.076886589296e-15 
   32       1.426205860374e-10       3.515394113330e-15       2.508127665479e-13       0.000000000000e+00       1.398630467001e-10       1.478137866697e-11      -1.177590558599e-14 
   33       1.447716581350e-10       3.917531008072e-15       2.549107761520e-13       0.000000000000e+00       1.317542130487e-10       1.400193698586e-11      -1.759320939836e-14 
   34       1.469445265659e-10       4.343295312077e-15       2.575281272913e-13       0.000000000000e+00       1.242654014906e-10       1.326598658895e-11      -2.229443180558e-14 
   35       1.491425654305e-10       4.791190561846e-15       2.583954924381e-13       0.000000000000e+00       1.173584230807e-10       1.257469816090e-11      -2.540876815296e-14 
   36       1.513671048660e-10       5.259520012694e-15       2.573277829951e-13       0.000000000000e+00       1.109780128563e-10       1.193285397288e-11      -2.668036796160e-14 
   37       1.536151276737e-10       5.747302865121e-15       2.541815856676e-13       0.000000000000e+00       1.050413048831e-10       1.134211303778e-11      -2.595610802588e-14 
   38       1.558903880260e-10       6.258041113709e-15       2.490218863212e-13       0.000000000000e+00       9.953305949809e-11       1.080042442362e-11      -2.354783960178e-14 
   39       1.581948243558e-10       6.797264270682e-15       2.420149424368e-13       0.000000000000e+00       9.443589217211e-11       1.030184770070e-11      -2.000158512644e-14 
   40       1.605248452472e-10       7.371612742714e-15       2.333888755689e-13       0.000000000000e+00       8.970130439539e-11       9.836272709670e-12      -1.601338885132e-14 
   41       1.628741984696e-10       7.987342476867e-15       2.233892798127e-13       0.000000000000e+00       8.526660026079e-11       9.392655974358e-12      -1.230453339543e-14 
   42       1.652450875520e-10       8.645082026535e-15       2.121188597505e-13       0.000000000000e+00       8.111878526952e-11       8.970817455057e-12      -9.174284679434e-15 
   43       1.676397034561e-10       9.343488754142e-15       1.996524561219e-13       0.000000000000e+00       7.724689948098e-11       8.572909612775e-12      -6.818389436353e-15 
   44       1.700567576732e-10       1.008063244889e-14       1.860817453487e-13       0.000000000000e+00       7.362284133950e-11       8.200077583769e-12      -5.452021419635e-15 
   45       1.724932905853e-10       1.085450081198e-14       1.714739069480e-13       0.000000000000e+00       7.021141751807e-11       7.852470753942e-12      -5.231210181137e-15 
   46       1.749515427981e-10       1.166478220191e-14       1.557311732490e-13       0.000000000000e+00       6.700729166068e-11       7.529506273904e-12      -5.987479320139e-15 
