# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       3.568133624423e+00 
       2.326967407118e-05       9.866422242448e+00 
       3.616373025385e-05       1.724162867915e+01 
       4.913726151694e-05       2.541705471640e+01 
       6.222535674519e-05       3.427290580407e+01 
       7.546398425925e-05       4.375130779546e+01 
       8.889031306114e-05       5.382720394238e+01 
       1.025430482400e-04       6.449619819558e+01 
       1.164627848241e-04       7.576864458501e+01 
       1.306923843984e-04       8.766654294618e+01 
       1.452773788140e-04       1.002218801451e+02 
       1.602664052592e-04       1.134758159264e+02 
       1.757116767896e-04       1.274784020088e+02 
       1.916694920592e-04       1.422886482586e+02 
       2.082007873531e-04       1.579749261156e+02 
       2.253717329846e-04       1.746155214296e+02 
       2.432543744979e-04       1.922994342818e+02 
       2.619273167265e-04       2.111273396486e+02 
       2.814764453069e-04       2.312127053729e+02 
       3.019956754356e-04       2.526830032339e+02 
       3.235877111086e-04       2.756811507571e+02 
       3.463647893982e-04       3.003668909287e+02 
       3.704493731400e-04       3.269182962240e+02 
       3.959747414598e-04       3.555332432571e+02 
       4.230854108700e-04       3.864306659176e+02 
       4.519373007024e-04       4.198516520861e+02 
       4.826975366868e-04       4.560600546366e+02 
       5.155437679602e-04       4.953424161383e+02 
       5.506628596178e-04       5.380071130461e+02 
       5.882488207355e-04       5.843821374771e+02 
       6.284998437510e-04       6.348117059632e+02 
       6.716143729589e-04       6.896507792646e+02 
       7.177861941321e-04       7.492580884218e+02 
       7.671986460617e-04       8.139870421832e+02 
       8.200181922824e-04       8.841750459597e+02 
       8.763877404929e-04       9.601313674123e+02 
       9.364202297721e-04       1.042125058021e+03 
       1.000193085873e-03       1.130372737371e+03 
       1.067744139097e-03       1.225028284116e+03 
       1.139069488995e-03       1.326175263072e+03 
       1.214123592691e-03       1.433822419062e+03 
       1.292821585146e-03       1.547903796270e+03 
       1.375043566260e-03       1.668275431574e+03 
       1.460640369998e-03       1.794734070404e+03 
       1.549440206739e-03       1.927028013050e+03 
       1.641255555047e-03       2.064855464092e+03 
       1.735889757970e-03       2.207880879464e+03 
       1.833142917693e-03       2.355746555031e+03 
       1.932816842085e-03       2.508082241498e+03 
