# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       7.283027105805e+02 
       2.326967407118e-05       1.243630238719e+03 
       3.616373025385e-05       1.668092428272e+03 
       4.913726151694e-05       2.045900038014e+03 
       6.222535674519e-05       2.394287213546e+03 
       7.546398425925e-05       2.722406398199e+03 
       8.889031306114e-05       3.035952102250e+03 
       1.025430482400e-04       3.338844071321e+03 
       1.164627848241e-04       3.633983674157e+03 
       1.306923843984e-04       3.923642842418e+03 
       1.452773788140e-04       4.209684075132e+03 
       1.602664052592e-04       4.493694796183e+03 
       1.757116767896e-04       4.777074264172e+03 
       1.916694920592e-04       5.061091795714e+03 
       2.082007873531e-04       5.346929973483e+03 
       2.253717329846e-04       5.635713858686e+03 
       2.432543744979e-04       5.928534713783e+03 
       2.619273167265e-04       6.226467921304e+03 
       2.814764453069e-04       6.530586957224e+03 
       3.019956754356e-04       6.841972930729e+03 
       3.235877111086e-04       7.161724607357e+03 
       3.463647893982e-04       7.490961645437e+03 
       3.704493731400e-04       7.830827626582e+03 
       3.959747414598e-04       8.182489943490e+03 
       4.230854108700e-04       8.547133932685e+03 
       4.519373007024e-04       8.925955348938e+03 
       4.826975366868e-04       9.320146553264e+03 
       5.155437679602e-04       9.730876245263e+03 
       5.506628596178e-04       1.015926530943e+04 
       5.882488207355e-04       1.060635232247e+04 
       6.284998437510e-04       1.107305808631e+04 
       6.716143729589e-04       1.156013745883e+04 
       7.177861941321e-04       1.206813432330e+04 
       7.671986460617e-04       1.259733129006e+04 
       8.200181922824e-04       1.314770397389e+04 
       8.763877404929e-04       1.371887939085e+04 
       9.364202297721e-04       1.431011494674e+04 
       1.000193085873e-03       1.492028509603e+04 
       1.067744139097e-03       1.554789339745e+04 
       1.139069488995e-03       1.619110716845e+04 
       1.214123592691e-03       1.684780718746e+04 
       1.292821585146e-03       1.751566234682e+04 
       1.375043566260e-03       1.819213352740e+04 
       1.460640369998e-03       1.887469243402e+04 
       1.549440206739e-03       1.956090262542e+04 
       1.641255555047e-03       2.024835226994e+04 
       1.735889757970e-03       2.093476595542e+04 
       1.833142917693e-03       2.161805042440e+04 
       1.932816842085e-03       2.229631587018e+04 
       2.034718945141e-03       2.296788753459e+04 
       2.138665120595e-03       2.363130716823e+04 
       2.244481687023e-03       2.428532756023e+04 
       2.352006545691e-03       2.492890249775e+04 
       2.461089706729e-03       2.556116649530e+04 
       2.571593333874e-03       2.618142084781e+04 
       2.683391441209e-03       2.678910989410e+04 
       2.796369353385e-03       2.738381134398e+04 
       2.910423018044e-03       2.796521143638e+04 
       3.025458238157e-03       2.853309624307e+04 
       3.141389873900e-03       2.908732916011e+04 
       3.258141048979e-03       2.962784828156e+04 
       3.375642384775e-03       3.015464567032e+04 
       3.493831276973e-03       3.066776565122e+04 
       3.612651222911e-03       3.116728905747e+04 
       3.732051203381e-03       3.165333591647e+04 
       3.851985119443e-03       3.212604820827e+04 
       3.972411282778e-03       3.258559722341e+04 
       4.093291956816e-03       3.303216221081e+04 
       4.214592945137e-03       3.346595023044e+04 
       4.336283223305e-03       3.388716480683e+04 
       4.458334610212e-03       3.429603417471e+04 
       4.580721475085e-03       3.469277781209e+04 
       4.703420476514e-03       3.507761114290e+04 
       4.826410330102e-03       3.545067812410e+04 
       4.949671601620e-03       3.581244106875e+04 
       5.073186522822e-03       3.616294649304e+04 
       5.196938827396e-03       3.650247517748e+04 
       5.320913604738e-03       3.683134011992e+04 
