# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       9.318661785386e-11       3.656797473784e-15       1.015220765171e-13       0.000000000000e+00       5.860076053210e-11       6.025339585647e-12      -2.792948628896e-15 
   41       9.520642579401e-11       3.999545260286e-15       9.719286325344e-14       0.000000000000e+00       5.596336162580e-11       5.775581508451e-12      -2.583529305810e-15 
   42       9.723943775480e-11       4.363370737762e-15       9.211951795465e-14       0.000000000000e+00       5.348489066126e-11       5.537538129967e-12      -2.620583191516e-15 
   43       9.928708075495e-11       4.748759729902e-15       8.626806800705e-14       0.000000000000e+00       5.116013181566e-11       5.312039515114e-12      -2.823385076280e-15 
   44       1.013496272766e-10       5.156164505994e-15       7.960332751675e-14       0.000000000000e+00       4.897393728615e-11       5.099268715937e-12      -3.090893351830e-15 
   45       1.034266679002e-10       5.586018868335e-15       7.209022561071e-14       0.000000000000e+00       4.690699198780e-11       4.898908614857e-12      -3.324497828646e-15 
   46       1.055189914651e-10       6.038794174551e-15       6.369847016358e-14       0.000000000000e+00       4.495704741032e-11       4.710772950808e-12      -3.507316857295e-15 
   47       1.076270549538e-10       6.514956179261e-15       5.439913016263e-14       0.000000000000e+00       4.312267544161e-11       4.534264224649e-12      -3.646481841500e-15 
   48       1.097503470793e-10       7.014947867210e-15       4.416333589018e-14       0.000000000000e+00       4.139684428227e-11       4.368139034880e-12      -3.751327543939e-15 
   49       1.118872980258e-10       7.539188170096e-15       3.296227332797e-14       0.000000000000e+00       3.976649674907e-11       4.210461287460e-12      -3.833524820912e-15 
   50       1.140361861078e-10       8.088059742881e-15       2.076750894526e-14       0.000000000000e+00       3.821666643112e-11       4.059176058367e-12      -3.905877551662e-15 
   51       1.161983572831e-10       8.661871358149e-15       7.552080977538e-15       0.000000000000e+00       3.674512166442e-11       3.914123370559e-12      -3.978020499262e-15 
