# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       2.100864530524e+01 
       2.326967407118e-05       4.946942807900e+01 
       3.616373025385e-05       7.915145369490e+01 
       4.913726151694e-05       1.097433683972e+02 
       6.222535674519e-05       1.411538409607e+02 
       7.546398425925e-05       1.733717548626e+02 
       8.889031306114e-05       2.064268501678e+02 
       1.025430482400e-04       2.403743499173e+02 
       1.164627848241e-04       2.752880352128e+02 
       1.306923843984e-04       3.112569636691e+02 
       1.452773788140e-04       3.483839979441e+02 
       1.602664052592e-04       3.867853951511e+02 
       1.757116767896e-04       4.265910485799e+02 
       1.916694920592e-04       4.679451034463e+02 
       2.082007873531e-04       5.110071059752e+02 
       2.253717329846e-04       5.559531667116e+02 
       2.432543744979e-04       6.029775277309e+02 
       2.619273167265e-04       6.522942775158e+02 
       2.814764453069e-04       7.041392214701e+02 
       3.019956754356e-04       7.587717220677e+02 
       3.235877111086e-04       8.164769354824e+02 
       3.463647893982e-04       8.775675663657e+02 
       3.704493731400e-04       9.423857404062e+02 
       3.959747414598e-04       1.011304570045e+03 
       4.230854108700e-04       1.084728935736e+03 
       4.519373007024e-04       1.163095782573e+03 
       4.826975366868e-04       1.246873142629e+03 
       5.155437679602e-04       1.336557545056e+03 
       5.506628596178e-04       1.432669820232e+03 
       5.882488207355e-04       1.535748046448e+03 
       6.284998437510e-04       1.646338535526e+03 
       6.716143729589e-04       1.764982838330e+03 
       7.177861941321e-04       1.892202760680e+03 
       7.671986460617e-04       2.028482091504e+03 
       8.200181922824e-04       2.174246642858e+03 
       8.763877404929e-04       2.329842973793e+03 
       9.364202297721e-04       2.495519301284e+03 
       1.000193085873e-03       2.671407598409e+03 
       1.067744139097e-03       2.857511117757e+03 
       1.139069488995e-03       3.053698326010e+03 
       1.214123592691e-03       3.259703051226e+03 
       1.292821585146e-03       3.475133543467e+03 
       1.375043566260e-03       3.699471742121e+03 
       1.460640369998e-03       3.932119422952e+03 
       1.549440206739e-03       4.172422855761e+03 
       1.641255555047e-03       4.419668209187e+03 
       1.735889757970e-03       4.673114931595e+03 
       1.833142917693e-03       4.932016849515e+03 
       1.932816842085e-03       5.195638004824e+03 
       2.034718945141e-03       5.463265674532e+03 
       2.138665120595e-03       5.734220064116e+03 
       2.244481687023e-03       6.007861166289e+03 
       2.352006545691e-03       6.283593263386e+03 
       2.461089706729e-03       6.560865622773e+03 
       2.571593333874e-03       6.839173546583e+03 
       2.683391441209e-03       7.118055860710e+03 
       2.796369353385e-03       7.397095125628e+03 
       2.910423018044e-03       7.675913108319e+03 
       3.025458238157e-03       7.954169883447e+03 
       3.141389873900e-03       8.231558658717e+03 
       3.258141048979e-03       8.507805654632e+03 
       3.375642384775e-03       8.782664607420e+03 
       3.493831276973e-03       9.055916371092e+03 
       3.612651222911e-03       9.327364291593e+03 
       3.732051203381e-03       9.596834826589e+03 
       3.851985119443e-03       9.864172151250e+03 
       3.972411282778e-03       1.012924005738e+04 
       4.093291956816e-03       1.039191503873e+04 
       4.214592945137e-03       1.065209206149e+04 
       4.336283223305e-03       1.090967434250e+04 
       4.458334610212e-03       1.116458188734e+04 
       4.580721475085e-03       1.141674037699e+04 
       4.703420476514e-03       1.166608207703e+04 
       4.826410330102e-03       1.191252266172e+04 
       4.949671601620e-03       1.215609190567e+04 
       5.073186522822e-03       1.239668702432e+04 
       5.196938827396e-03       1.263429032113e+04 
       5.320913604738e-03       1.286890219036e+04 
       5.445097169534e-03       1.310050444863e+04 
       5.569476945340e-03       1.332902737455e+04 
       5.694041360547e-03       1.355387267596e+04 
       5.818779755339e-03       1.377622658425e+04 
       5.943682298366e-03       1.399548198084e+04 
       6.068739912061e-03       1.421159379684e+04 
       6.193944205599e-03       1.442466979942e+04 
       6.319287414666e-03       1.463476680294e+04 
       6.444762347267e-03       1.484191652443e+04 
       6.570362334913e-03       1.504555401754e+04 
       6.696081188603e-03       1.524617775160e+04 
       6.821913159065e-03       1.544368424482e+04 
       6.947852900830e-03       1.563818980497e+04 
       7.073895439691e-03       1.582964036620e+04 
       7.200036143231e-03       1.601800684796e+04 
       7.326270694071e-03       1.620333965188e+04 
       7.452595065570e-03       1.638552226426e+04 
       7.579005499726e-03       1.656485705172e+04 
       7.705498487058e-03       1.674160994258e+04 
       7.832070748261e-03       1.691494452399e+04 
       7.958719217469e-03       1.708529897210e+04 
       8.085441026969e-03       1.725270847658e+04 
       8.212233493217e-03       1.741723731029e+04 
       8.339094104040e-03       1.757884321907e+04 
       8.466020506906e-03       1.773755419082e+04 
       8.593010498167e-03       1.789339948584e+04 
       8.720062013184e-03       1.804640120622e+04 
       8.847173117248e-03       1.819657598372e+04 
       8.974341997231e-03       1.834390638697e+04 
       9.101566953904e-03       1.848847938821e+04 
       9.228846394849e-03       1.863028876120e+04 
       9.356178827935e-03       1.876934560262e+04 
       9.483562855287e-03       1.890569255625e+04 
       9.610997167722e-03       1.903934188161e+04 
       9.738480539603e-03       1.917033864852e+04 
       9.866011824080e-03       1.929858826589e+04 
       9.993589948689e-03       1.942430950370e+04 
       1.012121391127e-02       1.954729441267e+04 
       1.024888277620e-02       1.966773199840e+04 
       1.037659567085e-02       1.978566936030e+04 
