# Matter power spectrum P(k) at redshift z=0
# for k=1.80635e-05 to 1.30104 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.806349063457e-05       1.031408643384e+01 
       3.758958149599e-05       2.093583739707e+01 
       5.728663074857e-05       3.145299060828e+01 
       7.727687033330e-05       4.199931579747e+01 
       9.768739675877e-05       5.267105904011e+01 
       1.186527603231e-04       6.355362643274e+01 
       1.403177412107e-04       7.473032938059e+01 
       1.628403872542e-04       8.628693065345e+01 
       1.863953859554e-04       9.831464694862e+01 
       2.111778372856e-04       1.109127417240e+02 
       2.374074798055e-04       1.241909854652e+02 
       2.653333946418e-04       1.382720756514e+02 
       2.952391607785e-04       1.532942852419e+02 
       3.274483482375e-04       1.694139135750e+02 
       3.623300963287e-04       1.868080021265e+02 
       4.003043128685e-04       2.056764475179e+02 
       4.418457297855e-04       2.262437151351e+02 
       4.874856568792e-04       2.487590512905e+02 
       5.378098194083e-04       2.734951976491e+02 
       5.934502447818e-04       3.007434411608e+02 
       6.550689809436e-04       3.308055534962e+02 
       7.233318025814e-04       3.639801541050e+02 
       7.988713603018e-04       4.005449932920e+02 
       8.822416663928e-04       4.407346748436e+02 
       9.738691091425e-04       4.847182072328e+02 
       1.074008294902e-03       5.325783325631e+02 
       1.182712277897e-03       5.842996429838e+02 
       1.299824764535e-03       6.397663826827e+02 
       1.424996737143e-03       6.987724976864e+02 
       1.557723587108e-03       7.610413110245e+02 
       1.697394087391e-03       8.262495579520e+02 
       1.843341208524e-03       8.940527445593e+02 
       1.994886736154e-03       9.641058942963e+02 
       2.151375257514e-03       1.036079312799e+03 
       2.312196566078e-03       1.109669065551e+03 
       2.476797868765e-03       1.184560520314e+03 
       2.644688219903e-03       1.260538049637e+03 
       2.815437699362e-03       1.337402134999e+03 
       2.988673449584e-03       1.414971096687e+03 
       3.164074130133e-03       1.493088674199e+03 
       3.341363829227e-03       1.571621130384e+03 
       3.520306064104e-03       1.650454268965e+03 
       3.700698214208e-03       1.729490893103e+03 
       3.882366543696e-03       1.808647385158e+03 
       4.065161855880e-03       1.887852406355e+03 
       4.248955758548e-03       1.967044752920e+03 
       4.433637487161e-03       2.046171617573e+03 
       4.619111220313e-03       2.125187765841e+03 
       4.805293820119e-03       2.204053749883e+03 
       4.992112934143e-03       2.282735494921e+03 
       5.179505402078e-03       2.361203279504e+03 
       5.367415917788e-03       2.439431339852e+03 
       5.555795904532e-03       2.517397165121e+03 
       5.744602567860e-03       2.595080973352e+03 
       5.933798096467e-03       2.672465064725e+03 
       6.123348986330e-03       2.749534592784e+03 
       6.313225467640e-03       2.826275677655e+03 
       6.503401017617e-03       2.902676807683e+03 
       6.693851945176e-03       2.978727181690e+03 
