# Matter power spectrum P(k) at redshift z=0
# for k=1.29038e-05 to 1.03428 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.290383793673e-05       2.736397254340e+01 
       2.780351476989e-05       5.744327151535e+01 
       4.277616329453e-05       8.709329439203e+01 
       5.787573885601e-05       1.166314192908e+02 
       7.315742156422e-05       1.462561525248e+02 
       8.867827373932e-05       1.761268587734e+02 
       1.044979256582e-04       2.063872524593e+02 
       1.206793014406e-04       2.371755894560e+02 
       1.372893969600e-04       2.686302227197e+02 
       1.544001216363e-04       3.008935024795e+02 
       1.720892156948e-04       3.341146132513e+02 
       1.904412537525e-04       3.684521300904e+02 
       2.095487440856e-04       4.040765063508e+02 
       2.295133301988e-04       4.411723873139e+02 
       2.504470967544e-04       4.799410907740e+02 
       2.724739746945e-04       5.206030172454e+02 
       2.957312294511e-04       5.634002380515e+02 
       3.203710001656e-04       6.085989179964e+02 
       3.465618352999e-04       6.564917416353e+02 
       3.744901393379e-04       7.073999793343e+02 
       4.043614051440e-04       7.616750923780e+02 
       4.364010566095e-04       8.196995866360e+02 
       4.708546680861e-04       8.818861949303e+02 
       5.079872659414e-04       9.486761210372e+02 
       5.480813639195e-04       1.020533929265e+03 
       5.914333556345e-04       1.097940031987e+03 
       6.383479099754e-04       1.181379785438e+03 
       6.891301192070e-04       1.271327996847e+03 
       7.440753632820e-04       1.368230401303e+03 
       8.034571885160e-04       1.472481564053e+03 
       8.675139297132e-04       1.584401473336e+03 
       9.364352562994e-04       1.704212640431e+03 
       1.010350169681e-03       1.832020453559e+03 
       1.089318076979e-03       1.967800212423e+03 
       1.173324312122e-03       2.111391769494e+03 
       1.262280869507e-03       2.262504811444e+03 
       1.356032289547e-03       2.420731898023e+03 
       1.454365814423e-03       2.585570203925e+03 
       1.557024343222e-03       2.756446151780e+03 
       1.663720492988e-03       2.932732465290e+03 
       1.774150214712e-03       3.113764752690e+03 
       1.888004808422e-03       3.298946016759e+03 
       2.004980673416e-03       3.487663822056e+03 
       2.124786583875e-03       3.679339065128e+03 
       2.247148618615e-03       3.873432138974e+03 
       2.371813075858e-03       4.069448818462e+03 
       2.498547787743e-03       4.266941039738e+03 
       2.627142249546e-03       4.465505032872e+03 
       2.757406930649e-03       4.664781643086e+03 
       2.889172065870e-03       4.864451137104e+03 
       3.022286154895e-03       5.064230583737e+03 
       3.156614334128e-03       5.263871557257e+03 
       3.292036733288e-03       5.463154066809e+03 
       3.428446889058e-03       5.661886592519e+03 
       3.565750258677e-03       5.859899526715e+03 
       3.703862855762e-03       6.057045462144e+03 
       3.842710016716e-03       6.253194935267e+03 
       3.982225297089e-03       6.448234839587e+03 
       4.122349491861e-03       6.642065594101e+03 
       4.263029770578e-03       6.834601291498e+03 
       4.404218916893e-03       7.025765857842e+03 
       4.545874661714e-03       7.215493836810e+03 
       4.687959099445e-03       7.403726849480e+03 
       4.830438177459e-03       7.590416365389e+03 
       4.973281249787e-03       7.775517204708e+03 
       5.116460686903e-03       7.958993147281e+03 
       5.259951534393e-03       8.140811446551e+03 
       5.403731214159e-03       8.320943364388e+03 
       5.547779262596e-03       8.499367373694e+03 
       5.692077100897e-03       8.676060691708e+03 
       5.836607833272e-03       8.851012672540e+03 
       5.981356069449e-03       9.024250732550e+03 
       6.126307768291e-03       9.195669535467e+03 
       6.271450099793e-03       9.365302656750e+03 
       6.416771323129e-03       9.533155483916e+03 
       6.562260678673e-03       9.699218226833e+03 
       6.707908292262e-03       9.863310841332e+03 
       6.853705090155e-03       1.002575454786e+04 
       6.999642723382e-03       1.018642976888e+04 
       7.145713500322e-03       1.034529422122e+04 
       7.291910326523e-03       1.050235869832e+04 
       7.438226650903e-03       1.065762580138e+04 
       7.584656417574e-03       1.081102796491e+04 
       7.731194022632e-03       1.096276338826e+04 
       7.877834275348e-03       1.111268557041e+04 
       8.024572363250e-03       1.126079383842e+04 
       8.171403820671e-03       1.140711314830e+04 
       8.318324500365e-03       1.155165612321e+04 
       8.465330547865e-03       1.169454074343e+04 
       8.612418378281e-03       1.183570788336e+04 
       8.759584655280e-03       1.197502253461e+04 
       8.906826272015e-03       1.211248971729e+04 
       9.054140333804e-03       1.224841571607e+04 
       9.201524142373e-03       1.238258945672e+04 
       9.348975181509e-03       1.251517004314e+04 
       9.496491103980e-03       1.264585482148e+04 
       9.644069719597e-03       1.277512941890e+04 
       9.791708984304e-03       1.290253496504e+04 
       9.939406990199e-03       1.302818160447e+04 
       1.008716195639e-02       1.315227730823e+04 
       1.023497222064e-02       1.327455085958e+04 
       1.038283623163e-02       1.339555954560e+04 
       1.053075254198e-02       1.351454233555e+04 
       1.067871980169e-02       1.363224689139e+04 
       1.082673675219e-02       1.374816871875e+04 
       1.097480222086e-02       1.386254219021e+04 
       1.112291511597e-02       1.397529427721e+04 
       1.127107442197e-02       1.408648347863e+04 
       1.141927919521e-02       1.419599844949e+04 
       1.156752855995e-02       1.430439541672e+04 
       1.171582170470e-02       1.441085229588e+04 
       1.186415787878e-02       1.451579003072e+04 
       1.201253638921e-02       1.461921587743e+04 
       1.216095659778e-02       1.472111069653e+04 
       1.230941791836e-02       1.482149822629e+04 
       1.245791981439e-02       1.492041362952e+04 
       1.260646179658e-02       1.501782587266e+04 
       1.275504342077e-02       1.511334323375e+04 
       1.290366428592e-02       1.520770661512e+04 
       1.305232403228e-02       1.530128468310e+04 
       1.320102233967e-02       1.539248806501e+04 
       1.334975892591e-02       1.548302736626e+04 
       1.349853354535e-02       1.557174703858e+04 
       1.364734598748e-02       1.565870974020e+04 
       1.379619607569e-02       1.574505841959e+04 
       1.394508366612e-02       1.582954126301e+04 
       1.409400864651e-02       1.591273190081e+04 
       1.424297093528e-02       1.599396792644e+04 
       1.439197048055e-02       1.607448047521e+04 
       1.454100725930e-02       1.615389523585e+04 
