# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.092879934318e-10       1.629349276955e-15       3.138532692575e-13       0.000000000000e+00       1.400976461353e-08      -2.379780029913e-10      -1.234784771343e-12 
    3       1.059195437171e-10       3.152705329224e-15       3.742233505104e-13       0.000000000000e+00       9.271883861488e-09      -1.356730358737e-10      -1.123240899953e-12 
    4       1.039672024320e-10       4.328226914294e-15       3.910415290005e-13       0.000000000000e+00       6.767546247915e-09      -8.912073704787e-11      -9.626501559052e-13 
    5       1.027378996572e-10       4.812587038980e-15       3.806163402567e-13       0.000000000000e+00       5.250118548511e-09      -6.379417062309e-11      -7.915592122956e-13 
    6       1.019693824073e-10       4.580263240885e-15       3.543309221478e-13       0.000000000000e+00       4.238269715959e-09      -4.827270098549e-11      -6.233926548146e-13 
    7       1.016099554580e-10       3.843442940545e-15       3.210031925704e-13       0.000000000000e+00       3.520807089641e-09      -3.808848687365e-11      -4.674913841655e-13 
    8       1.016077157485e-10       2.900699089119e-15       2.862202545119e-13       0.000000000000e+00       2.989443992795e-09      -3.101516225979e-11      -3.294717961110e-13 
    9       1.018602635880e-10       2.015052895733e-15       2.535886900905e-13       0.000000000000e+00       2.581582573012e-09      -2.578199199920e-11      -2.126286916101e-13 
   10       1.023001401463e-10       1.346112818201e-15       2.253343099476e-13       0.000000000000e+00       2.258992357051e-09      -2.174783522214e-11      -1.185049345115e-13 
   11       1.029736365465e-10       9.388245632650e-16       2.026060491832e-13       0.000000000000e+00       1.653732065271e-09      -1.679340317179e-11      -4.741315212318e-14 
   12       1.037692752925e-10       7.523683811385e-16       1.858782006608e-13       0.000000000000e+00       1.458177896685e-09      -1.469293501779e-11       2.297697258531e-15 
   13       1.046706154752e-10       7.058196095167e-16       1.752434788155e-13       0.000000000000e+00       1.296786851604e-09      -1.299839911274e-11       3.306707052491e-14 
   14       1.057021039733e-10       7.198847626163e-16       1.703770368370e-13       0.000000000000e+00       1.161799066224e-09      -1.153420414516e-11       4.791590168566e-14 
   15       1.067456291531e-10       7.423373514437e-16       1.706695486991e-13       0.000000000000e+00       1.047581884655e-09      -1.025258743615e-11       5.028360217239e-14 
   16       1.079038203216e-10       7.544261943561e-16       1.753074922254e-13       0.000000000000e+00       9.499570701401e-10      -9.157165657595e-12       4.370071217978e-14 
   17       1.090387679840e-10       7.628954078614e-16       1.834170374086e-13       0.000000000000e+00       8.657652247873e-10      -8.194890545440e-12       3.152756062150e-14 
   18       1.102280292492e-10       7.867170673285e-16       1.940988176404e-13       0.000000000000e+00       7.922114759414e-10      -7.399285372625e-12       1.649209648243e-14 
   19       1.114812691498e-10       8.398842065274e-16       2.066428893635e-13       0.000000000000e+00       7.285144869314e-10      -6.721905345747e-12       8.200054305048e-16 
   20       1.127056829910e-10       9.328215310457e-16       2.201506970236e-13       0.000000000000e+00       6.720746597249e-10      -6.063379225406e-12      -1.315921831065e-14 
   21       1.139108831952e-10       1.063586696107e-15       2.340468549160e-13       0.000000000000e+00       6.220758035268e-10      -5.473284052843e-12      -2.436982006421e-14 
   22       1.151154612454e-10       1.224070712498e-15       2.478062418475e-13       0.000000000000e+00       5.774617502646e-10      -5.026930586181e-12      -3.224794260032e-14 
   23       1.163427839237e-10       1.407827156212e-15       2.611935894394e-13       0.000000000000e+00       5.376718747523e-10      -4.647425919980e-12      -3.649987981943e-14 
   24       1.175943315451e-10       1.608931071888e-15       2.740613951807e-13       0.000000000000e+00       5.018140516012e-10      -4.219684881755e-12      -3.717587350782e-14 
   25       1.188542044321e-10       1.828594522749e-15       2.863204336277e-13       0.000000000000e+00       4.695056497031e-10      -3.804174402758e-12      -3.499541700586e-14 
   26       1.200890398095e-10       2.071002151508e-15       2.979165175054e-13       0.000000000000e+00       4.402057148130e-10      -3.500722689659e-12      -3.102964926511e-14 
   27       1.213035115044e-10       2.342090644100e-15       3.088664057450e-13       0.000000000000e+00       4.135920502100e-10      -3.267711342757e-12      -2.593092110606e-14 
   28       1.225046498725e-10       2.648049212061e-15       3.192220594556e-13       0.000000000000e+00       3.892322492945e-10      -3.023052919365e-12      -2.031767934924e-14 
   29       1.237001481156e-10       2.990729165557e-15       3.290274595579e-13       0.000000000000e+00       3.670224334317e-10      -2.766899176924e-12      -1.477557076153e-14 
   30       1.248859758285e-10       3.370233693992e-15       3.383395219843e-13       0.000000000000e+00       3.467448169706e-10      -2.527989061086e-12      -9.982807703648e-15 
   31       1.260493267560e-10       3.786158980420e-15       3.472137217523e-13       0.000000000000e+00       3.280097411867e-10      -2.333130093944e-12      -6.609329281363e-15 
   32       1.271995494649e-10       4.238249991092e-15       3.556215855965e-13       0.000000000000e+00       3.107356326230e-10      -2.177750158855e-12      -4.767543918546e-15 
   33       1.283464747398e-10       4.725908192055e-15       3.635007311000e-13       0.000000000000e+00       2.948139430590e-10      -2.043754351213e-12      -4.348726145054e-15 
   34       1.294925793733e-10       5.248537171043e-15       3.707684161627e-13       0.000000000000e+00       2.800373112968e-10      -1.912049051228e-12      -5.156712578191e-15 
   35       1.306375593399e-10       5.807483143878e-15       3.772998039669e-13       0.000000000000e+00       2.663406681674e-10      -1.781472403682e-12      -6.907416254085e-15 
   36       1.317735850178e-10       6.404770018782e-15       3.829388126441e-13       0.000000000000e+00       2.536243573504e-10      -1.656276220516e-12      -9.215741209196e-15 
   37       1.328890080871e-10       7.042257560172e-15       3.875200848099e-13       0.000000000000e+00       2.417344675617e-10      -1.540166823211e-12      -1.165509200986e-14 
   38       1.339886624594e-10       7.720465033904e-15       3.909318678169e-13       0.000000000000e+00       2.306477492910e-10      -1.432921010408e-12      -1.398810532256e-14 
   39       1.350791287652e-10       8.439346946031e-15       3.930721186188e-13       0.000000000000e+00       2.203358547705e-10      -1.332579954019e-12      -1.600519271261e-14 
   40       1.361626629128e-10       9.198586053413e-15       3.938310128438e-13       0.000000000000e+00       2.107088772707e-10      -1.236263743860e-12      -1.746006678768e-14 
   41       1.372386891736e-10       9.997937841896e-15       3.931071624576e-13       0.000000000000e+00       2.016484651913e-10      -1.141316165563e-12      -1.813504518739e-14 
   42       1.383100612497e-10       1.083843977753e-14       3.908638328570e-13       0.000000000000e+00       1.931331915719e-10      -1.049358307905e-12      -1.806753208876e-14 
   43       1.393780011228e-10       1.172156703698e-14       3.870901758936e-13       0.000000000000e+00       1.851448505997e-10      -9.634347603595e-13      -1.739376184928e-14 
   44       1.404399292749e-10       1.264891264837e-14       3.817867191120e-13       0.000000000000e+00       1.776306990959e-10      -8.869237655100e-13      -1.629028295130e-14 
   45       1.414918255381e-10       1.362197258390e-14       3.749626660864e-13       0.000000000000e+00       1.705235392594e-10      -8.225271839354e-13      -1.494897826787e-14 
   46       1.425370053564e-10       1.464140602337e-14       3.666253079198e-13       0.000000000000e+00       1.638156862703e-10      -7.688515282695e-13      -1.348718655383e-14 
   47       1.435793522264e-10       1.570756721959e-14       3.567885485110e-13       0.000000000000e+00       1.575023789368e-10      -7.228255659199e-13      -1.201506637461e-14 
   48       1.446206235828e-10       1.682070412534e-14       3.454764208292e-13       0.000000000000e+00       1.515594043543e-10      -6.805883791616e-13      -1.066175277358e-14 
   49       1.456602460094e-10       1.798095337456e-14       3.327235421394e-13       0.000000000000e+00       1.459416311272e-10      -6.374427047384e-13      -9.576331724015e-15 
   50       1.466966603595e-10       1.918836858876e-14       3.185591628681e-13       0.000000000000e+00       1.405973062120e-10      -5.891986598599e-13      -8.891465105606e-15 
   51       1.477322626600e-10       2.044302599787e-14       3.029531527162e-13       0.000000000000e+00       1.355189233623e-10      -5.367431646390e-13      -8.600364897916e-15 
   52       1.487694503706e-10       2.174493881368e-14       2.858561399712e-13       0.000000000000e+00       1.307036269320e-10      -4.826301823619e-13      -8.648109422379e-15 
   53       1.498090609716e-10       2.309402304166e-14       2.672143271218e-13       0.000000000000e+00       1.261379472918e-10      -4.298170620553e-13      -8.965309570424e-15 
   54       1.508502401120e-10       2.449009403038e-14       2.469691740190e-13       0.000000000000e+00       1.217970758685e-10      -3.816833080352e-13      -9.467325633069e-15 
   55       1.518916238589e-10       2.593288930339e-14       2.250649998394e-13       0.000000000000e+00       1.176529092198e-10      -3.412081318377e-13      -1.006488913527e-14 
   56       1.529355314298e-10       2.742215160149e-14       2.014747263068e-13       0.000000000000e+00       1.137021821736e-10      -3.082208510599e-13      -1.070085249937e-14 
   57       1.539845830772e-10       2.895756042603e-14       1.761799746710e-13       0.000000000000e+00       1.099440537386e-10      -2.815003069016e-13      -1.132119700253e-14 
   58       1.550403983469e-10       3.053870519017e-14       1.491636990778e-13       0.000000000000e+00       1.063715754240e-10      -2.595425358931e-13      -1.186409618972e-14 
   59       1.561035154254e-10       3.216508279229e-14       1.204101782546e-13       0.000000000000e+00       1.029713079296e-10      -2.405467647315e-13      -1.225957705414e-14 
   60       1.571733104877e-10       3.383609518948e-14       8.990500719652e-14       0.000000000000e+00       9.972293783552e-11      -2.224014051176e-13      -1.242918121765e-14 
   61       1.582488979922e-10       3.555107188399e-14       5.763989289128e-14       0.000000000000e+00       9.660520985554e-11      -2.031685045440e-13      -1.230926586691e-14 
   62       1.593322501695e-10       3.730934877059e-14       2.362831820068e-14       0.000000000000e+00       9.361614675799e-11      -1.826958515310e-13      -1.192778479252e-14 
   63       1.604256378037e-10       3.911020276191e-14      -1.210660484722e-14       0.000000000000e+00       9.075670848756e-11      -1.613435190956e-13      -1.134421887000e-14 
   64       1.615306625254e-10       4.095282683338e-14      -4.953648758591e-14       0.000000000000e+00       8.802469779592e-11      -1.395191141216e-13      -1.062786020038e-14 
   65       1.626482072832e-10       4.283632838713e-14      -8.862752059608e-14       0.000000000000e+00       8.541457731968e-11      -1.176795878266e-13      -9.858223362241e-15 
   66       1.637783868166e-10       4.475972761589e-14      -1.293403295914e-13       0.000000000000e+00       8.291728665835e-11      -9.633304622878e-14      -9.125456663659e-15 
   67       1.649204981281e-10       4.672195586692e-14      -1.716298313040e-13       0.000000000000e+00       8.052005945237e-11      -7.604056061455e-14      -8.530753394246e-15 
   68       1.660737589917e-10       4.872187033156e-14      -2.154529917678e-13       0.000000000000e+00       7.821001124327e-11      -5.729918993104e-14      -8.162412403205e-15 
   69       1.672398079556e-10       5.075830522763e-14      -2.607942487834e-13       0.000000000000e+00       7.598615614140e-11      -4.015947689627e-14      -8.017467759255e-15 
   70       1.684206242597e-10       5.283002809644e-14      -3.076450054889e-13       0.000000000000e+00       7.384950762984e-11      -2.453334282570e-14      -8.064845025565e-15 
   71       1.696177557731e-10       5.493572319799e-14      -3.559962406966e-13       0.000000000000e+00       7.179943828840e-11      -1.030481248422e-14      -8.268099152666e-15 
   72       1.708322896204e-10       5.707399029243e-14      -4.058385668862e-13       0.000000000000e+00       6.983359331095e-11       2.671213504912e-15      -8.585202951059e-15 
   73       1.720648228085e-10       5.924334342146e-14      -4.571622881984e-13       0.000000000000e+00       6.794780402292e-11       1.457018625124e-14      -8.968335563831e-15 
   74       1.733154328533e-10       6.144220968981e-14      -5.099574584269e-13       0.000000000000e+00       6.613600139870e-11       2.559913618820e-14      -9.363670939263e-15 
