# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.071184126462e-10       2.341381306999e-15       3.383181916463e-13       0.000000000000e+00       1.156968352513e-08       4.172395806267e-11      -1.470671389811e-12 
    3       1.065385124972e-10       4.049630513533e-15       3.955334968220e-13       0.000000000000e+00       7.586736811948e-09       5.430477890939e-11      -1.285781459998e-12 
    4       1.052282649301e-10       4.912411493531e-15       3.993425338155e-13       0.000000000000e+00       5.468544802041e-09       5.210977766081e-11      -1.040380173013e-12 
    5       1.041291826896e-10       4.763548560789e-15       3.734633486220e-13       0.000000000000e+00       4.191958915018e-09       4.708611722953e-11      -7.931832833157e-13 
    6       1.033858496127e-10       3.893958025449e-15       3.331219827413e-13       0.000000000000e+00       3.349042733304e-09       4.199465542817e-11      -5.653216332676e-13 
    7       1.030857594966e-10       2.770448831947e-15       2.889393553413e-13       0.000000000000e+00       2.754928990664e-09       3.742955803115e-11      -3.690407402341e-13 
    8       1.031653685607e-10       1.777434825328e-15       2.471796564843e-13       0.000000000000e+00       2.316175161602e-09       3.343464316819e-11      -2.101551794769e-13 
    9       1.035017465006e-10       1.104106701597e-15       2.114415779305e-13       0.000000000000e+00       1.981440821445e-09       2.994602891495e-11      -9.024118493607e-14 
   10       1.041124140082e-10       7.546653218521e-16       1.834633129047e-13       0.000000000000e+00       1.719725573176e-09       2.697121229026e-11      -7.683310485795e-15 
   11       1.049360867547e-10       6.270625698906e-16       1.637583520424e-13       0.000000000000e+00       1.341129186997e-09       2.431041172213e-11       4.113928114828e-14 
   12       1.058839482239e-10       6.004714954324e-16       1.520712870914e-13       0.000000000000e+00       1.179487313964e-09       2.203703539231e-11       6.307139985578e-14 
   13       1.069546765271e-10       5.922951062439e-16       1.475561849809e-13       0.000000000000e+00       1.046289819122e-09       2.007664309017e-11       6.449567431452e-14 
   14       1.081400238672e-10       5.735830896123e-16       1.489752720260e-13       0.000000000000e+00       9.350510469152e-10       1.834536019525e-11       5.215284589738e-14 
   15       1.093453783528e-10       5.537324479977e-16       1.550092014795e-13       0.000000000000e+00       8.410686781432e-10       1.685201082455e-11       3.229297657418e-14 
   16       1.106634421850e-10       5.545980856989e-16       1.643212311845e-13       0.000000000000e+00       7.608582994359e-10       1.558735579401e-11       1.017793656077e-14 
   17       1.119965489754e-10       5.906988229425e-16       1.756721838220e-13       0.000000000000e+00       6.917891635550e-10       1.448434109856e-11      -1.017939776686e-14 
   18       1.133588802114e-10       6.623537933384e-16       1.880218224571e-13       0.000000000000e+00       6.315733205518e-10       1.348930020578e-11      -2.605118158880e-14 
   19       1.147744226746e-10       7.617330574197e-16       2.007686919630e-13       0.000000000000e+00       5.794385001942e-10       1.260852827565e-11      -3.627093549940e-14 
   20       1.162005544054e-10       8.775017880465e-16       2.133395199083e-13       0.000000000000e+00       5.333233895542e-10       1.183671550179e-11      -4.055121364872e-14 
   21       1.176367212246e-10       1.007242876018e-15       2.255012261156e-13       0.000000000000e+00       4.925489903418e-10       1.113079610572e-11      -3.969948625923e-14 
   22       1.190687025751e-10       1.152244520381e-15       2.371448937679e-13       0.000000000000e+00       4.562165180807e-10       1.043467242248e-11      -3.526798139579e-14 
   23       1.205049699911e-10       1.318634154788e-15       2.482920344993e-13       0.000000000000e+00       4.238551818207e-10       9.796057306998e-12      -2.848526122133e-14 
   24       1.219440381093e-10       1.514017535362e-15       2.590328392759e-13       0.000000000000e+00       3.947323910327e-10       9.276718203265e-12      -2.074525700769e-14 
   25       1.234018434263e-10       1.741130690946e-15       2.694867571380e-13       0.000000000000e+00       3.685297796774e-10       8.821229210953e-12      -1.343979418918e-14 
   26       1.248819114224e-10       2.000481913271e-15       2.797810154769e-13       0.000000000000e+00       3.448007201786e-10       8.342395909243e-12      -7.941497605264e-15 
