# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       8.980856820338e+13       9.372567846215e-26       5.161382432561e-09       1.739952088713e+22       8.164029726345e+03       9.090479772327e-11       7.331998204929e+17       2.980024645575e-09       1.789988176302e+44       1.803957601300e+33       4.191843192623e+34      -9.203008540962e-09       1.237445094279e+44       3.027433271018e+44       3.027433271018e+44       1.009144423527e+44      -7.820469617344e+52       1.400164428384e-06       1.646118170439e+00 
       8.884838741853e+13       9.576240376149e-26       5.217771104071e-09       1.702945872295e+22       8.164029726345e+03       9.188720204777e-11       7.253608760227e+17       3.012229646653e-09       1.714657057307e+44       1.746713423485e+33       4.058825311869e+34      -9.203008540962e-09       1.185367586236e+44       2.900024643967e+44       2.900024643967e+44       9.666748811811e+43      -7.411254369780e+52       1.424939065821e-06       1.617498012615e+00 
       8.789847232612e+13       9.784338855920e-26       5.274159775581e-09       1.666726723557e+22       8.164029726345e+03       9.288022317447e-11       7.176057409708e+17       3.044782685840e-09       1.642496226007e+44       1.691285749500e+33       3.930028427891e+34      -9.203008540962e-09       1.135481744601e+44       2.777977971018e+44       2.777977971018e+44       9.259926568692e+43      -7.023451790128e+52       1.449713703257e-06       1.589856053488e+00 
       8.695871317136e+13       9.996959462479e-26       5.330548447091e-09       1.631277902729e+22       8.164029726345e+03       9.388397583871e-11       7.099335192957e+17       3.077687524353e-09       1.573372261788e+44       1.637616937045e+33       3.805318597691e+34      -9.203008540962e-09       1.087695333746e+44       2.661067595930e+44       2.661067595930e+44       8.870225318445e+43      -6.655941435420e+52       1.474488340692e-06       1.563142985419e+00 
       8.602900137289e+13       1.021420046195e-25       5.388756108005e-09       1.596583026072e+22       8.164029726345e+03       9.489857601576e-11       7.023433245361e+17       3.110947964044e-09       1.507157359005e+44       1.585651172954e+33       3.684566128622e+34      -9.203008540962e-09       1.041919999751e+44       2.549077359140e+44       2.549077359140e+44       8.496924529186e+43      -6.307661491179e+52       1.499262978126e-06       1.537312759914e+00 
       8.510922951025e+13       1.043616225842e-25       5.446963768918e-09       1.562626058305e+22       8.164029726345e+03       9.592414093423e-11       6.948342797080e+17       3.144567847877e-09       1.443729090674e+44       1.535334415158e+33       3.567645443519e+34      -9.203008540962e-09       9.980711070464e+43       2.441800198093e+44       2.441800198093e+44       8.139333992402e+43      -5.977605703616e+52       1.524037615559e-06       1.512322322717e+00 
       8.419929131143e+13       1.066294744176e-25       5.505171429832e-09       1.529391305193e+22       8.164029726345e+03       9.696078908964e-11       6.874055172037e+17       3.178551060380e-09       1.382970182115e+44       1.486614336480e+33       3.454434950099e+34      -9.203008540962e-09       9.560675819248e+43       2.339037764400e+44       2.339037764400e+44       7.796792546798e+43      -5.664820472353e+52       1.548812252990e-06       1.488131374319e+00 
       8.329908164066e+13       1.089466082094e-25       5.565198080149e-09       1.496863406295e+22       8.164029726345e+03       9.800864025805e-11       6.800561786916e+17       3.212901527967e-09       1.324768294116e+44       1.439440270216e+33       3.344816914512e+34      -9.203008540962e-09       9.158317626413e+43       2.240600057106e+44       2.240600057106e+44       7.468666855858e+43      -5.368402095270e+52       1.573586890420e-06       1.464702153164e+00 
       8.240849648618e+13       1.113140949286e-25       5.625224730466e-09       1.465027327865e+22       8.164029726345e+03       9.906781550995e-11       6.727854150166e+17       3.247623219587e-09       1.269015815230e+44       1.393763157448e+33       3.238677338904e+34      -9.203008540962e-09       8.772892558222e+43       2.146305071390e+44       2.146305071390e+44       7.154350236842e+43      -5.087494157521e+52       1.598361527850e-06       1.441999238868e+00 
       8.152743294829e+13       1.137330287915e-25       5.686160875484e-09       1.433868355899e+22       8.164029726345e+03       1.001384372242e-10       6.655923861024e+17       3.282720147047e-09       1.215609662805e+44       1.349535496021e+33       3.135905842866e+34      -9.203008540962e-09       8.403687989172e+43       2.055978462049e+44       2.055978462049e+44       6.853261539073e+43      -4.821285057171e+52       1.623136165280e-06       1.419989373614e+00 
       8.065578922741e+13       1.162045277962e-25       5.747097020503e-09       1.403372089342e+22       8.164029726345e+03       1.012206291023e-10       6.584762608544e+17       3.318196365530e-09       1.164451092389e+44       1.306711291147e+33       3.036395548636e+34      -9.203008540962e-09       8.050021284391e+43       1.969453221145e+44       1.969453221145e+44       6.564844069427e+43      -4.569005660308e+52       1.647910802710e-06       1.398641299551e+00 
       7.979346461238e+13       1.187297342295e-25       5.808942660224e-09       1.373524433427e+22       8.164029726345e+03       1.023145161825e-10       6.514362170635e+17       3.354055974022e-09       1.115445515164e+44       1.265246007567e+33       2.940042969962e+34      -9.203008540962e-09       7.711238537489e+43       1.886569369220e+44       1.886569369220e+44       6.288564563044e+43      -4.329927078856e+52       1.672685440140e-06       1.377925610729e+00 
       7.894035946874e+13       1.213098151931e-25       5.872607289348e-09       1.344311593160e+22       8.164029726345e+03       1.034202248544e-10       6.444714413111e+17       3.390303115807e-09       1.068502323054e+44       1.225096523241e+33       2.846747904469e+34      -9.203008540962e-09       7.386713361536e+43       1.807173659505e+44       1.807173659505e+44       6.023912197359e+43      -4.103358564661e+52       1.697460077570e-06       1.357814617924e+00 
       7.809637522728e+13       1.239459631354e-25       5.935362423770e-09       1.315720066949e+22       8.164029726345e+03       1.045378828734e-10       6.375811288753e+17       3.426941978927e-09       1.023534721195e+44       1.186221084502e+33       2.756413329465e+34      -9.203008540962e-09       7.075845730907e+43       1.731119294573e+44       1.731119294573e+44       5.770397647618e+43      -3.888645513778e+52       1.722234715000e-06       1.338282225177e+00 
       7.726141437266e+13       1.266393964431e-25       5.999936547596e-09       1.287736640360e+22       8.164029726344e+03       1.056676193755e-10       6.307644836378e+17       3.463976796705e-09       9.804595674597e+43       1.148579262631e+33       2.668945301030e+34      -9.203008540962e-09       6.778060871876e+43       1.658265654926e+44       1.658265654926e+44       5.527552182158e+43      -3.685167575180e+52       1.747009352431e-06       1.319303816813e+00 
       7.643538043208e+13       1.293913599455e-25       6.064510671422e-09       1.260348380010e+22       8.164029726344e+03       1.068095648925e-10       6.240207179920e+17       3.501411848191e-09       9.391972187335e+43       1.112131911819e+33       2.584252856328e+34      -9.203008540962e-09       6.492808199900e+43       1.588478038993e+44       1.588478038993e+44       5.294926795745e+43      -3.492336858435e+52       1.771783989861e-06       1.300856153948e+00 
       7.561817796419e+13       1.322031255563e-25       6.129994289950e-09       1.233542627590e+22       8.164029726344e+03       1.079638513667e-10       6.173490527517e+17       3.539251458700e-09       8.996713836576e+43       1.076841128449e+33       2.502247919005e+34      -9.203008540962e-09       6.219560301621e+43       1.521627414081e+44       1.521627414081e+44       5.072091379399e+43      -3.309596235170e+52       1.796558627292e-06       1.282917279556e+00 
       7.480971254804e+13       1.350759928491e-25       6.196387403179e-09       1.207306994015e+22       8.164029726344e+03       1.091306121662e-10       6.107487170615e+17       3.577500000295e-09       8.618089815724e+43       1.042670211687e+33       2.422845207593e+34      -9.203008540962e-09       5.957811959714e+43       1.457590177797e+44       1.457590177797e+44       4.858633925146e+43      -3.136417729406e+52       1.821333264723e-06       1.265466431301e+00 
       7.400989077217e+13       1.380112895825e-25       6.263690011110e-09       1.181629353697e+22       8.164029726344e+03       1.103099821006e-10       6.042189483075e+17       3.616161892273e-09       8.255400073962e+43       1.009583625307e+33       2.345962146825e+34      -9.203008540962e-09       5.707079218778e+43       1.396247929519e+44       1.396247929519e+44       4.654159764247e+43      -2.972300992125e+52       1.846107902154e-06       1.248483961346e+00 
       7.321862022383e+13       1.410103724115e-25       6.330992619041e-09       1.156497838943e+22       8.164029726344e+03       1.115020974362e-10       5.977589920292e+17       3.655241601703e-09       7.907974021903e+43       9.775469607398e+32       2.271518781756e+34      -9.203008540962e-09       5.466898490527e+43       1.337487251480e+44       1.337487251480e+44       4.458290837477e+43      -2.816771855662e+52       1.870882539585e-06       1.231951262585e+00 
       7.243580947828e+13       1.440746274569e-25       6.399204721674e-09       1.131900834467e+22       8.164029726344e+03       1.127070959122e-10       5.913681018325e+17       3.694743643921e-09       7.575169291715e+43       9.465269012863e+32       2.199437694617e+34      -9.203008540962e-09       5.236825696652e+43       1.281199499066e+44       1.281199499066e+44       4.270664996122e+43      -2.669380963727e+52       1.895657177016e-06       1.215850700634e+00 
       7.166136808825e+13       1.472054709107e-25       6.468326319009e-09       1.107826972022e+22       8.164029726344e+03       1.139251167559e-10       5.850455393029e+17       3.734672583043e-09       7.256370549422e+43       9.164911874726e+32       2.129643924301e+34      -9.203008540962e-09       5.016435447747e+43       1.227280599939e+44       1.227280599939e+44       4.090935332390e+43      -2.529702473130e+52       1.920431814447e-06       1.200165551066e+00 
       7.089520657347e+13       1.504043498522e-25       6.538357411046e-09       1.084265125149e+22       8.164029726344e+03       1.151563006997e-10       5.787905739211e+17       3.775033032552e-09       6.950988357200e+43       8.874085834999e+32       2.062064888408e+34      -9.203008540962e-09       4.805320256793e+43       1.175630861614e+44       1.175630861614e+44       3.918769537997e+43      -2.397332823422e+52       1.945206451879e-06       1.184879941505e+00 
       7.013723641037e+13       1.536727426363e-25       6.609297997784e-09       1.061204404031e+22       8.164029726344e+03       1.164007899966e-10       5.726024829778e+17       3.815829655719e-09       6.658458083535e+43       8.592488447607e+32       1.996630307765e+34      -9.203008540962e-09       4.603089785739e+43       1.126154787136e+44       1.126154787136e+44       3.753849289758e+43      -2.271889570928e+52       1.969981089310e-06       1.169978797995e+00 
       6.938737002177e+13       1.570121599600e-25       6.680238584522e-09       1.038634150463e+22       8.164029726344e+03       1.176587284369e-10       5.664805514905e+17       3.857067166300e-09       6.378238859265e+43       8.319826863865e+32       1.933272133333e+34      -9.203008540962e-09       4.409370123796e+43       1.078760898508e+44       1.078760898508e+44       3.595869661020e+43      -2.153010283789e+52       1.994755726742e-06       1.155447795479e+00 
       6.864552076686e+13       1.604241451115e-25       6.752998160664e-09       1.016543932922e+22       8.164029726344e+03       1.189302613651e-10       5.604240721210e+17       3.898750328894e-09       6.109812577545e+43       8.055817527920e+32       1.871924475447e+34      -9.203008540962e-09       4.223803096099e+43       1.033361567560e+44       1.033361567560e+44       3.444538557881e+43      -2.040351494817e+52       2.019530364175e-06       1.141273311803e+00 
       6.791160293113e+13       1.639102751704e-25       6.825757736806e-09       9.949235417487e+21       8.164029726344e+03       1.202155356961e-10       5.544323450934e+17       3.940883959696e-09       5.852682935902e+43       7.800185881873e+32       1.812523535284e+34      -9.203008540962e-09       4.046045601464e+43       9.898728539257e+43       9.898728539257e+43       3.299576179122e+43      -1.933587709147e+52       2.044305001608e-06       1.127442385180e+00 
       6.718553171646e+13       1.674721612410e-25       6.899426807649e-09       9.737629844298e+21       8.164029726344e+03       1.215146999327e-10       5.485046781134e+17       3.983472926850e-09       5.606374518605e+43       7.552666080245e+32       1.755007538526e+34      -9.203008540962e-09       3.875768978021e+43       9.482143498457e+43       9.482143498457e+43       3.160714498875e+43      -1.832410463815e+52       2.069079639041e-06       1.113942674601e+00 
       6.646722323137e+13       1.711114496534e-25       6.974005373195e-09       9.530524809767e+21       8.164029726344e+03       1.228279041826e-10       5.426403862884e+17       4.026522151196e-09       5.370431917652e+43       7.313000713516e+32       1.699316671107e+34      -9.203008540962e-09       3.712658395534e+43       9.083090314958e+43       9.083090314958e+43       3.027696771062e+43      -1.736527436545e+52       2.093854276475e-06       1.100762423160e+00 
       6.575659448129e+13       1.748298223530e-25       7.049493433442e-09       9.327824594069e+21       8.164029726343e+03       1.241553001755e-10       5.368387920484e+17       4.070036606691e-09       5.144418890750e+43       7.080940540422e+32       1.645393017016e+34      -9.203008540962e-09       3.556412273305e+43       8.700831165771e+43       8.700831165771e+43       2.900277054685e+43      -1.645661601165e+52       2.118628913909e-06       1.087890423859e+00 
       6.505356335897e+13       1.786289979186e-25       7.125890988391e-09       9.129435513200e+21       8.164029726343e+03       1.254970412811e-10       5.310992250672e+17       4.114021321076e-09       4.927917554735e+43       6.856244228764e+32       1.593180498066e+34      -9.203008540962e-09       3.406741722570e+43       8.334659278967e+43       8.334659278967e+43       2.778219759102e+43      -1.559550427223e+52       2.143403551343e-06       1.075315987857e+00 
       6.435804863501e+13       1.825107322729e-25       7.202288543340e-09       8.935265875676e+21       8.164029726343e+03       1.268532825264e-10       5.254210221857e+17       4.158481376427e-09       4.720527612930e+43       6.638678104429e+32       1.542624815572e+34      -9.203008540962e-09       3.263370012362e+43       7.983897626901e+43       7.983897626901e+43       2.661299208431e+43      -1.477945121482e+52       2.168178188778e-06       1.063028914856e+00 
       6.366996994847e+13       1.864768194221e-25       7.280505087692e-09       8.745225940156e+21       8.164029726343e+03       1.282241806137e-10       5.198035273347e+17       4.203421909713e-09       4.521865615026e+43       6.428015908379e+32       1.493673393886e+34      -9.203008540962e-09       3.126032057854e+43       7.647897674438e+43       7.647897674438e+43       2.549299224293e+43      -1.400609909102e+52       2.192952826213e-06       1.051019465496e+00 
       6.298924779757e+13       1.905290925003e-25       7.359631126747e-09       8.559227873966e+21       8.164029726343e+03       1.296098939390e-10       5.142460914594e+17       4.248848113472e-09       4.331564248103e+43       6.224038561352e+32       1.446275325718e+34      -9.203008540962e-09       2.994473930236e+43       7.326038179847e+43       7.326038179847e+43       2.442012726113e+43      -1.327321352438e+52       2.217727463649e-06       1.039278335633e+00 
       6.231580353053e+13       1.946694242677e-25       7.438757165801e-09       8.377185712502e+21       8.164029726343e+03       1.310105826100e-10       5.087480724442e+17       4.294765236280e-09       4.149271657499e+43       6.026533936032e+32       1.400381319198e+34      -9.203008540962e-09       2.868452387215e+43       7.017724046174e+43       7.017724046174e+43       2.339241348238e+43      -1.257867705482e+52       2.242502101086e-06       1.027796632263e+00 
       6.164955933647e+13       1.988997284455e-25       7.518792699557e-09       8.199015319501e+21       8.164029726343e+03       1.324264084644e-10       5.033088350389e+17       4.341178583531e-09       3.974650796248e+43       5.835296636442e+32       1.355943646612e+34      -9.203008540962e-09       2.747734423279e+43       6.722385220941e+43       6.722385220941e+43       2.240795073175e+43      -1.192048302085e+52       2.267276738523e-06       1.016565851104e+00 
       6.099043823641e+13       2.032219600345e-25       7.600647222716e-09       8.024634348154e+21       8.164029726343e+03       1.338575350893e-10       4.979277507847e+17       4.388093517841e-09       3.807378801907e+43       5.650127784345e+32       1.312916094768e+34      -9.203008540962e-09       2.632096838881e+43       6.439475642158e+43       6.439475642158e+43       2.146491880263e+43      -1.129672976188e+52       2.292051375960e-06       1.005577855535e+00 
       6.033836407438e+13       2.076381168570e-25       7.682501745876e-09       7.853962203049e+21       8.164029726343e+03       1.353041278394e-10       4.926041979422e+17       4.435515459904e-09       3.647146399602e+43       5.470834812417e+32       1.271253916936e+34      -9.203008540962e-09       2.521325827764e+43       6.168472228692e+43       6.168472228692e+43       2.056157409122e+43      -1.070561512397e+52       2.316826013397e-06       9.948248569949e-01 
       5.969326150864e+13       2.121502398179e-25       7.765265763737e-09       7.686920002917e+21       8.164029726343e+03       1.367663538566e-10       4.873375614189e+17       4.483449888875e-09       3.493657330200e+43       5.297231263987e+32       1.230913786315e+34      -9.203008540962e-09       2.415216581641e+43       5.908873913125e+43       5.908873913125e+43       1.969624637280e+43      -1.014543125298e+52       2.341600650835e-06       9.842993965142e-01 
       5.905505600295e+13       2.167604144383e-25       7.849848771002e-09       7.523430544179e+21       8.164029726343e+03       1.382443820887e-10       4.821272326989e+17       4.531902343218e-09       3.346627802545e+43       5.129136599130e+32       1.191853750975e+34      -9.203008540962e-09       2.313572911521e+43       5.660200715309e+43       5.660200715309e+43       1.886733571355e+43      -9.614559660228e+51       2.366375288272e-06       9.739943275096e-01 
       5.842367381797e+13       2.214707713963e-25       7.934431778267e-09       7.363418265262e+21       8.164029726343e+03       1.397383833098e-10       4.769726097721e+17       4.580878421192e-09       3.205785968747e+43       4.966376006913e+32       1.154033190224e+34      -9.203008540962e-09       2.216206884969e+43       5.421992854920e+43       5.421992854920e+43       1.807330951239e+43      -9.111466546379e+51       2.391149925710e-06       9.639027995670e-01 
       5.779904200274e+13       2.262834877186e-25       8.019924280234e-09       7.206809211676e+21       8.164029726342e+03       1.412485301392e-10       4.718730970645e+17       4.630383781574e-09       3.070871421555e+43       4.808780223600e+32       1.117412772373e+34      -9.203008540962e-09       2.122938478630e+43       5.193809901350e+43       5.193809901350e+43       1.731269966728e+43      -8.634698369931e+51       2.415924563148e-06       9.540182432722e-01 
       5.718108838624e+13       2.312007878065e-25       8.106326276902e-09       7.053531001835e+21       8.164029726342e+03       1.427749970619e-10       4.668281053699e+17       4.680424144316e-09       2.941634712878e+43       4.656185356627e+32       1.081954413823e+34      -9.203008540962e-09       2.033595245378e+43       4.975229959385e+43       4.975229959385e+43       1.658409986085e+43      -8.182877647653e+51       2.440699200587e-06       9.443343559515e-01 
       5.656974156908e+13       2.362249442343e-25       8.194547262974e-09       6.903512793601e+21       8.164029726342e+03       1.443179604484e-10       4.618370517815e+17       4.731005291132e-09       2.817836892574e+43       4.508432714155e+32       1.047621239469e+34      -9.203008540962e-09       1.948011995474e+43       4.765848889141e+43       4.765848889141e+43       1.588616296016e+43      -7.754698974735e+51       2.465473838026e-06       9.348450882512e-01 
       5.596493091520e+13       2.413582792088e-25       8.282768249046e-09       6.756685251544e+21       8.164029726342e+03       1.458775985753e-10       4.568993596244e+17       4.782133066300e-09       2.699249066647e+43       4.365368640048e+32       1.014377544344e+34      -9.203008540962e-09       1.866030491139e+43       4.565279558844e+43       4.565279558844e+43       1.521759852595e+43      -7.348925253209e+51       2.490248475465e-06       9.255446315680e-01 
       5.536658654378e+13       2.466031650832e-25       8.372808224522e-09       6.612980514899e+21       8.164029726342e+03       1.474540916458e-10       4.520144583895e+17       4.833813377153e-09       2.585651974035e+43       4.226844354066e+32       9.821887564925e+33      -9.203008540962e-09       1.787499153984e+43       4.373151129043e+43       4.373151129043e+43       1.457717042673e+43      -6.964384117709e+51       2.515023112905e-06       9.164274061505e-01 
       5.477463932109e+13       2.519620261347e-25       8.462848199997e-09       6.472332166196e+21       8.164029726342e+03       1.490476218106e-10       4.471817836670e+17       4.886052194983e-09       2.476835581215e+43       4.092715797147e+32       9.510214010155e+33      -9.203008540962e-09       1.712272784751e+43       4.189108366958e+43       4.189108366958e+43       1.396369455322e+43      -6.599964548261e+51       2.539797750346e-06       9.074880499846e-01 
       5.418902085255e+13       2.574373389133e-25       8.554707164876e-09       6.334675200569e+21       8.164029726342e+03       1.506583731889e-10       4.424007770816e+17       4.938855555487e-09       2.372598693860e+43       3.962843481594e+32       9.208430652568e+33      -9.203008540962e-09       1.640212294851e+43       4.012810989671e+43       4.012810989671e+43       1.337603662903e+43      -6.254613660314e+51       2.564572387787e-06       8.987214082254e-01 
       5.360966347481e+13       2.630316342182e-25       8.646566129755e-09       6.199945995709e+21       8.164029726342e+03       1.522865318895e-10       4.376708862276e+17       4.992229559720e-09       2.272748584847e+43       3.837092346006e+32       8.916223650974e+33      -9.203008540962e-09       1.571184449194e+43       3.843933034971e+43       3.843933034971e+43       1.281311011347e+43      -5.927333662739e+51       2.589347025228e-06       8.901225233390e-01 
       5.303650024796e+13       2.687474974474e-25       8.740244084038e-09       6.068082282460e+21       8.164029726342e+03       1.539322860327e-10       4.329915646055e+17       5.046180374552e-09       2.177100637917e+43       3.715331614827e+32       8.633289123159e+33      -9.203008540962e-09       1.505061619852e+43       3.682162258670e+43       3.682162258670e+43       1.227387419257e+43      -5.617178974996e+51       2.614121662671e-06       8.816866257024e-01 
       5.246946494773e+13       2.745875704371e-25       8.834831533022e-09       5.939023116038e+21       8.164029726342e+03       1.555958257717e-10       4.283622715585e+17       5.100714233575e-09       2.085478006332e+43       3.597434662343e+32       8.359332829871e+33      -9.203008540962e-09       1.441721550079e+43       3.527199557283e+43       3.527199557283e+43       1.175733185470e+43      -5.323253495157e+51       2.638896300115e-06       8.734091248216e-01 
       5.190849205793e+13       2.805545523591e-25       8.930328476708e-09       5.812708847866e+21       8.164029726342e+03       1.572773433147e-10       4.237824722105e+17       5.155837437725e-09       1.997711285894e+43       3.483278880996e+32       8.094069868818e+33      -9.203008540962e-09       1.381047128267e+43       3.378758415006e+43       3.378758415006e+43       1.126252804720e+43      -5.044708010879e+51       2.663670937559e-06       8.652856009822e-01 
       5.135351676279e+13       2.866512009534e-25       9.026734915096e-09       5.689081098004e+21       8.164029726341e+03       1.589770329470e-10       4.192516374036e+17       5.211556356005e-09       1.913638201732e+43       3.372745553882e+32       7.837224378386e+33      -9.203008540962e-09       1.322926171417e+43       3.236564373966e+43       3.236564373966e+43       1.078854791050e+43      -4.780737745850e+51       2.688445575002e-06       8.573117973793e-01 
       5.080447493954e+13       2.928803341104e-25       9.124050848186e-09       5.568082728167e+21       8.164029726341e+03       1.606950910536e-10       4.147692436376e+17       5.267877426316e-09       1.833103308263e+43       3.265719731282e+32       7.588529250754e+33      -9.203008540962e-09       1.267251217716e+43       3.100354526771e+43       3.100354526771e+43       1.033451508660e+43      -4.530580034624e+51       2.713220212445e-06       8.494836126970e-01 
       5.026130315096e+13       2.992448306210e-25       9.223185770679e-09       5.449657815317e+21       8.164029726341e+03       1.624317161420e-10       4.103347730091e+17       5.324807156032e-09       1.755957701787e+43       3.162090111129e+32       7.347725854112e+33      -9.203008540962e-09       1.213919327851e+43       2.969877030405e+43       2.969877030405e+43       9.899590098794e+42      -4.293512119118e+51       2.737994849889e-06       8.417970940443e-01 
       4.972393863805e+13       3.057476322579e-25       9.322320693173e-09       5.333751625818e+21       8.164029726341e+03       1.641871088646e-10       4.059477131519e+17       5.382352122977e-09       1.682058745171e+43       3.061748923254e+32       7.114563763700e+33      -9.203008540962e-09       1.162831894678e+43       2.844890640591e+43       2.844890640591e+43       9.482968799498e+42      -4.068849060415e+51       2.762769487333e-06       8.342484303391e-01 
       4.919231931283e+13       3.123917442292e-25       9.423274605069e-09       5.220310590135e+21       8.164029726341e+03       1.659614720425e-10       4.016075571777e+17       5.440518975920e-09       1.611269804123e+43       2.964591817309e+32       6.888800501372e+33      -9.203008540962e-09       1.113894460907e+43       2.725164265748e+43       2.725164265748e+43       9.083880883432e+42      -3.855941759830e+51       2.787544124777e-06       8.268339459608e-01 
       4.866638375110e+13       3.191802375893e-25       9.525138011668e-09       5.109282278082e+21       8.164029726341e+03       1.677550106886e-10       3.973138036175e+17       5.499314435636e-09       1.543459994564e+43       2.870517754250e+32       6.670201283434e+33      -9.203008540962e-09       1.067016544452e+43       2.610476539712e+43       2.610476539712e+43       8.701588463388e+42      -3.654175083526e+51       2.812318762222e-06       8.195500948336e-01 
       4.814607118538e+13       3.261162496056e-25       9.627910912968e-09       5.000615374581e+21       8.164029726341e+03       1.695679320314e-10       3.930659563640e+17       5.558745295383e-09       1.478503940634e+43       2.779428901258e+32       6.458538776476e+33      -9.203008540962e-09       1.022111471143e+43       2.500615412450e+43       2.500615412450e+43       8.335384705921e+42      -3.462966085269e+51       2.837093399667e-06       8.123934547208e-01 
