# Matter power spectrum P(k) at redshift z=0
# for k=1.4879e-05 to 1.07467 h/Mpc,
# number of wavenumbers equal to 616
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.487903334499e-05       1.810136667229e+01 
       3.150391563672e-05       3.736275260175e+01 
       4.823223178640e-05       5.638048867834e+01 
       6.513910232271e-05       7.536996352909e+01 
       8.230179553465e-05       9.447391927013e+01 
       9.980087200527e-05       1.138118079413e+02 
       1.177213902122e-04       1.334949026025e+02 
       1.361541983169e-04       1.536331870525e+02 
       1.551973371798e-04       1.743394539090e+02 
       1.749575791208e-04       1.957323233104e+02 
       1.955521254003e-04       2.179387756830e+02 
       2.171104819928e-04       2.410965597946e+02 
       2.397765267005e-04       2.653565163777e+02 
       2.637107692810e-04       2.908850590720e+02 
       2.890927876110e-04       3.178666205667e+02 
       3.161237938131e-04       3.465061631072e+02 
       3.450292407982e-04       3.770316440271e+02 
       3.760613174057e-04       4.096962776228e+02 
       4.095010952133e-04       4.447803028355e+02 
       4.456599801916e-04       4.825919161653e+02 
       4.848799910852e-04       5.234669525718e+02 
       5.275322473203e-04       5.677664495789e+02 
       5.740129325822e-04       6.158718582980e+02 
       6.247359585288e-04       6.681765496035e+02 
       6.801216618470e-04       7.250733337194e+02 
       7.405812124918e-04       7.869380118254e+02 
       8.064970526699e-04       8.541090255747e+02 
       8.782006049153e-04       9.268646131999e+02 
       9.559495223831e-04       1.005400861459e+03 
       1.039907586531e-03       1.089812129759e+03 
       1.130130590959e-03       1.180079081602e+03 
       1.226560900051e-03       1.276065409686e+03 
       1.329031870061e-03       1.377524992906e+03 
       1.437281390961e-03       1.484117850084e+03 
       1.550972097421e-03       1.595432952440e+03 
       1.669714856128e-03       1.711012852890e+03 
       1.793092153118e-03       1.830378625097e+03 
       1.920678775183e-03       1.953046190550e+03 
       2.052058288559e-03       2.078509453290e+03 
       2.186834871562e-03       2.206375501376e+03 
       2.324640823229e-03       2.336242345996e+03 
       2.465140491192e-03       2.467745356862e+03 
       2.608031497953e-03       2.600558562374e+03 
       2.753044096109e-03       2.734392356580e+03 
       2.899939343260e-03       2.868991671517e+03 
       3.048506622156e-03       3.004132570986e+03 
       3.198560878163e-03       3.139619713422e+03 
       3.349939820442e-03       3.275282154453e+03 
       3.502501238403e-03       3.410970882830e+03 
       3.656120517668e-03       3.546556408848e+03 
       3.810688394537e-03       3.681925535447e+03 
       3.966108959014e-03       3.816979679035e+03 
       4.122297899103e-03       3.951632923791e+03 
       4.279180969498e-03       4.085810104950e+03 
       4.436692663296e-03       4.219445594630e+03 
       4.594775063980e-03       4.352481901642e+03 
       4.753376855421e-03       4.484868546767e+03 
       4.912452469160e-03       4.616562349541e+03 
       5.071961350203e-03       4.747523937369e+03 
       5.231867324687e-03       4.877719260124e+03 
       5.392138054910e-03       5.007119107238e+03 
       5.552744569113e-03       5.135696919557e+03 
       5.713660855220e-03       5.263430244107e+03 
       5.874863509279e-03       5.390297504427e+03 
       6.036331430686e-03       5.516283597498e+03 
       6.198045557510e-03       5.641370353062e+03 
       6.359988636151e-03       5.765546689343e+03 
       6.522145020521e-03       5.888800078034e+03 
       6.684500496563e-03       6.011118695517e+03 
       6.847042128634e-03       6.132553309207e+03 
       7.009758124725e-03       6.252986030545e+03 
       7.172637717976e-03       6.372459741861e+03 
       7.335671062301e-03       6.490952719416e+03 
       7.498849140260e-03       6.608481218979e+03 
       7.662163681580e-03       6.725036878227e+03 
       7.825607090940e-03       6.840629464518e+03 
       7.989172383873e-03       6.955254998469e+03 
       8.152853129727e-03       7.068902092548e+03 
       8.316643400856e-03       7.181573230685e+03 
       8.480537727236e-03       7.293261520410e+03 
       8.644531055896e-03       7.403972879178e+03 
       8.808618714564e-03       7.513704893620e+03 
       8.972796379041e-03       7.622457278454e+03 
       9.137060043884e-03       7.730233896273e+03 
       9.301405996008e-03       7.837019296332e+03 
       9.465830790884e-03       7.942846152699e+03 
       9.630331231051e-03       8.047702415674e+03 
       9.794904346676e-03       8.151591807669e+03 
       9.959547377959e-03       8.254501637338e+03 
       1.012425775917e-02       8.356456353544e+03 
       1.028903310416e-02       8.457411205234e+03 
       1.045387119318e-02       8.557401379922e+03 
       1.061876996089e-02       8.656566951742e+03 
       1.078372748543e-02       8.754686003661e+03 
       1.094874197843e-02       8.851785812944e+03 
       1.111381177592e-02       8.948004352177e+03 
       1.127893532999e-02       9.043331732674e+03 
       1.144411120114e-02       9.137565359369e+03 
       1.160933805132e-02       9.230972131062e+03 
       1.177461463749e-02       9.323431826978e+03 
       1.193993980578e-02       9.414959824786e+03 
       1.210531248603e-02       9.505554186049e+03 
       1.227073168683e-02       9.595219072250e+03 
       1.243619649095e-02       9.683969302497e+03 
