# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518508976e-26       4.634785000235e-09       2.157256292853e+22       9.911320922732e+03       9.911320922732e-11       9.911320922732e+17       2.676317464468e-09       2.751560535470e+44       2.490422367464e+33       3.561676278182e+34       1.304999258011e-08       1.902194177205e+44       4.653754713056e+44       4.653754713056e+44       1.551251570892e+44      -1.338578885242e+53       1.945720387158e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208639e-26       4.685716703534e-09       2.111374631075e+22       9.911320922732e+03       1.001843215096e-10       9.805354865229e+17       2.705240316045e-09       2.635761930281e+44       2.411394910978e+33       3.448655201609e+34       1.304999258011e-08       1.822140902098e+44       4.457902832749e+44       4.457902832749e+44       1.485967610793e+44      -1.268536174674e+53       1.987549406578e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675192e-26       4.736648406833e-09       2.066468804618e+22       9.911320922732e+03       1.012670092572e-10       9.700521734955e+17       2.734475734657e-09       2.524836674885e+44       2.334875197339e+33       3.339220572190e+34       1.304999258011e-08       1.745456645219e+44       4.270293320461e+44       4.270293320461e+44       1.423431106701e+44      -1.202158531110e+53       2.029378425994e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126488878e-26       4.787580110133e-09       2.022518058904e+22       9.911320922732e+03       1.023613975658e-10       9.596809419312e+17       2.764027098773e-09       2.418579675807e+44       2.260783649468e+33       3.233258582805e+34       1.304999258011e-08       1.671999622440e+44       4.090579298592e+44       4.090579298592e+44       1.363526432749e+44      -1.139254175618e+53       2.071207445406e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922603e-26       4.838511813432e-09       1.979502080772e+22       9.911320922732e+03       1.034676128828e-10       9.494205935205e+17       2.793897823386e-09       2.316794470871e+44       2.189043215469e+33       3.130659037724e+34       1.304999258011e-08       1.601634016574e+44       3.918428487780e+44       3.918428487780e+44       1.306142829148e+44      -1.079641364325e+53       2.113036464819e-06       1.841634462245e+00 
       9.476738268169e+13       8.417368954366e-26       4.891262506135e-09       1.937400989093e+22       9.911320922731e+03       1.045857830222e-10       9.392699427656e+17       2.824091359626e-09       2.219292865953e+44       2.119579288499e+33       3.031315238010e+34       1.304999258011e-08       1.534229726263e+44       3.753522592540e+44       3.753522592540e+44       1.251174197405e+44      -1.023147863320e+53       2.154865484232e-06       1.805885704715e+00 
       9.375418514718e+13       8.600284325552e-26       4.944013198838e-09       1.896195325583e+22       9.911320922731e+03       1.057160371793e-10       9.292278168429e+17       2.854611196106e-09       2.125894587024e+44       2.052319629182e+33       2.935123870555e+34       1.304999258011e-08       1.469662125423e+44       3.595556712761e+44       3.595556712761e+44       1.198518904149e+44      -9.696104510329e+52       2.196694503644e-06       1.771498388657e+00 
       9.275182012925e+13       8.787174577590e-26       4.998582880944e-09       1.855866045802e+22       9.911320922731e+03       1.068585059454e-10       9.192930554685e+17       2.885460859199e-09       2.036426946831e+44       1.987194290481e+33       2.841984900639e+34       1.304999258011e-08       1.407811832824e+44       3.444238779960e+44       3.444238779960e+44       1.148079593218e+44      -9.188744466525e+52       2.238523523056e-06       1.738396194402e+00 
       9.176017181296e+13       8.978126094790e-26       5.051333573647e-09       1.816394510361e+22       9.911320922731e+03       1.080133213235e-10       9.094645107632e+17       2.916643913403e-09       1.950724525616e+44       1.924135544956e+33       2.751801467899e+34       1.304999258011e-08       1.348564491358e+44       3.299289017268e+44       3.299289017268e+44       1.099763005658e+44      -8.707932632238e+52       2.280352542467e-06       1.706508402069e+00 
       9.077912562158e+13       9.173227129249e-26       5.105903255753e-09       1.777762476301e+22       9.911320922731e+03       1.091806167427e-10       8.997410471204e+17       2.948163961616e-09       1.868628865258e+44       1.863077814332e+33       2.664479785600e+34       1.304999258011e-08       1.291810556602e+44       3.160439422145e+44       3.160439422145e+44       1.053479807287e+44      -8.252279841261e+52       2.322181561878e-06       1.675769387308e+00 
