# Matter power spectrum P(k) at redshift z=0
# for k=3.61478e-06 to 1.00457 h/Mpc,
# number of wavenumbers equal to 803
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.614779024889e-06       9.812620656512e+02 
       6.824577152444e-06       1.813025211549e+03 
       1.003525214864e-05       2.631259254286e+03 
       1.324733928832e-05       3.440794491954e+03 
       1.646137450128e-05       4.244040103772e+03 
       1.967789467003e-05       5.042471191733e+03 
       2.289743792828e-05       5.837106166850e+03 
       2.612054396030e-05       6.628696006446e+03 
       2.934775430166e-05       7.417831922954e+03 
       3.257961264136e-05       8.205000116815e+03 
       3.581666512578e-05       8.990605541066e+03 
       3.905946066466e-05       9.775001844731e+03 
       4.230855123941e-05       1.055850124783e+04 
       4.556449221393e-05       1.134138422330e+04 
       4.882784264833e-05       1.212390719928e+04 
       5.209916561576e-05       1.290630743816e+04 
       5.537902852261e-05       1.368880593693e+04 
       5.866800343236e-05       1.447161156469e+04 
       6.196666739346e-05       1.525492266120e+04 
       6.527560277130e-05       1.603892910298e+04 
       6.859539758479e-05       1.682381342627e+04 
       7.192664584770e-05       1.760975215887e+04 
       7.526994791502e-05       1.839691731476e+04 
       7.862591083475e-05       1.918547638217e+04 
       8.199514870532e-05       1.997559355227e+04 
       8.537828303890e-05       2.076743026901e+04 
       8.877594313103e-05       2.156114548491e+04 
       9.218876643670e-05       2.235689649410e+04 
       9.561739895332e-05       2.315483904444e+04 
       9.906249561079e-05       2.395512735636e+04 
       1.025247206690e-04       2.475791541790e+04 
       1.060047481230e-04       2.556335631327e+04 
       1.095032621163e-04       2.637160277791e+04 
       1.130209573626e-04       2.718280763759e+04 
       1.165585395759e-04       2.799712344631e+04 
       1.201167259094e-04       2.881470379603e+04 
       1.236962454046e-04       2.963570211014e+04 
       1.272978394486e-04       3.046027292386e+04 
       1.309222622422e-04       3.128857110315e+04 
       1.345702812778e-04       3.212075277094e+04 
       1.382426778279e-04       3.295697526931e+04 
       1.419402474439e-04       3.379739690168e+04 
       1.456638004664e-04       3.464217760671e+04 
       1.494141625464e-04       3.549147862866e+04 
       1.531921751784e-04       3.634546294331e+04 
       1.569986962447e-04       3.720429468653e+04 
       1.608346005723e-04       3.806814087024e+04 
       1.647007805019e-04       3.893716967399e+04 
       1.685981464691e-04       3.981155159155e+04 
       1.725276275986e-04       4.069145893640e+04 
       1.764901723112e-04       4.157706674907e+04 
       1.804867489434e-04       4.246855206713e+04 
       1.845183463804e-04       4.336609435181e+04 
       1.885859747029e-04       4.426987594391e+04 
       1.926906658457e-04       4.518008182292e+04 
       1.968334742713e-04       4.609689854744e+04 
       2.010154776554e-04       4.702051679631e+04 
       2.052377775866e-04       4.795113014238e+04 
       2.095015002786e-04       4.888893392218e+04 
       2.138077972959e-04       4.983412768480e+04 
       2.181578462918e-04       5.078691300187e+04 
       2.225528517590e-04       5.174749600249e+04 
       2.269940457927e-04       5.271608547339e+04 
       2.314826888649e-04       5.369289207366e+04 
       2.360200706099e-04       5.467813241784e+04 
       2.406075106210e-04       5.567202479127e+04 
       2.452463592559e-04       5.667479174333e+04 
       2.499379984525e-04       5.768665875320e+04 
       2.546838425518e-04       5.870785566886e+04 
       2.594853391281e-04       5.973861442374e+04 
       2.643439698250e-04       6.077917390440e+04 
       2.692612511965e-04       6.182977213913e+04 
       2.742387355496e-04       6.289065462562e+04 
       2.792780117898e-04       6.396206912261e+04 
       2.843807062651e-04       6.504426731179e+04 
       2.895484836072e-04       6.613750347617e+04 
       2.947830475684e-04       6.724203775571e+04 
       3.000861418505e-04       6.835813236711e+04 
       3.054595509236e-04       6.948605310973e+04 
       3.109051008319e-04       7.062607064501e+04 
       3.164246599829e-04       7.177845800670e+04 
       3.220201399166e-04       7.294349165444e+04 
       3.276934960505e-04       7.412145376896e+04 
       3.334467283976e-04       7.531262232541e+04 
       3.392818822504e-04       7.651711996502e+04 
       3.452010488290e-04       7.773540728729e+04 
       3.512063658857e-04       7.896776285932e+04 
       3.573000182622e-04       8.021448909042e+04 
       3.634842383924e-04       8.147587558917e+04 
       3.697613067451e-04       8.275223264130e+04 
       3.761335522002e-04       8.404385208206e+04 
       3.826033523499e-04       8.535103731949e+04 
       3.891731337192e-04       8.667409080260e+04 
       3.958453718969e-04       8.801333170605e+04 
       4.026225915684e-04       8.936904884942e+04 
       4.095073664427e-04       9.074154794941e+04 
       4.165023190637e-04       9.213114392652e+04 
       4.236101204971e-04       9.353814032878e+04 
       4.308334898824e-04       9.496283319265e+04 
       4.381751938405e-04       9.640553790775e+04 
       4.456380457267e-04       9.786654412549e+04 
       4.532249047187e-04       9.934615731832e+04 
       4.609386747280e-04       1.008446637778e+05 
       4.687823031256e-04       1.023623579352e+05 
       4.767587792696e-04       1.038995255131e+05 
       4.848711328256e-04       1.054564452592e+05 
       4.931224318679e-04       1.070333933158e+05 
       5.015157807522e-04       1.086306337199e+05 
       5.100543177502e-04       1.102484271125e+05 
       5.187412124351e-04       1.118870210275e+05 
       5.275796628118e-04       1.135466595525e+05 
       5.365728921815e-04       1.152275699802e+05 
       5.457241457351e-04       1.169299710563e+05 
       5.550366868695e-04       1.186540669370e+05 
       5.645137932216e-04       1.204000480266e+05 
       5.741587524170e-04       1.221680926254e+05 
       5.839748575336e-04       1.239583601597e+05 
       5.939654022773e-04       1.257709940196e+05 
       6.041336758756e-04       1.276061166671e+05 
       6.144829576915e-04       1.294638324109e+05 
       6.250165115657e-04       1.313442251945e+05 
       6.357375798959e-04       1.332473525180e+05 
       6.466493774664e-04       1.351732670649e+05 
       6.577550850419e-04       1.371219588980e+05 
       6.690578427442e-04       1.390934245225e+05 
       6.805607432312e-04       1.410876319644e+05 
       6.922668247048e-04       1.431045045923e+05 
       7.041790637706e-04       1.451439462651e+05 
       7.163003681825e-04       1.472058262684e+05 
       7.286335695029e-04       1.492899879307e+05 
       7.411814157141e-04       1.513962402277e+05 
       7.539465638190e-04       1.535243584098e+05 
       7.669315724707e-04       1.556740734195e+05 
       7.801388946734e-04       1.578451062502e+05 
       7.935708705981e-04       1.600371245150e+05 
       8.072297205579e-04       1.622497552066e+05 
       8.211175381886e-04       1.644825966023e+05 
       8.352362838817e-04       1.667352290343e+05 
       8.495877785137e-04       1.690071697589e+05 
       8.641736975193e-04       1.712978856062e+05 
       8.789955653507e-04       1.736068578575e+05 
       8.940547503660e-04       1.759334839102e+05 
       9.093524601871e-04       1.782771687184e+05 
       9.248897375626e-04       1.806372478567e+05 
       9.406674567711e-04       1.830130118948e+05 
       9.566863205927e-04       1.854037776825e+05 
       9.729468578766e-04       1.878087702529e+05 
       9.894494217224e-04       1.902271995504e+05 
       1.006194188294e-03       1.926582737254e+05 
       1.023181156274e-03       1.951011247957e+05 
       1.040410146965e-03       1.975549060017e+05 
       1.057880805038e-03       2.000187292634e+05 
       1.075592599922e-03       2.024916503940e+05 
       1.093544827816e-03       2.049727641200e+05 
       1.111736614326e-03       2.074611039054e+05 
       1.130166917682e-03       2.099557000796e+05 
       1.148834532521e-03       2.124555837541e+05 
       1.167738094215e-03       2.149597343081e+05 
       1.186876083686e-03       2.174671248461e+05 
       1.206246832690e-03       2.199768396305e+05 
       1.225848529522e-03       2.224877245828e+05 
       1.245679225100e-03       2.249988625782e+05 
       1.265736839387e-03       2.275091691252e+05 
       1.286019168093e-03       2.300176197460e+05 
       1.306523889627e-03       2.325232156790e+05 
       1.327248572246e-03       2.350248799738e+05 
       1.348190681346e-03       2.375216743138e+05 
