# Matter power spectrum P(k) at redshift z=0
# for k=1.04832e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048322429298e-05       5.013126538210e+01 
       2.342791017483e-05       1.090149433568e+02 
       3.641851956446e-05       1.669405919899e+02 
       4.949035221949e-05       2.245050092198e+02 
       6.267929705690e-05       2.820527332336e+02 
       7.602215532663e-05       3.398450489795e+02 
       8.955697421092e-05       3.981074457643e+02 
       1.033233953269e-04       4.570491069480e+02 
       1.173630226440e-04       5.168729826552e+02 
       1.317198143623e-04       5.777819455091e+02 
       1.464405033007e-04       6.399829929210e+02 
       1.615750502796e-04       7.036909199629e+02 
       1.771771347890e-04       7.691308637198e+02 
       1.933046868366e-04       8.365414039090e+02 
       2.100204631669e-04       9.061767875628e+02 
       2.273926698924e-04       9.783098952677e+02 
       2.454956318021e-04       1.053234584802e+03 
       2.644105059755e-04       1.131268418051e+03 
       2.842260335468e-04       1.212755336849e+03 
       3.050393181776e-04       1.298068145563e+03 
       3.269566126143e-04       1.387611294021e+03 
       3.500940851963e-04       1.481822510623e+03 
       3.745785259636e-04       1.581175351240e+03 
       4.005479368305e-04       1.686179709408e+03 
       4.281519322130e-04       1.797382143145e+03 
       4.575518561535e-04       1.915364736943e+03 
       4.889205009033e-04       2.040741948646e+03 
       5.224412929513e-04       2.174155257932e+03 
       5.583068001309e-04       2.316265056906e+03 
       5.967164140785e-04       2.467738843561e+03 
       6.378730838293e-04       2.629236201302e+03 
       6.819790270087e-04       2.801389623469e+03 
       7.292304311891e-04       2.984781916711e+03 
       7.798112804144e-04       3.179920710760e+03 
       8.338865920426e-04       3.387212093975e+03 
       8.915955059802e-04       3.606933467603e+03 
       9.530447992047e-04       3.839211873702e+03 
       1.018303464297e-03       4.084004840380e+03 
       1.087398958175e-03       4.341090988030e+03 
       1.160315582444e-03       4.610069898386e+03 
       1.236995215672e-03       4.890371578088e+03 
       1.317340326083e-03       5.181275011037e+03 
       1.401218913749e-03       5.481906397030e+03 
       1.488470824078e-03       5.791339297899e+03 
       1.578914776495e-03       6.108585798089e+03 
       1.672355468500e-03       6.432616255295e+03 
       1.768590222323e-03       6.762398749653e+03 
       1.867414799286e-03       7.096923929531e+03 
       1.968628175435e-03       7.435222240725e+03 
       2.072036220056e-03       7.776378862728e+03 
       2.177454329710e-03       8.119542402426e+03 
       2.284709140549e-03       8.463929191995e+03 
       2.393639475646e-03       8.808826422997e+03 
       2.504096690830e-03       9.153588946005e+03 
       2.615944571562e-03       9.497639325081e+03 
       2.729058912962e-03       9.840462532824e+03 
       2.843326891072e-03       1.018160146300e+04 
       2.958646309834e-03       1.052065400240e+04 
       3.074924787107e-03       1.085726485173e+04 
       3.192078925298e-03       1.119112443889e+04 
       3.310033497986e-03       1.152196224365e+04 
       3.428720672985e-03       1.184954505916e+04 
       3.548079284161e-03       1.217366634161e+04 
       3.668054158392e-03       1.249415350041e+04 
       3.788595500004e-03       1.281085607104e+04 
       3.909658332183e-03       1.312364800508e+04 
       4.031201993122e-03       1.343242110296e+04 
       4.153189683579e-03       1.373708407761e+04 
       4.275588061943e-03       1.403756633810e+04 
       4.398366882713e-03       1.433380508659e+04 
       4.521498674275e-03       1.462575644404e+04 
       4.644958452021e-03       1.491337587167e+04 
       4.768723463114e-03       1.519662261873e+04 
       4.892772959451e-03       1.547549272248e+04 
       5.017087995707e-03       1.575000264890e+04 
       5.141651249628e-03       1.602011066021e+04 
       5.266446862056e-03       1.628577447611e+04 
       5.391460294399e-03       1.654716789151e+04 
       5.516678201563e-03       1.680417699906e+04 
       5.642088318549e-03       1.705680641268e+04 
       5.767679359151e-03       1.730431935486e+04 
       5.893440925363e-03       1.754829517271e+04 
       6.019363426275e-03       1.778794213639e+04 
       6.145438005372e-03       1.802325980496e+04 
       6.271656475293e-03       1.825447014508e+04 
       6.398011259211e-03       1.848153702736e+04 
       6.524495338096e-03       1.870470623885e+04 
       6.651102203214e-03       1.892313656355e+04 
       6.777825813283e-03       1.913753895016e+04 
       6.904660555791e-03       1.934793307313e+04 
       7.031601212016e-03       1.955429048605e+04 
       7.158642925369e-03       1.975663404536e+04 
       7.285781172693e-03       1.995476086151e+04 
       7.413011738232e-03       2.014926531384e+04 
       7.540330689966e-03       2.033968477382e+04 
       7.667734358105e-03       2.052688989791e+04 
       7.795219315487e-03       2.070970269883e+04 
       7.922782359724e-03       2.088871088307e+04 
       8.050420496898e-03       2.106399338590e+04 
       8.178130926673e-03       2.123557997541e+04 
       8.305911028672e-03       2.140347443585e+04 
       8.433758350008e-03       2.156776544979e+04 
       8.561670593859e-03       2.172844849987e+04 
       8.689645608984e-03       2.188558249366e+04 
       8.817681380100e-03       2.203919517296e+04 
       8.945776019030e-03       2.218930189498e+04 
       9.073927756573e-03       2.233596856098e+04 
       9.202134935008e-03       2.247925507959e+04 
       9.330396001188e-03       2.261917380548e+04 
       9.458709500178e-03       2.275577402475e+04 
       9.587074069375e-03       2.288906191432e+04 
       9.715488433080e-03       2.301909663806e+04 
       9.843951397484e-03       2.314591622173e+04 
       9.972461846024e-03       2.326955983826e+04 
       1.010101873509e-02       2.339003786009e+04 
       1.022962109005e-02       2.350741356713e+04 
       1.035826800155e-02       2.362102129908e+04 
       1.048695862211e-02       2.373298301087e+04 
       1.061569216297e-02       2.384120576264e+04 
       1.074446789109e-02       2.394654564809e+04 
       1.087328512647e-02       2.404878586628e+04 
       1.100214323961e-02       2.414819448844e+04 
       1.113104164911e-02       2.424473194284e+04 
       1.125997981952e-02       2.433845472393e+04 
       1.138895725928e-02       2.442935526338e+04 
       1.151797351883e-02       2.451747170195e+04 
       1.164702818884e-02       2.460283945132e+04 
       1.177612089859e-02       2.468549841917e+04 
       1.190525131442e-02       2.476548361265e+04 
       1.203441913833e-02       2.484282491716e+04 
       1.216362410666e-02       2.491749444341e+04 
       1.229286598883e-02       2.498958725681e+04 
       1.242214458626e-02       2.505918473561e+04 
       1.255145973126e-02       2.512623402751e+04 
       1.268081128608e-02       2.519077768027e+04 
       1.281019914198e-02       2.525284914172e+04 
       1.293962321839e-02       2.531253472292e+04 
       1.306908346211e-02       2.536973852395e+04 
       1.319857984663e-02       2.542469324162e+04 
       1.332811237140e-02       2.547718407452e+04 
       1.345768106127e-02       2.552737390097e+04 
       1.358728596590e-02       2.557516038067e+04 
       1.371692715921e-02       2.562084329335e+04 
       1.384660473894e-02       2.566415628034e+04 
       1.397631882619e-02       2.570535080711e+04 
       1.410606956506e-02       2.574437895251e+04 
       1.423585712224e-02       2.578113656154e+04 
       1.436568168669e-02       2.581589676722e+04 
       1.449554346939e-02       2.584836652016e+04 
       1.462544270305e-02       2.587892382264e+04 
       1.475537964187e-02       2.590738084587e+04 
       1.488535456138e-02       2.593380461359e+04 
       1.501536775823e-02       2.595820455346e+04 
       1.514541955006e-02       2.598062362627e+04 
       1.527551027538e-02       2.600117125574e+04 
       1.540564029348e-02       2.601896054692e+04 
       1.553580998435e-02       2.603639138216e+04 
       1.566601974864e-02       2.605128835093e+04 
       1.579627000763e-02       2.606423525941e+04 
       1.592656120324e-02       2.607529112866e+04 
       1.605689379802e-02       2.608454632354e+04 
       1.618726827520e-02       2.609217036276e+04 
       1.631768513878e-02       2.609798158320e+04 
       1.644814491355e-02       2.610205601081e+04 
       1.657864814521e-02       2.610436603586e+04 
       1.670919540051e-02       2.610494189010e+04 
       1.683978726734e-02       2.610401914996e+04 
       1.697042435491e-02       2.610052370890e+04 
       1.710110729390e-02       2.609711982880e+04 
       1.723183673666e-02       2.609125841351e+04 
       1.736261335740e-02       2.608382935876e+04 
       1.749343785240e-02       2.607488267922e+04 
       1.762431094030e-02       2.606441049592e+04 
       1.775523336226e-02       2.605244655896e+04 
       1.788620588232e-02       2.603898183607e+04 
       1.801722928764e-02       2.602352179796e+04 
       1.814830438880e-02       2.600766957097e+04 
       1.827943202014e-02       2.598888419493e+04 
       1.841061304008e-02       2.597065583940e+04 
       1.854184833149e-02       2.595014555454e+04 
       1.867313880204e-02       2.592820493700e+04 
       1.880448538460e-02       2.590413681663e+04 
       1.893588903765e-02       2.588036348013e+04 
       1.906735074566e-02       2.585448591050e+04 
       1.919887151960e-02       2.582662831524e+04 
       1.933045239732e-02       2.579828700428e+04 
       1.946209444407e-02       2.576927070243e+04 
       1.959379875300e-02       2.573843799381e+04 
       1.972556644563e-02       2.570640265477e+04 
       1.985739867241e-02       2.567302614597e+04 
       1.998929661326e-02       2.563800096262e+04 
       2.012126147812e-02       2.560265332156e+04 
       2.025329450759e-02       2.556587801713e+04 
       2.038539697346e-02       2.552869185363e+04 
       2.051757017942e-02       2.549003714544e+04 
       2.064981546163e-02       2.544915102867e+04 
       2.078213418948e-02       2.540907455746e+04 
       2.091452776618e-02       2.536643417546e+04 
       2.104699762956e-02       2.532429437659e+04 
       2.117954525278e-02       2.528025111514e+04 
       2.131217214508e-02       2.523433844987e+04 
       2.144487985257e-02       2.518843589298e+04 
       2.157766995906e-02       2.514177344408e+04 
       2.171054408688e-02       2.509495917325e+04 
       2.184350389776e-02       2.504549154877e+04 
       2.197655109369e-02       2.499594068577e+04 
       2.210968741787e-02       2.494547603732e+04 
       2.224291465567e-02       2.489424909413e+04 
       2.237623463555e-02       2.484201714276e+04 
       2.250964923011e-02       2.478921083470e+04 
       2.264316035714e-02       2.473550372239e+04 
       2.277676998066e-02       2.468174232327e+04 
       2.291048011205e-02       2.462572708183e+04 
       2.304429281116e-02       2.456981410712e+04 
