# Matter power spectrum P(k) at redshift z=0
# for k=5.10978e-06 to 1.06047 h/Mpc,
# number of wavenumbers equal to 711
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.109780379338e-06       3.715635524017e+02 
       1.024599765611e-05       7.276495699552e+02 
       1.538550183397e-05       1.077649419651e+03 
       2.053048742818e-05       1.423968148644e+03 
       2.568315536169e-05       1.767800714320e+03 
       3.084571609500e-05       2.109897435419e+03 
       3.602039277377e-05       2.450796382162e+03 
       4.120942440153e-05       2.790914772374e+03 
       4.641506904436e-05       3.130598175322e+03 
       5.163960707488e-05       3.470143296211e+03 
       5.688534446254e-05       3.809814344993e+03 
       6.215461611766e-05       4.149852139775e+03 
       6.744978929631e-05       4.490480533830e+03 
       7.277326707354e-05       4.831911117328e+03 
       7.812749189233e-05       5.174346125495e+03 
       8.351494919585e-05       5.517980911790e+03 
       8.893817115047e-05       5.863006186235e+03 
       9.439974046744e-05       6.209608935189e+03 
       9.990229433064e-05       6.557973929957e+03 
       1.054485284386e-04       6.908284555102e+03 
       1.110412011682e-04       7.260723745888e+03 
       1.166831378683e-04       7.615474613807e+03 
       1.223772352913e-04       7.972721055080e+03 
       1.281264661692e-04       8.332648464682e+03 
       1.339338839446e-04       8.695443967344e+03 
       1.398026276615e-04       9.061297196830e+03 
       1.457359270249e-04       9.430400227381e+03 
       1.517371076370e-04       9.802948696985e+03 
       1.578095964156e-04       1.017914150795e+04 
       1.639569272025e-04       1.055918162866e+04 
       1.701827465677e-04       1.094327626481e+04 
       1.764908198149e-04       1.133163722476e+04 
       1.828850371931e-04       1.172448128338e+04 
       1.893694203184e-04       1.212203060006e+04 
       1.959481288085e-04       1.252451282194e+04 
       2.026254671312e-04       1.293216173927e+04 
       2.094058916682e-04       1.334521725037e+04 
       2.162940179900e-04       1.376392602687e+04 
       2.232946283396e-04       1.418854144400e+04 
       2.304126793181e-04       1.461932438038e+04 
       2.376533097625e-04       1.505654297894e+04 
       2.450218488028e-04       1.550047343894e+04 
       2.525238240827e-04       1.595139998766e+04 
       2.601649701218e-04       1.640961528015e+04 
       2.679512367948e-04       1.687542050023e+04 
       2.758887978952e-04       1.734912609300e+04 
       2.839840597466e-04       1.783105135726e+04 
       2.922436698164e-04       1.832152512790e+04 
       3.006745252800e-04       1.882088569474e+04 
       3.092837814735e-04       1.932948117166e+04 
       3.180788601650e-04       1.984766957573e+04 
       3.270674575622e-04       2.037581861576e+04 
       3.362575519642e-04       2.091430613692e+04 
       3.456574109525e-04       2.146351977158e+04 
       3.552755980017e-04       2.202385694668e+04 
       3.651209783783e-04       2.259572505410e+04 
       3.752027241784e-04       2.317954052707e+04 
       3.855303183434e-04       2.377572861332e+04 
       3.961135574712e-04       2.438472394350e+04 
       4.069625532296e-04       2.500696855316e+04 
       4.180877321600e-04       2.564291209146e+04 
       4.294998336418e-04       2.629301045819e+04 
       4.412099057795e-04       2.695772523455e+04 
       4.532292989536e-04       2.763752213128e+04 
       4.655696567737e-04       2.833287015959e+04 
       4.782429041586e-04       2.904423956516e+04 
       4.912612322694e-04       2.977209978874e+04 
       5.046370800190e-04       3.051691909263e+04 
       5.183831118945e-04       3.127916008847e+04 
       5.325121918381e-04       3.205928237183e+04 
       5.470373529609e-04       3.285762439102e+04 
       5.619717628919e-04       3.367471771466e+04 
       5.773286846117e-04       3.451098365723e+04 
       5.931214326724e-04       3.536682505838e+04 
       6.093633247702e-04       3.624262035050e+04 
       6.260676287188e-04       3.713872289097e+04 
       6.432475049563e-04       3.805545550104e+04 
       6.609159448229e-04       3.899310843376e+04 
       6.790857049523e-04       3.995193505977e+04 
       6.977692382396e-04       4.093214727439e+04 
       7.169786219666e-04       4.193391205252e+04 
