# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509172e-26       4.634785000235e-09       2.157256292798e+22       1.485483369821e+04       1.485483369821e-10       1.485483369821e+18       2.676317464537e-09       2.751560535470e+44       6.545497749752e+32       1.336376166075e+34       3.713886629367e-08       1.902194177205e+44       4.653754712815e+44       4.653754712815e+44       1.551251570892e+44      -1.338578885207e+53       6.275238034374e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208839e-26       4.685716703534e-09       2.111374631020e+22       1.485483369821e+04       1.501536926102e-10       1.469601448792e+18       2.705240316116e-09       2.635761930281e+44       6.337792404122e+32       1.293969540318e+34       3.713886629367e-08       1.822140902098e+44       4.457902832515e+44       4.457902832515e+44       1.485967610793e+44      -1.268536174641e+53       6.410142851806e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675396e-26       4.736648406833e-09       2.066468804564e+22       1.485483369821e+04       1.517763972490e-10       1.453889327992e+18       2.734475734728e-09       2.524836674885e+44       6.136678079107e+32       1.252908585004e+34       3.713886629367e-08       1.745456645219e+44       4.270293320235e+44       4.270293320235e+44       1.423431106701e+44      -1.202158531078e+53       6.545047669224e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489087e-26       4.787580110133e-09       2.022518058850e+22       1.485483369821e+04       1.534166383887e-10       1.438345192015e+18       2.764027098845e-09       2.418579675807e+44       5.941945624805e+32       1.213150598578e+34       3.713886629367e-08       1.671999622440e+44       4.090579298373e+44       4.090579298373e+44       1.363526432749e+44      -1.139254175587e+53       6.679952486632e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922817e-26       4.838511813432e-09       1.979502080718e+22       1.485483369821e+04       1.550746055453e-10       1.422967244866e+18       2.793897823458e-09       2.316794470871e+44       5.753392528173e+32       1.174654234510e+34       3.713886629367e-08       1.601634016574e+44       3.918428487568e+44       3.918428487568e+44       1.306142829148e+44      -1.079641364296e+53       6.814857304043e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954585e-26       4.891262506135e-09       1.937400989041e+22       1.485483369821e+04       1.567504902832e-10       1.407753709751e+18       2.824091359699e-09       2.219292865953e+44       5.570822702425e+32       1.137379458305e+34       3.713886629367e-08       1.534229726263e+44       3.753522592335e+44       3.753522592335e+44       1.251174197405e+44      -1.023147863293e+53       6.949762121451e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325775e-26       4.944013198838e-09       1.896195325530e+22       1.485483369821e+04       1.584444862369e-10       1.392702828872e+18       2.854611196181e-09       2.125894587024e+44       5.394046283108e+32       1.101287505862e+34       3.713886629367e-08       1.469662125423e+44       3.595556712562e+44       3.595556712562e+44       1.198518904149e+44      -9.696104510061e+52       7.084666938858e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577819e-26       4.998582880944e-09       1.855866045750e+22       1.485483369821e+04       1.601567891337e-10       1.377812863226e+18       2.885460859274e-09       2.036426946831e+44       5.222879430653e+32       1.066340843165e+34       3.713886629367e-08       1.407811832824e+44       3.444238779767e+44       3.444238779767e+44       1.148079593218e+44      -9.188744466268e+52       7.219571756266e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126095024e-26       5.051333573647e-09       1.816394510309e+22       1.485483369821e+04       1.618875968158e-10       1.363082092400e+18       2.916643913479e-09       1.950724525616e+44       5.057144139189e+32       1.032503127248e+34       3.713886629367e-08       1.348564491358e+44       3.299289017082e+44       3.299289017082e+44       1.099763005658e+44      -8.707932631993e+52       7.354476573671e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129489e-26       5.105903255753e-09       1.777762476251e+22       1.485483369821e+04       1.636371092638e-10       1.348508814377e+18       2.948163961693e-09       1.868628865258e+44       4.896668051428e+32       9.997391684009e+33       3.713886629367e-08       1.291810556602e+44       3.160439421965e+44       3.160439421965e+44       1.053479807287e+44      -8.252279841026e+52       7.489381391073e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846688e-26       5.162291927263e-09       1.739952088617e+22       1.485483369821e+04       1.654055286191e-10       1.334091345335e+18       2.980024645725e-09       1.789988176302e+44       4.741284279416e+32       9.680148935709e+33       3.713886629367e-08       1.237445094279e+44       3.027433270683e+44       3.027433270683e+44       1.009144423527e+44      -7.820469616911e+52       7.624286208470e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376633e-26       5.216861609370e-09       1.702945872200e+22       1.485483369821e+04       1.671930592081e-10       1.319828019456e+18       3.012229646805e-09       1.714657057307e+44       4.590831230979e+32       9.372973109315e+33       3.713886629367e-08       1.185367586236e+44       2.900024643642e+44       2.900024643642e+44       9.666748811811e+43      -7.411254369365e+52       7.759191025861e-06       1.617498012608e+00 
       8.789847232612e+13       9.784338856416e-26       5.273250280879e-09       1.666726723462e+22       1.485483369821e+04       1.689999075649e-10       1.305717188731e+18       3.044782685994e-09       1.642496226007e+44       4.445152441678e+32       9.075544755708e+33       3.713886629367e-08       1.135481744601e+44       2.777977970703e+44       2.777977970703e+44       9.259926568692e+43      -7.023451789730e+52       7.894095843247e-06       1.589856053481e+00 
       8.695871317136e+13       9.996959462987e-26       5.331457941793e-09       1.631277902635e+22       1.485483369821e+04       1.708262824558e-10       1.291757222771e+18       3.077687524509e-09       1.573372261788e+44       4.304096412087e+32       8.787554562703e+33       3.713886629367e-08       1.087695333746e+44       2.661067595626e+44       2.661067595626e+44       8.870225318445e+43      -6.655941435039e+52       8.029000660628e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046247e-25       5.387846613303e-09       1.596583025979e+22       1.485483369821e+04       1.726723949034e-10       1.277946508617e+18       3.110947964202e-09       1.507157359005e+44       4.167516450245e+32       8.508703033382e+33       3.713886629367e-08       1.041919999751e+44       2.549077358845e+44       2.549077358845e+44       8.496924529186e+43      -6.307661490814e+52       8.163905478003e-06       1.537312759906e+00 
       8.510922951025e+13       1.043616225895e-25       5.446054274216e-09       1.562626058213e+22       1.485483369821e+04       1.745384582106e-10       1.264283450557e+18       3.144567848037e-09       1.443729090674e+44       4.035270519101e+32       8.238700174627e+33       3.713886629367e-08       9.980711070464e+43       2.441800197807e+44       2.441800197807e+44       8.139333992402e+43      -5.977605703267e+52       8.298810295372e-06       1.512322322708e+00 
       8.419929131143e+13       1.066294744231e-25       5.506080924533e-09       1.529391305102e+22       1.485483369821e+04       1.764246879854e-10       1.250766469938e+18       3.178551060542e-09       1.382970182115e+44       3.907221088802e+32       7.977265195541e+33       3.713886629367e-08       9.560675819248e+43       2.339037764123e+44       2.339037764123e+44       7.796792546798e+43      -5.664820472018e+52       8.433715112734e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082150e-25       5.564288585447e-09       1.496863406206e+22       1.485483369821e+04       1.783313021660e-10       1.237394004985e+18       3.212901528131e-09       1.324768294116e+44       3.783234993668e+32       7.724126215441e+33       3.713886629367e-08       9.158317626413e+43       2.240600056838e+44       2.240600056838e+44       7.468666855858e+43      -5.368402094949e+52       8.568619930087e-06       1.464702153154e+00 
       8.240849648618e+13       1.113140949344e-25       5.624315235764e-09       1.465027327776e+22       1.485483369821e+04       1.802585210458e-10       1.224164510621e+18       3.247623219753e-09       1.269015815230e+44       3.663183293705e+32       7.479019981109e+33       3.713886629367e-08       8.772892558222e+43       2.146305071131e+44       2.146305071131e+44       7.154350236842e+43      -5.087494157214e+52       8.703524747440e-06       1.441999238857e+00 
       8.152743294829e+13       1.137330287974e-25       5.686160875484e-09       1.433868355812e+22       1.485483369821e+04       1.822065672990e-10       1.211076458289e+18       3.282720147215e-09       1.215609662805e+44       3.546941140516e+32       7.241691593026e+33       3.713886629367e-08       8.403687989172e+43       2.055978461798e+44       2.055978461798e+44       6.853261539073e+43      -4.821285056876e+52       8.838429564791e-06       1.419989373602e+00 
       8.065578922741e+13       1.162045278022e-25       5.748006515205e-09       1.403372089256e+22       1.485483369821e+04       1.841756660061e-10       1.198128335771e+18       3.318196365701e-09       1.164451092389e+44       3.434387647461e+32       7.011894240284e+33       3.713886629367e-08       8.050021284391e+43       1.969453220902e+44       1.969453220902e+44       6.564844069427e+43      -4.569005660026e+52       8.973334382143e-06       1.398641299539e+00 
       7.979346461238e+13       1.187297342357e-25       5.809852154925e-09       1.373524433341e+22       1.485483369821e+04       1.861660446801e-10       1.185318647021e+18       3.354055974196e-09       1.115445515164e+44       3.325405763941e+32       6.789388943914e+33       3.713886629367e-08       7.711238537489e+43       1.886569368985e+44       1.886569368985e+44       6.288564563044e+43      -4.329927078586e+52       9.108239199496e-06       1.377925610716e+00 
       7.894035946874e+13       1.213098151995e-25       5.871697794646e-09       1.344311593075e+22       1.485483369821e+04       1.881779332927e-10       1.172645911985e+18       3.390303115982e-09       1.068502323054e+44       3.219882153673e+32       6.573944308360e+33       3.713886629367e-08       7.386713361536e+43       1.807173659277e+44       1.807173659277e+44       6.023912197359e+43      -4.103358564403e+52       9.243144016850e-06       1.357814617910e+00 
       7.809637522728e+13       1.239459631420e-25       5.935362423770e-09       1.315720066865e+22       1.485483369821e+04       1.902115643008e-10       1.160108666434e+18       3.426941979106e-09       1.023534721195e+44       3.117707076821e+32       6.365336280839e+33       3.713886629367e-08       7.075845730907e+43       1.731119294352e+44       1.731119294352e+44       5.770397647618e+43      -3.888645513530e+52       9.378048834205e-06       1.338282225162e+00 
       7.726141437266e+13       1.266393964498e-25       5.999027052894e-09       1.287736640277e+22       1.485483369821e+04       1.922671726737e-10       1.147705461794e+18       3.463976796886e-09       9.804595674597e+43       3.018774275875e+32       6.163347918333e+33       3.713886629367e-08       6.778060871876e+43       1.658265654712e+44       1.658265654712e+44       5.527552182158e+43      -3.685167574942e+52       9.512953651561e-06       1.319303816798e+00 
       7.643538043208e+13       1.293913599524e-25       6.064510671422e-09       1.260348379928e+22       1.485483369821e+04       1.943449959199e-10       1.135434864978e+18       3.501411848374e-09       9.391972187335e+43       2.922980865149e+32       5.967769161979e+33       3.713886629367e-08       6.492808199900e+43       1.588478038786e+44       1.588478038786e+44       5.294926795745e+43      -3.492336858208e+52       9.647858468917e-06       1.300856153932e+00 
       7.561817796419e+13       1.322031255634e-25       6.129994289950e-09       1.233542627508e+22       1.485483369821e+04       1.964452741144e-10       1.123295458219e+18       3.539251458885e-09       8.996713836576e+43       2.830227223780e+32       5.778396618619e+33       3.713886629367e-08       6.219560301621e+43       1.521627413880e+44       1.521627413880e+44       5.072091379399e+43      -3.309596234952e+52       9.782763286272e-06       1.282917279540e+00 
       7.480971254804e+13       1.350759928563e-25       6.197296897881e-09       1.207306993934e+22       1.485483369821e+04       1.985682499270e-10       1.111285838912e+18       3.577500000484e-09       8.618089815724e+43       2.740416892129e+32       5.595033349278e+33       3.713886629367e-08       5.957811959714e+43       1.457590177603e+44       1.457590177603e+44       4.858633925146e+43      -3.136417729197e+52       9.917668103629e-06       1.265466431284e+00 
       7.400989077217e+13       1.380112895899e-25       6.262780516408e-09       1.181629353618e+22       1.485483369821e+04       2.007141686499e-10       1.099404619443e+18       3.616161892464e-09       8.255400073962e+43       2.653456471468e+32       5.417488664359e+33       3.713886629367e-08       5.707079218778e+43       1.396247929331e+44       1.396247929331e+44       4.654159764247e+43      -2.972300991925e+52       1.005257292099e-05       1.248483961327e+00 
       7.321862022383e+13       1.410103724192e-25       6.331902113743e-09       1.156497838864e+22       1.485483369821e+04       2.028832782262e-10       1.087650427037e+18       3.655241601897e-09       7.907974021903e+43       2.569255526851e+32       5.245577925329e+33       3.713886629367e-08       5.466898490527e+43       1.337487251298e+44       1.337487251298e+44       4.458290837477e+43      -2.816771855470e+52       1.018747773834e-05       1.231951262566e+00 
       7.243580947828e+13       1.440746274647e-25       6.399204721674e-09       1.131900834389e+22       1.485483369821e+04       2.050758292783e-10       1.076021903595e+18       3.694743644117e-09       7.575169291715e+43       2.487726493060e+32       5.079122352710e+33       3.713886629367e-08       5.236825696652e+43       1.281199498890e+44       1.281199498890e+44       4.270664996122e+43      -2.669380963544e+52       1.032238255570e-05       1.215850700614e+00 
       7.166136808825e+13       1.472054709188e-25       6.468326319009e-09       1.107826971945e+22       1.485483369821e+04       2.072920751375e-10       1.064517705537e+18       3.734672583243e-09       7.256370549422e+43       2.408784583548e+32       4.917948840153e+33       3.713886629367e-08       5.016435447747e+43       1.227280599769e+44       1.227280599769e+44       4.090935332390e+43      -2.529702472955e+52       1.045728737306e-05       1.200165551046e+00 
       7.089520657347e+13       1.504043498605e-25       6.539266905747e-09       1.084265125073e+22       1.485483369821e+04       2.095322718724e-10       1.053136503649e+18       3.775033032755e-09       6.950988357200e+43       2.332347702259e+32       4.761889774412e+33       3.713886629367e-08       4.805320256793e+43       1.175630861449e+44       1.175630861449e+44       3.918769537997e+43      -2.397332823254e+52       1.059219219042e-05       1.184879941483e+00 
       7.013723641037e+13       1.536727426449e-25       6.608388503082e-09       1.061204403956e+22       1.485483369821e+04       2.117966783192e-10       1.041876982928e+18       3.815829655925e-09       6.658458083535e+43       2.258336358257e+32       4.610782861041e+33       3.713886629367e-08       4.603089785739e+43       1.126154786976e+44       1.126154786976e+44       3.753849289758e+43      -2.271889570767e+52       1.072709700778e-05       1.169978797973e+00 
       6.938737002177e+13       1.570121599688e-25       6.681148079224e-09       1.038634150388e+22       1.485483369821e+04       2.140855561112e-10       1.030737842429e+18       3.857067166509e-09       6.378238859265e+43       2.186673583052e+32       4.464470955607e+33       3.713886629367e-08       4.409370123796e+43       1.078760898353e+44       1.078760898353e+44       3.595869661020e+43      -2.153010283635e+52       1.086200182514e-05       1.155447795456e+00 
       6.864552076686e+13       1.604241451206e-25       6.752088665962e-09       1.016543932848e+22       1.485483369821e+04       2.163991697092e-10       1.019717795118e+18       3.898750329106e-09       6.109812577545e+43       2.117284850566e+32       4.322801900275e+33       3.713886629367e-08       4.223803096099e+43       1.033361567410e+44       1.033361567410e+44       3.444538557881e+43      -2.040351494669e+52       1.099690664251e-05       1.141273311779e+00 
       6.791160293113e+13       1.639102751797e-25       6.826667231508e-09       9.949235416757e+21       1.485483369821e+04       2.187377864320e-10       1.008815567720e+18       3.940883959911e-09       5.852682935902e+43       2.050097999619e+32       4.185628365562e+33       3.713886629367e-08       4.046045601464e+43       9.898728537806e+43       9.898728537806e+43       3.299576179122e+43      -1.933587709005e+52       1.113181145987e-05       1.127442385155e+00 
       6.718553171646e+13       1.674721612506e-25       6.899426807649e-09       9.737629843577e+21       1.485483369821e+04       2.211016764874e-10       9.980299005736e+17       3.983472927069e-09       5.606374518605e+43       1.985043158893e+32       4.052807697129e+33       3.713886629367e-08       3.875768978021e+43       9.482143497051e+43       9.482143497051e+43       3.160714498875e+43      -1.832410463679e+52       1.126671627724e-05       1.113942674576e+00 
       6.646722323137e+13       1.711114496632e-25       6.974005373195e-09       9.530524809053e+21       1.485483369821e+04       2.234911130031e-10       9.873595474836e+17       4.026522151418e-09       5.370431917652e+43       1.922052674262e+32       3.924201767422e+33       3.713886629367e-08       3.712658395534e+43       9.083090313597e+43       9.083090313597e+43       3.027696771062e+43      -1.736527436415e+52       1.140162109461e-05       1.100762423134e+00 
       6.575659448129e+13       1.748298223631e-25       7.050402928144e-09       9.327824593362e+21       1.485483369821e+04       2.259063720587e-10       9.768032755799e+17       4.070036606916e-09       5.144418890750e+43       1.861061038440e+32       3.799676832026e+33       3.713886629367e-08       3.556412273305e+43       8.700831164454e+43       8.700831164454e+43       2.900277054685e+43      -1.645661601040e+52       1.153652591199e-05       1.087890423832e+00 
       6.505356335897e+13       1.786289979290e-25       7.124981493689e-09       9.129435512501e+21       1.485483369821e+04       2.283477327173e-10       9.663598651732e+17       4.114021321305e-09       4.927917554735e+43       1.802004822854e+32       3.679103390578e+33       3.713886629367e-08       3.406741722570e+43       8.334659277691e+43       8.334659277691e+43       2.778219759102e+43      -1.559550427104e+52       1.167143072936e-05       1.075315987829e+00 
       6.435804863501e+13       1.825107322836e-25       7.203198038042e-09       8.935265874984e+21       1.485483369821e+04       2.308154770579e-10       9.560281096141e+17       4.158481376659e-09       4.720527612930e+43       1.744822611681e+32       3.562356052092e+33       3.713886629367e-08       3.263370012362e+43       7.983897625666e+43       7.983897625666e+43       2.661299208431e+43      -1.477945121368e+52       1.180633554674e-05       1.063028914827e+00 
       6.366996994847e+13       1.864768194331e-25       7.281414582394e-09       8.745225939472e+21       1.485483369821e+04       2.333098902077e-10       9.458068151542e+17       4.203421909949e-09       4.521865615026e+43       1.689454937980e+32       3.449313404559e+33       3.713886629367e-08       3.126032057854e+43       7.647897673242e+43       7.647897673242e+43       2.549299224293e+43      -1.400609908992e+52       1.194124036411e-05       1.051019465466e+00 
       6.298924779757e+13       1.905290925116e-25       7.359631126747e-09       8.559227873289e+21       1.485483369821e+04       2.358312603755e-10       9.356948008080e+17       4.248848113712e-09       4.331564248103e+43       1.635844221845e+32       3.339857888680e+33       3.713886629367e-08       2.994473930236e+43       7.326038178689e+43       7.326038178689e+43       2.442012726113e+43      -1.327321352333e+52       1.207614518150e-05       1.039278335602e+00 
       6.231580353053e+13       1.946694242793e-25       7.437847671099e-09       8.377185711832e+21       1.485483369821e+04       2.383798788846e-10       9.256908982161e+17       4.294765236524e-09       4.149271657499e+43       1.583934710532e+32       3.233875675617e+33       3.713886629367e-08       2.868452387215e+43       7.017724045053e+43       7.017724045053e+43       2.339241348238e+43      -1.257867705381e+52       1.221104999888e-05       1.027796632231e+00 
       6.164955933647e+13       1.988997284575e-25       7.519702194259e-09       8.199015318839e+21       1.485483369821e+04       2.409560402067e-10       9.157939515109e+17       4.341178583778e-09       3.974650796248e+43       1.533672420468e+32       3.131256548606e+33       3.713886629367e-08       2.747734423279e+43       6.722385219855e+43       6.722385219855e+43       2.240795073175e+43      -1.192048301988e+52       1.234595481627e-05       1.016565851071e+00 
       6.099043823641e+13       2.032219600468e-25       7.599737728015e-09       8.024634347499e+21       1.485483369821e+04       2.435600419958e-10       9.060028171825e+17       4.388093518093e-09       3.807378801907e+43       1.485005081122e+32       3.031893788347e+33       3.713886629367e-08       2.632096838881e+43       6.439475641106e+43       6.439475641106e+43       2.146491880263e+43      -1.129672976096e+52       1.248085963366e-05       1.005577855501e+00 
       6.033836407438e+13       2.076381168697e-25       7.683411240578e-09       7.853962202401e+21       1.485483369820e+04       2.461921851228e-10       8.963163639467e+17       4.435515460159e-09       3.647146399602e+43       1.437882080637e+32       2.935684062014e+33       3.713886629367e-08       2.521325827764e+43       6.168472227674e+43       6.168472227674e+43       2.056157409122e+43      -1.070561512309e+52       1.261576445105e-05       9.948248569596e-01 
       5.969326150864e+13       2.121502398310e-25       7.765265763737e-09       7.686920002276e+21       1.485483369820e+04       2.488527737097e-10       8.867334726143e+17       4.483449889135e-09       3.493657330200e+43       1.392254413201e+32       2.842527315793e+33       3.713886629367e-08       2.415216581641e+43       5.908873912139e+43       5.908873912139e+43       1.969624637280e+43      -1.014543125213e+52       1.275066926844e-05       9.842993964780e-01 
