# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509152e-26       4.634785000235e-09       2.157256292803e+22       1.395998910352e+04       1.395998910352e-10       1.395998910352e+18       2.676317464530e-09       2.751560535470e+44       3.046747395491e+33       1.336376166075e+34       3.474666867316e-08       1.902194177205e+44       4.653754712839e+44       4.653754712839e+44       1.551251570892e+44      -1.338578885211e+53       5.203625091103e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208819e-26       4.685716703534e-09       2.111374631026e+22       1.395998910352e+04       1.411085411844e-10       1.381073704927e+18       2.705240316109e-09       2.635761930281e+44       2.950066326300e+33       1.293969540318e+34       3.474666867316e-08       1.822140902098e+44       4.457902832538e+44       4.457902832538e+44       1.485967610793e+44      -1.268536174644e+53       5.315492416144e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675376e-26       4.736648406833e-09       2.066468804569e+22       1.395998910352e+04       1.426334952524e-10       1.366308071085e+18       2.734475734721e-09       2.524836674885e+44       2.856453194135e+33       1.252908585004e+34       3.474666867316e-08       1.745456645219e+44       4.270293320258e+44       4.270293320258e+44       1.423431106701e+44      -1.202158531081e+53       5.427359741173e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489066e-26       4.787580110133e-09       2.022518058855e+22       1.395998910352e+04       1.441749294348e-10       1.351700302781e+18       2.764027098838e-09       2.418579675807e+44       2.765810645524e+33       1.213150598578e+34       3.474666867316e-08       1.671999622440e+44       4.090579298395e+44       4.090579298395e+44       1.363526432749e+44      -1.139254175590e+53       5.539227066195e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922796e-26       4.838511813432e-09       1.979502080724e+22       1.395998910352e+04       1.457330218315e-10       1.337248712208e+18       2.793897823451e-09       2.316794470871e+44       2.678044416272e+33       1.174654234510e+34       3.474666867316e-08       1.601634016574e+44       3.918428487589e+44       3.918428487589e+44       1.306142829148e+44      -1.079641364299e+53       5.651094391218e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954563e-26       4.891262506135e-09       1.937400989046e+22       1.395998910352e+04       1.473079524672e-10       1.322951629605e+18       2.824091359692e-09       2.219292865953e+44       2.593063233426e+33       1.137379458305e+34       3.474666867316e-08       1.534229726263e+44       3.753522592356e+44       3.753522592356e+44       1.251174197405e+44      -1.023147863295e+53       5.762961716239e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325754e-26       4.944013198838e-09       1.896195325535e+22       1.395998910352e+04       1.488999033121e-10       1.308807403064e+18       2.854611196173e-09       2.125894587024e+44       2.510778720356e+33       1.101287505862e+34       3.474666867316e-08       1.469662125423e+44       3.595556712582e+44       3.595556712582e+44       1.198518904149e+44      -9.696104510088e+52       5.874829041259e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577797e-26       4.998582880944e-09       1.855866045755e+22       1.395998910352e+04       1.505090583027e-10       1.294814398336e+18       2.885460859266e-09       2.036426946831e+44       2.431105304849e+33       1.066340843165e+34       3.474666867316e-08       1.407811832824e+44       3.444238779786e+44       3.444238779786e+44       1.148079593218e+44      -9.188744466294e+52       5.986696366280e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126095002e-26       5.051333573647e-09       1.816394510314e+22       1.395998910352e+04       1.521356033637e-10       1.280970998646e+18       2.916643913471e-09       1.950724525616e+44       2.353960130118e+33       1.032503127248e+34       3.474666867316e-08       1.348564491358e+44       3.299289017100e+44       3.299289017100e+44       1.099763005658e+44      -8.707932632017e+52       6.098563691299e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129466e-26       5.105903255753e-09       1.777762476256e+22       1.395998910352e+04       1.537797264287e-10       1.267275604504e+18       2.948163961685e-09       1.868628865258e+44       2.279262968631e+33       9.997391684009e+33       3.474666867316e-08       1.291810556602e+44       3.160439421983e+44       3.160439421983e+44       1.053479807287e+44      -8.252279841049e+52       6.210431016314e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846664e-26       5.162291927263e-09       1.739952088622e+22       1.395998910352e+04       1.554416174624e-10       1.253726633522e+18       2.980024645716e-09       1.789988176302e+44       2.206936138682e+33       9.680148935709e+33       3.474666867316e-08       1.237445094279e+44       3.027433270700e+44       3.027433270700e+44       1.009144423527e+44      -7.820469616933e+52       6.322298341326e-06       1.646118170433e+00 
       8.884838741853e+13       9.576240376608e-26       5.216861609370e-09       1.702945872205e+22       1.395998910352e+04       1.571214684827e-10       1.240322520228e+18       3.012229646796e-09       1.714657057307e+44       2.136904423602e+33       9.372973109315e+33       3.474666867316e-08       1.185367586236e+44       2.900024643659e+44       2.900024643659e+44       9.666748811811e+43      -7.411254369386e+52       6.434165666333e-06       1.617498012609e+00 
       8.789847232612e+13       9.784338856391e-26       5.273250280879e-09       1.666726723467e+22       1.395998910352e+04       1.588194735823e-10       1.227061715889e+18       3.044782685985e-09       1.642496226007e+44       2.069094993540e+33       9.075544755708e+33       3.474666867316e-08       1.135481744601e+44       2.777977970719e+44       2.777977970719e+44       9.259926568692e+43      -7.023451789751e+52       6.546032991336e-06       1.589856053482e+00 
       8.695871317136e+13       9.996959462962e-26       5.331457941793e-09       1.631277902640e+22       1.395998910352e+04       1.605358289515e-10       1.213942688328e+18       3.077687524500e-09       1.573372261788e+44       2.003437329722e+33       8.787554562703e+33       3.474666867316e-08       1.087695333746e+44       2.661067595641e+44       2.661067595641e+44       8.870225318445e+43      -6.655941435059e+52       6.657900316334e-06       1.563142985411e+00 
       8.602900137289e+13       1.021420046244e-25       5.387846613303e-09       1.596583025984e+22       1.395998910352e+04       1.622707329010e-10       1.200963921752e+18       3.110947964193e-09       1.507157359005e+44       1.939863151115e+33       8.508703033382e+33       3.474666867316e-08       1.041919999751e+44       2.549077358860e+44       2.549077358860e+44       8.496924529186e+43      -6.307661490833e+52       6.769767641328e-06       1.537312759906e+00 
       8.510922951025e+13       1.043616225892e-25       5.446054274216e-09       1.562626058218e+22       1.395998910352e+04       1.640243858845e-10       1.188123916572e+18       3.144567848027e-09       1.443729090674e+44       1.878306343415e+33       8.238700174627e+33       3.474666867316e-08       9.980711070464e+43       2.441800197822e+44       2.441800197822e+44       8.139333992402e+43      -5.977605703285e+52       6.881634966317e-06       1.512322322709e+00 
       8.419929131143e+13       1.066294744228e-25       5.506080924533e-09       1.529391305107e+22       1.395998910352e+04       1.657969905220e-10       1.175421189232e+18       3.178551060532e-09       1.382970182115e+44       1.818702890298e+33       7.977265195541e+33       3.474666867316e-08       9.560675819248e+43       2.339037764137e+44       2.339037764137e+44       7.796792546798e+43      -5.664820472036e+52       6.993502291299e-06       1.488131374309e+00 
       8.329908164066e+13       1.089466082147e-25       5.564288585447e-09       1.496863406211e+22       1.395998910352e+04       1.675887516232e-10       1.162854272037e+18       3.212901528121e-09       1.324768294116e+44       1.760990806837e+33       7.724126215441e+33       3.474666867316e-08       9.158317626413e+43       2.240600056852e+44       2.240600056852e+44       7.468666855858e+43      -5.368402094966e+52       7.105369616275e-06       1.464702153154e+00 
       8.240849648618e+13       1.113140949341e-25       5.624315235764e-09       1.465027327781e+22       1.395998910352e+04       1.693998762113e-10       1.150421712984e+18       3.247623219743e-09       1.269015815230e+44       1.705110075047e+33       7.479019981109e+33       3.474666867316e-08       8.772892558222e+43       2.146305071144e+44       2.146305071144e+44       7.154350236842e+43      -5.087494157230e+52       7.217236941250e-06       1.441999238858e+00 
       8.152743294829e+13       1.137330287971e-25       5.686160875484e-09       1.433868355816e+22       1.395998910352e+04       1.712305735466e-10       1.138122075596e+18       3.282720147205e-09       1.215609662805e+44       1.651002581467e+33       7.241691593026e+33       3.474666867316e-08       8.403687989172e+43       2.055978461811e+44       2.055978461811e+44       6.853261539073e+43      -4.821285056892e+52       7.329104266224e-06       1.419989373603e+00 
       8.065578922741e+13       1.162045278019e-25       5.748006515205e-09       1.403372089260e+22       1.395998910352e+04       1.730810551510e-10       1.125953938750e+18       3.318196365690e-09       1.164451092389e+44       1.598612056723e+33       7.011894240284e+33       3.474666867316e-08       8.050021284391e+43       1.969453220914e+44       1.969453220914e+44       6.564844069427e+43      -4.569005660041e+52       7.440971591198e-06       1.398641299539e+00 
       7.979346461238e+13       1.187297342354e-25       5.809852154925e-09       1.373524433345e+22       1.395998910352e+04       1.749515348323e-10       1.113915896521e+18       3.354055974184e-09       1.115445515164e+44       1.547884017013e+33       6.789388943914e+33       3.474666867316e-08       7.711238537489e+43       1.886569368997e+44       1.886569368997e+44       6.288564563044e+43      -4.329927078600e+52       7.552838916174e-06       1.377925610716e+00 
       7.894035946874e+13       1.213098151992e-25       5.871697794646e-09       1.344311593080e+22       1.395998910352e+04       1.768422287087e-10       1.102006558011e+18       3.390303115971e-09       1.068502323054e+44       1.498765707445e+33       6.573944308360e+33       3.474666867316e-08       7.386713361536e+43       1.807173659288e+44       1.807173659288e+44       6.023912197359e+43      -4.103358564416e+52       7.664706241150e-06       1.357814617910e+00 
       7.809637522728e+13       1.239459631416e-25       5.935362423770e-09       1.315720066870e+22       1.395998910352e+04       1.787533552344e-10       1.090224547197e+18       3.426941979094e-09       1.023534721195e+44       1.451206047174e+33       6.365336280839e+33       3.474666867316e-08       7.075845730907e+43       1.731119294364e+44       1.731119294364e+44       5.770397647618e+43      -3.888645513543e+52       7.776573566127e-06       1.338282225163e+00 
       7.726141437266e+13       1.266393964494e-25       5.999027052894e-09       1.287736640281e+22       1.395998910352e+04       1.806851352240e-10       1.078568502765e+18       3.463976796874e-09       9.804595674597e+43       1.405155576281e+33       6.163347918333e+33       3.474666867316e-08       6.778060871876e+43       1.658265654723e+44       1.658265654723e+44       5.527552182158e+43      -3.685167574955e+52       7.888440891105e-06       1.319303816799e+00 
       7.643538043208e+13       1.293913599521e-25       6.064510671422e-09       1.260348379932e+22       1.395998910352e+04       1.826377918786e-10       1.067037077955e+18       3.501411848361e-09       9.391972187335e+43       1.360566404335e+33       5.967769161979e+33       3.474666867316e-08       6.492808199900e+43       1.588478038797e+44       1.588478038797e+44       5.294926795745e+43      -3.492336858220e+52       8.000308216083e-06       1.300856153933e+00 
       7.561817796419e+13       1.322031255630e-25       6.129994289950e-09       1.233542627513e+22       1.395998910352e+04       1.846115508116e-10       1.055628940408e+18       3.539251458873e-09       8.996713836576e+43       1.317392160592e+33       5.778396618619e+33       3.474666867316e-08       6.219560301621e+43       1.521627413891e+44       1.521627413891e+44       5.072091379399e+43      -3.309596234964e+52       8.112175541060e-06       1.282917279540e+00 
       7.480971254804e+13       1.350759928559e-25       6.197296897881e-09       1.207306993938e+22       1.395998910352e+04       1.866066400744e-10       1.044342772008e+18       3.577500000471e-09       8.618089815724e+43       1.275587945770e+33       5.595033349278e+33       3.474666867316e-08       5.957811959714e+43       1.457590177613e+44       1.457590177613e+44       4.858633925146e+43      -3.136417729208e+52       8.224042866038e-06       1.265466431285e+00 
       7.400989077217e+13       1.380112895896e-25       6.262780516408e-09       1.181629353622e+22       1.395998910352e+04       1.886232901828e-10       1.033177268732e+18       3.616161892451e-09       8.255400073962e+43       1.235110285356e+33       5.417488664359e+33       3.474666867316e-08       5.707079218778e+43       1.396247929340e+44       1.396247929340e+44       4.654159764247e+43      -2.972300991935e+52       8.335910191017e-06       1.248483961328e+00 
       7.321862022383e+13       1.410103724188e-25       6.331902113743e-09       1.156497838868e+22       1.395998910352e+04       1.906617341442e-10       1.022131140499e+18       3.655241601883e-09       7.907974021903e+43       1.195917084393e+33       5.245577925329e+33       3.474666867316e-08       5.466898490527e+43       1.337487251307e+44       1.337487251307e+44       4.458290837477e+43      -2.816771855480e+52       8.447777515998e-06       1.231951262567e+00 
       7.243580947828e+13       1.440746274643e-25       6.399204721674e-09       1.131900834393e+22       1.395998910352e+04       1.927222074836e-10       1.011203111021e+18       3.694743644104e-09       7.575169291715e+43       1.157967583705e+33       5.079122352710e+33       3.474666867316e-08       5.236825696652e+43       1.281199498899e+44       1.281199498899e+44       4.270664996122e+43      -2.669380963553e+52       8.559644840977e-06       1.215850700615e+00 
       7.166136808825e+13       1.472054709184e-25       6.468326319009e-09       1.107826971949e+22       1.395998910352e+04       1.948049482718e-10       1.000391917655e+18       3.734672583228e-09       7.256370549422e+43       1.121222317508e+33       4.917948840153e+33       3.474666867316e-08       5.016435447747e+43       1.227280599777e+44       1.227280599777e+44       4.090935332390e+43      -2.529702472964e+52       8.671512165957e-06       1.200165551047e+00 
       7.089520657347e+13       1.504043498600e-25       6.539266905747e-09       1.084265125077e+22       1.395998910352e+04       1.969101971520e-10       9.896963112574e+17       3.775033032740e-09       6.950988357200e+43       1.085643072371e+33       4.761889774412e+33       3.474666867316e-08       4.805320256793e+43       1.175630861458e+44       1.175630861458e+44       3.918769537997e+43      -2.397332823262e+52       8.783379490938e-06       1.184879941484e+00 
       7.013723641037e+13       1.536727426445e-25       6.608388503082e-09       1.061204403960e+22       1.395998910352e+04       1.990381973684e-10       9.791150560396e+17       3.815829655910e-09       6.658458083535e+43       1.051192847468e+33       4.610782861041e+33       3.474666867316e-08       4.603089785739e+43       1.126154786984e+44       1.126154786984e+44       3.753849289758e+43      -2.271889570775e+52       8.895246815919e-06       1.169978797974e+00 
       6.938737002177e+13       1.570121599684e-25       6.681148079224e-09       1.038634150392e+22       1.395998910352e+04       2.011891947935e-10       9.686469294257e+17       3.857067166494e-09       6.378238859265e+43       1.017835816108e+33       4.464470955607e+33       3.474666867316e-08       4.409370123796e+43       1.078760898361e+44       1.078760898361e+44       3.595869661020e+43      -2.153010283643e+52       9.007114140902e-06       1.155447795457e+00 
