# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.433670299875e-10       5.153778015710e-15       4.101546075726e-13       0.000000000000e+00       8.724264155118e-09       4.650859232709e-10      -2.098723854879e-12 
    3       1.357822598764e-10       5.896442129005e-15       4.396753914179e-13       0.000000000000e+00       5.403326074273e-09       3.305803778133e-10      -1.481113886313e-12 
    4       1.286335666602e-10       4.518975811569e-15       3.937027449810e-13       0.000000000000e+00       3.762054884632e-09       2.503920671402e-10      -8.779531946632e-13 
    5       1.233599432488e-10       2.665818404782e-15       3.210873371473e-13       0.000000000000e+00       2.807302612441e-09       1.977241457151e-10      -4.118300705968e-13 
    6       1.198271640248e-10       1.363007552054e-15       2.475951678570e-13       0.000000000000e+00       2.191401028831e-09       1.608188293504e-10      -1.051468354688e-13 
    7       1.176131502317e-10       7.443573072700e-16       1.871447120704e-13       0.000000000000e+00       1.767788039600e-09       1.337846523262e-10       5.818975396417e-14 
    8       1.163882987944e-10       5.153110625832e-16       1.444858112293e-13       0.000000000000e+00       1.461565934241e-09       1.133793827197e-10       1.131960643732e-13 
    9       1.159240946790e-10       4.107869876399e-16       1.189443197375e-13       0.000000000000e+00       1.231238605927e-09       9.759224142824e-11       1.004488150245e-13 
   10       1.159626214972e-10       3.329686250211e-16       1.071928552430e-13       0.000000000000e+00       1.052838954165e-09       8.503856522767e-11       5.699671435085e-14 
   11       1.164170461424e-10       2.800429814730e-16       1.051057753655e-13       0.000000000000e+00       8.871214870688e-10       7.508983925254e-11       1.125260592023e-14 
   12       1.172025841550e-10       2.582186165698e-16       1.088226698366e-13       0.000000000000e+00       7.752215317181e-10       6.646682983888e-11      -2.189285338262e-14 
   13       1.182042403619e-10       2.581122665918e-16       1.154649725036e-13       0.000000000000e+00       6.833494320663e-10       5.933607505603e-11      -3.657494976224e-14 
