# Matter power spectrum P(k) at redshift z=0
# for k=9.92747e-06 to 1.06673 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.927467213586e-06       5.873859814468e+01 
       2.188111927266e-05       1.260365758551e+02 
       3.387151378541e-05       1.922250835808e+02 
       4.592642649671e-05       2.579502295457e+02 
       5.807403330375e-05       3.235772283850e+02 
       7.034312673645e-05       3.893770089300e+02 
       8.276333848238e-05       4.555787906026e+02 
       9.536537053190e-05       5.223915925726e+02 
       1.081812375397e-04       5.900150757959e+02 
       1.212445230245e-04       6.586460532326e+02 
       1.345906520466e-04       7.284827800735e+02 
       1.482571829953e-04       7.997282549837e+02 
       1.622841210689e-04       8.725927966805e+02 
       1.767142559028e-04       9.472967032592e+02 
       1.915935255614e-04       1.024072145005e+03 
       2.069714087086e-04       1.103165556932e+03 
       2.229013461360e-04       1.184839517133e+03 
       2.394411918769e-04       1.269375329253e+03 
       2.566536927616e-04       1.357074712344e+03 
       2.746069933376e-04       1.448262057004e+03 
       2.933751604314e-04       1.543286899412e+03 
       3.130387180854e-04       1.642525536849e+03 
       3.336851789625e-04       1.746383117334e+03 
       3.554095523847e-04       1.855295221962e+03 
       3.783148017965e-04       1.969728996257e+03 
       4.025122155623e-04       2.090183803985e+03 
       4.281216447283e-04       2.217190827660e+03 
       4.552715501066e-04       2.351311750205e+03 
       4.840987896241e-04       2.493135752053e+03 
       5.147480667557e-04       2.643274796130e+03 
       5.473709542431e-04       2.802356613271e+03 
       5.821244071768e-04       2.971015245824e+03 
       6.191686895913e-04       3.149878647753e+03 
       6.586646628954e-04       3.339553292285e+03 
       7.007704260248e-04       3.540606095618e+03 
       7.456373574481e-04       3.753543787508e+03 
       7.934056857865e-04       3.978790840605e+03 
       8.441998014499e-04       4.216667116508e+03 
       8.981236034135e-04       4.467366222551e+03 
       9.552562357695e-04       4.730938278337e+03 
       1.015648589838e-03       5.007275704274e+03 
       1.079320915770e-03       5.296107673274e+03 
       1.146261799101e-03       5.597000076112e+03 
       1.216428622602e-03       5.909365963017e+03 
       1.289749474590e-03       6.232480284551e+03 
       1.366126311529e-03       6.565503582052e+03 
       1.445439063676e-03       6.907507605536e+03 
       1.527550306929e-03       7.257503455905e+03 
       1.612310117079e-03       7.614466055630e+03 
       1.699560766261e-03       7.977364854433e+03 
       1.789140998654e-03       8.345180989672e+03 
       1.880889713587e-03       8.716925749181e+03 
       1.974648972319e-03       9.091658202959e+03 
       2.070266318209e-03       9.468490592966e+03 
       2.167596453517e-03       9.846598025926e+03 
       2.266502349337e-03       1.022522134745e+04 
       2.366855881037e-03       1.060366566129e+04 
       2.468538084350e-03       1.098130346739e+04 
       2.571439121355e-03       1.135756911306e+04 
       2.675458034815e-03       1.173195571357e+04 
       2.780502356534e-03       1.210401424440e+04 
       2.886487622445e-03       1.247334773835e+04 
       2.993336835316e-03       1.283960329440e+04 
       3.100979905646e-03       1.320247539816e+04 
       3.209353092826e-03       1.356169763350e+04 
       3.318398461896e-03       1.391703730597e+04 
       3.428063365910e-03       1.426829269280e+04 
       3.538299960024e-03       1.461529927074e+04 
       3.649064750468e-03       1.495791166938e+04 
       3.760318179514e-03       1.529600927621e+04 
       3.872024246105e-03       1.562949187793e+04 
       3.984150160867e-03       1.595827996829e+04 
       4.096666033624e-03       1.628230269369e+04 
       4.209544591217e-03       1.660151522614e+04 
       4.322760923246e-03       1.691587155257e+04 
       4.436292253371e-03       1.722535387516e+04 
       4.550117733819e-03       1.752985374310e+04 
       4.664218260887e-03       1.782953831298e+04 
       4.778576309366e-03       1.812428216718e+04 
       4.893175783950e-03       1.841411671457e+04 
       5.008001885889e-03       1.869916434719e+04 
       5.123040993274e-03       1.897932160647e+04 
       5.238280553517e-03       1.925463361044e+04 
       5.353708986732e-03       1.952511935458e+04 
       5.469315598835e-03       1.979080505966e+04 
       5.585090503350e-03       2.005172634176e+04 
       5.701024550962e-03       2.030791896011e+04 
       5.817109266017e-03       2.055942168772e+04 
       5.933336789208e-03       2.080628115122e+04 
       6.049699825806e-03       2.104853885150e+04 
       6.166191598854e-03       2.128579463408e+04 
       6.282805806796e-03       2.151901574879e+04 
       6.399536585081e-03       2.174777049046e+04 
       6.516378471341e-03       2.197211645137e+04 
       6.633326373773e-03       2.219209167918e+04 
       6.750375542392e-03       2.240774150797e+04 
       6.867521542879e-03       2.261910817058e+04 
       6.984760232759e-03       2.282630613063e+04 
       7.102087739676e-03       2.302923637265e+04 
       7.219500441565e-03       2.322812007596e+04 
       7.336994948536e-03       2.342293750205e+04 
       7.454568086302e-03       2.361369188281e+04 
       7.572216881012e-03       2.380068669978e+04 
       7.689938545343e-03       2.398353054531e+04 
       7.807730465756e-03       2.416255233985e+04 
       7.925590190779e-03       2.433785737851e+04 
       8.043515420254e-03       2.450938670083e+04 
       8.161503995439e-03       2.467718787154e+04 
       8.279553889897e-03       2.484131490027e+04 
       8.397663201100e-03       2.500176052835e+04 
       8.515830142691e-03       2.515860851785e+04 
       8.634053037343e-03       2.531204671487e+04 
       8.752330310153e-03       2.546199823986e+04 
       8.870660482554e-03       2.560894445019e+04 
       8.989042166667e-03       2.575167394018e+04 
       9.107474060084e-03       2.589146689152e+04 
       9.225954941033e-03       2.602797338892e+04 
       9.344483663893e-03       2.616138723011e+04 
       9.463059155041e-03       2.629144982272e+04 
       9.581680408994e-03       2.641847215781e+04 
       9.700346484826e-03       2.654234209141e+04 
       9.819056502848e-03       2.666314114609e+04 
       9.937809641510e-03       2.678064339534e+04 
       1.005660513453e-02       2.689545269665e+04 
       1.017544226822e-02       2.700763846512e+04 
       1.029432037900e-02       2.711647602594e+04 
       1.041323885107e-02       2.722252385951e+04 
