# Matter power spectrum P(k) at redshift z=0
# for k=1.07323e-05 to 1.07401 h/Mpc,
# number of wavenumbers equal to 594
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.073230492861e-05       4.677485385341e+01 
       2.434899503507e-05       1.032088552167e+02 
       3.801824679707e-05       1.587267683146e+02 
       5.178116812845e-05       2.139255807337e+02 
       6.567961677552e-05       2.691536520272e+02 
       7.975661721466e-05       3.246786065458e+02 
       9.405679223353e-05       3.807341646641e+02 
       1.086268155564e-04       4.375394492900e+02 
       1.235158919172e-04       4.953091016806e+02 
       1.387762710164e-04       5.542595618463e+02 
       1.544638017714e-04       6.146136671734e+02 
       1.706385331005e-04       6.766042854189e+02 
       1.873653670806e-04       7.404776801259e+02 
       2.047147695252e-04       8.064965199891e+02 
       2.227635416670e-04       8.749429934204e+02 
       2.415956544264e-04       9.461218854373e+02 
       2.613031433676e-04       1.020363577814e+03 
       2.819870574489e-04       1.098027301456e+03 
       3.037584475356e-04       1.179504034066e+03 
       3.267393707199e-04       1.265219895814e+03 
       3.510638731144e-04       1.355638157248e+03 
       3.768788962999e-04       1.451262191750e+03 
       4.043450305783e-04       1.552636302371e+03 
       4.336370116777e-04       1.660346294179e+03 
       4.649438275696e-04       1.775017582848e+03 
       4.984682711458e-04       1.897312088653e+03 
       5.344257474423e-04       2.027920908665e+03 
       5.730421285826e-04       2.167554356137e+03 
       6.145504564084e-04       2.316927429259e+03 
       6.591863349644e-04       2.476740617758e+03 
       7.071819454767e-04       2.647656218153e+03 
       7.587587631831e-04       2.830270525367e+03 
       8.141192547166e-04       3.025083305296e+03 
       8.734380648470e-04       3.232466609214e+03 
       9.368534189411e-04       3.452635844615e+03 
       1.004459612862e-03       3.685626161633e+03 
       1.076301474974e-03       3.931276726926e+03 
       1.152371528451e-03       4.189154753160e+03 
       1.232610264429e-03       4.458774844823e+03 
       1.316909518176e-03       4.739412608847e+03 
       1.405118518671e-03       5.030201258215e+03 
       1.497051856723e-03       5.330166610813e+03 
       1.592498455085e-03       5.638264490130e+03 
       1.691230639421e-03       5.953417225363e+03 
       1.793012565724e-03       6.274545978351e+03 
       1.897607494187e-03       6.600597435077e+03 
       2.004783646438e-03       6.930564678050e+03 
       2.114318594597e-03       7.263501548562e+03 
       2.226002282832e-03       7.598531640411e+03 
       2.339638871717e-03       7.934854986082e+03 
       2.455047632748e-03       8.271745486932e+03 
       2.572063119859e-03       8.608551800114e+03 
       2.690534821905e-03       8.944693655714e+03 
       2.810326466566e-03       9.279655270598e+03 
       2.931315110397e-03       9.612982291047e+03 
       3.053390116505e-03       9.944275769532e+03 
       3.176452092930e-03       1.027318474345e+04 
       3.300411841984e-03       1.059940562499e+04 
       3.425189353159e-03       1.092267306196e+04 
       3.550712859224e-03       1.124275769616e+04 
       3.676917965757e-03       1.155946159838e+04 
       3.803746857959e-03       1.187261712358e+04 
       3.931147584251e-03       1.218207589299e+04 
       4.059073413523e-03       1.248772142669e+04 
       4.187482261266e-03       1.278944219041e+04 
       4.316336179056e-03       1.308716053503e+04 
       4.445600901540e-03       1.338080022805e+04 
       4.575245445161e-03       1.367030075999e+04 
       4.705241753097e-03       1.395562727451e+04 
       4.835564381268e-03       1.423672926591e+04 
       4.966190220713e-03       1.451354873887e+04 
       5.097098252077e-03       1.478616366555e+04 
       5.228269328398e-03       1.505450702390e+04 
       5.359685982804e-03       1.531851241945e+04 
       5.491332258127e-03       1.557821910060e+04 
       5.623193555778e-03       1.583377456025e+04 
       5.755256501571e-03       1.608500072935e+04 
       5.887508826446e-03       1.633192033585e+04 
       6.019939260317e-03       1.657458521766e+04 
       6.152537437460e-03       1.681301544703e+04 
       6.285293812100e-03       1.704723685331e+04 
       6.418199582968e-03       1.727731280719e+04 
       6.551246625804e-03       1.750316246588e+04 
       6.684427432876e-03       1.772479488064e+04 
       6.817735058710e-03       1.794249108385e+04 
       6.951163071331e-03       1.815609933269e+04 
       7.084705508389e-03       1.836589769021e+04 
       7.218356837635e-03       1.857141162283e+04 
       7.352111921259e-03       1.877293832258e+04 
       7.485965983674e-03       1.897052965892e+04 
       7.619914582379e-03       1.916420920224e+04 
       7.753953581566e-03       1.935399126574e+04 
       7.888079128179e-03       1.953993894729e+04 
       8.022287630188e-03       1.972208131422e+04 
       8.156575736829e-03       1.990043780504e+04 
       8.290940320615e-03       2.007504771110e+04 
       8.425378460958e-03       2.024594492113e+04 
       8.559887429211e-03       2.041315917486e+04 
       8.694464675018e-03       2.057673415941e+04 
       8.829107813828e-03       2.073671026274e+04 
       8.963814615470e-03       2.089315924652e+04 
       9.098582993683e-03       2.104603041873e+04 
       9.233410996520e-03       2.119537371203e+04 
       9.368296797526e-03       2.134126890049e+04 
       9.503238687649e-03       2.148372896063e+04 
       9.638235067784e-03       2.162282122832e+04 
