# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.639501627332e-10       8.770175685458e-15       2.778092132124e-13       0.000000000000e+00       8.934974607601e-11       1.012280504455e-11      -1.001717118590e-14 
   41       1.660990624491e-10       9.522275804519e-15       2.688916145016e-13       0.000000000000e+00       8.498711485583e-11       9.667085072055e-12      -8.360449381477e-15 
   42       1.682653637795e-10       1.031572791382e-14       2.585262196015e-13       0.000000000000e+00       8.090558596716e-11       9.243350205278e-12      -7.191455100811e-15 
   43       1.704515100891e-10       1.115051942384e-14       2.466752999054e-13       0.000000000000e+00       7.709444411574e-11       8.849295623684e-12      -6.534358876935e-15 
   44       1.726561959769e-10       1.202643087521e-14       2.333001501266e-13       0.000000000000e+00       7.352610094506e-11       8.480549160002e-12      -6.405552168128e-15 
   45       1.748764383465e-10       1.294322488954e-14       2.183584887384e-13       0.000000000000e+00       7.016599208843e-11       8.132055490954e-12      -6.791033230711e-15 
   46       1.771153901754e-10       1.390130794722e-14       2.017962557546e-13       0.000000000000e+00       6.700896472508e-11       7.803098473499e-12      -7.572175357991e-15 
   47       1.793762403704e-10       1.490124655874e-14       1.835529851231e-13       0.000000000000e+00       6.405148162235e-11       7.493508663361e-12      -8.576558844851e-15 
   48       1.816597599298e-10       1.594358365596e-14       1.635636197291e-13       0.000000000000e+00       6.128064523543e-11       7.202180861968e-12      -9.596028507220e-15 
   49       1.839640764055e-10       1.702883845097e-14       1.417581524388e-13       0.000000000000e+00       5.867350073100e-11       6.927003347422e-12      -1.038472237398e-14 
   50       1.862861928962e-10       1.815741796397e-14       1.180745494112e-13       0.000000000000e+00       5.620397901468e-11       6.665532388181e-12      -1.072174253756e-14 
   51       1.886275543536e-10       1.932932362318e-14       9.250248827218e-14       0.000000000000e+00       5.386756456706e-11       6.417395812650e-12      -1.062379581274e-14 
   52       1.909896023308e-10       2.054436478087e-14       6.505087169503e-14       0.000000000000e+00       5.166211864664e-11       6.182419532779e-12      -1.018686445406e-14 
   53       1.933720224655e-10       2.180223588797e-14       3.573584255217e-14       0.000000000000e+00       4.958049506319e-11       5.959904433452e-12      -9.527653946504e-15 
   54       1.957726010380e-10       2.310251219618e-14       4.581050006650e-15       0.000000000000e+00       4.761020273100e-11       5.748590675583e-12      -8.784663681324e-15 
   55       1.981887286313e-10       2.444470491645e-14      -2.838756533096e-14       0.000000000000e+00       4.573723420987e-11       5.547066752478e-12      -8.092036925962e-15 
   56       2.006226771557e-10       2.582845258632e-14      -6.315954256803e-14       0.000000000000e+00       4.395943814484e-11       5.355197435472e-12      -7.491050631343e-15 
   57       2.030773824993e-10       2.725336971431e-14      -9.972607802355e-14       0.000000000000e+00       4.227587776311e-11       5.172988034716e-12      -6.998513165396e-15 
   58       2.055548347363e-10       2.871898955055e-14      -1.380748796816e-13       0.000000000000e+00       4.068278461626e-11       5.000152756346e-12      -6.632068487470e-15 
   59       2.080559988571e-10       3.022476210540e-14      -1.781901146429e-13       0.000000000000e+00       3.917338344472e-11       4.836096333630e-12      -6.410206277198e-15 
   60       2.105807354983e-10       3.177005216807e-14      -2.200523565765e-13       0.000000000000e+00       3.773771704226e-11       4.679895658116e-12      -6.352272063347e-15 
   61       2.131285312411e-10       3.335416219087e-14      -2.636427626216e-13       0.000000000000e+00       3.636542317455e-11       4.530560596480e-12      -6.470146770371e-15 
   62       2.157010603910e-10       3.497641142670e-14      -3.089568185550e-13       0.000000000000e+00       3.505518991515e-11       4.387926407832e-12      -6.741080029551e-15 
   63       2.183000601683e-10       3.663607111965e-14      -3.559935996671e-13       0.000000000000e+00       3.380712153889e-11       4.251929954815e-12      -7.128749235562e-15 
   64       2.209265193598e-10       3.833234003817e-14      -4.047518935909e-13       0.000000000000e+00       3.261989389267e-11       4.122338871739e-12      -7.590802883030e-15 
   65       2.235806247355e-10       4.006434328258e-14      -4.552302819513e-13       0.000000000000e+00       3.149067292644e-11       3.998742054077e-12      -8.078606372309e-15 
   66       2.262617074666e-10       4.183113109273e-14      -5.074272220138e-13       0.000000000000e+00       3.041503322408e-11       3.880540147962e-12      -8.536987815266e-15 
   67       2.289681895420e-10       4.363167765558e-14      -5.613411283333e-13       0.000000000000e+00       2.938687653439e-11       3.766936039683e-12      -8.903983841057e-15 
   68       2.316984619213e-10       4.546489046602e-14      -6.169662501535e-13       0.000000000000e+00       2.840006805484e-11       3.657151773142e-12      -9.126185621217e-15 
   69       2.344538453885e-10       4.732964327724e-14      -6.742791510717e-13       0.000000000000e+00       2.745391239846e-11       3.551151600377e-12      -9.208955973196e-15 
   70       2.372361361436e-10       4.922474771560e-14      -7.332496238886e-13       0.000000000000e+00       2.654864594555e-11       3.449049028187e-12      -9.175977670097e-15 
   71       2.400466979300e-10       5.114894241212e-14      -7.938446270483e-13       0.000000000000e+00       2.568378040170e-11       3.350889700407e-12      -9.054695720577e-15 
   72       2.428864322818e-10       5.310089208008e-14      -8.560282587615e-13       0.000000000000e+00       2.485806526098e-11       3.256647678405e-12      -8.876462157214e-15 
   73       2.457557487707e-10       5.507918659243e-14      -9.197617311291e-13       0.000000000000e+00       2.406945026921e-11       3.166221721575e-12      -8.676680824884e-15 
   74       2.486545352523e-10       5.708234005936e-14      -9.850033442650e-13       0.000000000000e+00       2.331504788718e-11       3.079431567829e-12      -8.494952169127e-15 
   75       2.515821281132e-10       5.910878990577e-14      -1.051708460420e-12       0.000000000000e+00       2.259109575384e-11       2.996014214089e-12      -8.375218024523e-15 
   76       2.545378044136e-10       6.115687870117e-14      -1.119829260669e-12       0.000000000000e+00       2.189389517058e-11       2.915696714354e-12      -8.354930272247e-15 
   77       2.575224276941e-10       6.322479786331e-14      -1.189314020955e-12       0.000000000000e+00       2.122290710556e-11       2.838438121861e-12      -8.429956471616e-15 
   78       2.605370496285e-10       6.531063196494e-14      -1.260107656402e-12       0.000000000000e+00       2.057815518695e-11       2.764225113627e-12      -8.583507919730e-15 
   79       2.635823960098e-10       6.741237381516e-14      -1.332151897194e-12       0.000000000000e+00       1.995928252808e-11       2.692997271219e-12      -8.796469058837e-15 
   80       2.666588476988e-10       6.952792318326e-14      -1.405385258240e-12       0.000000000000e+00       1.936553420475e-11       2.624644930299e-12      -9.047317190246e-15 
   81       2.697664215728e-10       7.165508552255e-14      -1.479743008837e-12       0.000000000000e+00       1.879573973262e-11       2.559007030173e-12      -9.312042188252e-15 
   82       2.729047514746e-10       7.379157069418e-14      -1.555157142339e-12       0.000000000000e+00       1.824829554444e-11       2.495868963339e-12      -9.564066214050e-15 
   83       2.760730691606e-10       7.593499169094e-14      -1.631556345815e-12       0.000000000000e+00       1.772114746746e-11       2.434960425037e-12      -9.774163429654e-15 
   84       2.792705980486e-10       7.808298379745e-14      -1.708870737661e-12       0.000000000000e+00       1.721229295271e-11       2.376020867947e-12      -9.916900808789e-15 
   85       2.824978511893e-10       8.023358756313e-14      -1.787047049265e-12       0.000000000000e+00       1.672142180856e-11       2.319013044363e-12      -9.991363255426e-15 
   86       2.857555145419e-10       8.238492727338e-14      -1.866035916221e-12       0.000000000000e+00       1.624851660376e-11       2.263941086641e-12      -1.000373304500e-14 
   87       2.890440413719e-10       8.453509689515e-14      -1.945787383228e-12       0.000000000000e+00       1.579334844139e-11       2.210785050293e-12      -9.961103088142e-15 
   88       2.923636401377e-10       8.668216082486e-14      -2.026250953881e-12       0.000000000000e+00       1.535546817159e-11       2.159499899758e-12      -9.871506242873e-15 
   89       2.957142623769e-10       8.882415463636e-14      -2.107375640477e-12       0.000000000000e+00       1.493419760416e-11       2.110014494171e-12      -9.743944626779e-15 
   90       2.990955905933e-10       9.095908582895e-14      -2.189110013804e-12       0.000000000000e+00       1.452862072125e-11       2.062230573134e-12      -9.588418929210e-15 
   91       3.025070261428e-10       9.308493457528e-14      -2.271402252949e-12       0.000000000000e+00       1.413757488999e-11       2.016021742480e-12      -9.415957723460e-15 
   92       3.059476771200e-10       9.519965446936e-14      -2.354200195087e-12       0.000000000000e+00       1.375964207517e-11       1.971232460047e-12      -9.238646778957e-15 
