# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.537480114249e-10       1.137371003841e-15       1.883278876782e-13       0.000000000000e+00       8.314920489384e-09       5.208998736596e-10      -9.374723363946e-13 
    3       1.450277369803e-10       2.493315705113e-15       2.741796238434e-13       0.000000000000e+00       5.163894583307e-09       3.665548885719e-10      -9.229308947733e-13 
    4       1.369345158565e-10       3.773050759149e-15       3.187411965714e-13       0.000000000000e+00       3.599711240076e-09       2.768120800240e-10      -8.350205896920e-13 
    5       1.306618614153e-10       4.626051968837e-15       3.324431019121e-13       0.000000000000e+00       2.691127128506e-09       2.187482425432e-10      -7.226930577159e-13 
    6       1.259903301496e-10       4.889569553680e-15       3.260209576480e-13       0.000000000000e+00       2.105354927995e-09       1.783786075186e-10      -6.017276600479e-13 
    7       1.226080090718e-10       4.597286054867e-15       3.084196248410e-13       0.000000000000e+00       1.700920225803e-09       1.488562558487e-10      -4.814957079884e-13 
    8       1.202032937931e-10       3.918146827923e-15       2.860640988447e-13       0.000000000000e+00       1.407561463050e-09       1.264547539779e-10      -3.680579064531e-13 
    9       1.185456255417e-10       3.074801869946e-15       2.632901598597e-13       0.000000000000e+00       1.186754477845e-09       1.089573962568e-10      -2.654895875762e-13 
   10       1.175158247031e-10       2.270226246409e-15       2.426659896178e-13       0.000000000000e+00       1.015686419033e-09       9.494654415309e-11      -1.763417074023e-13 
   11       1.169578699115e-10       1.641118657149e-15       2.255577884959e-13       0.000000000000e+00       8.545894058286e-10       8.362234458819e-11      -1.025754003096e-13 
   12       1.167836822147e-10       1.242953733684e-15       2.126605432276e-13       0.000000000000e+00       7.474243298902e-10       7.402435511150e-11      -4.336965788722e-14 
   13       1.169352826140e-10       1.061129854286e-15       2.041880124258e-13       0.000000000000e+00       6.594129389773e-10       6.600878172264e-11       1.390031413348e-15 
   14       1.173750178063e-10       1.037131541774e-15       1.999701277418e-13       0.000000000000e+00       5.861458571661e-10       5.924216931677e-11       3.277923107214e-14 
   15       1.180048322187e-10       1.098182593155e-15       1.996265304467e-13       0.000000000000e+00       5.244510306981e-10       5.354140158266e-11       5.248910400952e-14 
   16       1.187849096133e-10       1.181371829463e-15       2.027633521590e-13       0.000000000000e+00       4.719750265904e-10       4.856250423564e-11       6.185300682132e-14 
   17       1.197659688377e-10       1.247459638454e-15       2.088126513095e-13       0.000000000000e+00       4.269362982406e-10       4.421034526959e-11       6.282113978580e-14 
   18       1.208544714885e-10       1.283700276506e-15       2.170161035704e-13       0.000000000000e+00       3.878256405775e-10       4.045001866200e-11       5.762760017146e-14 
   19       1.220488118383e-10       1.301034533974e-15       2.268684640408e-13       0.000000000000e+00       3.540317024423e-10       3.720699520690e-11       4.791958783128e-14 
   20       1.233298119687e-10       1.320819374152e-15       2.377101976687e-13       0.000000000000e+00       3.242545697459e-10       3.431160977221e-11       3.563844292734e-14 
   21       1.246910945150e-10       1.364628645783e-15       2.490435285099e-13       0.000000000000e+00       2.980299356723e-10       3.173659736780e-11       2.218177209805e-14 
   22       1.260989859423e-10       1.454150925345e-15       2.603344797273e-13       0.000000000000e+00       2.747337439760e-10       2.945659295879e-11       8.900933314169e-15 
   23       1.275671154122e-10       1.596887159439e-15       2.712726226771e-13       0.000000000000e+00       2.540480464996e-10       2.743051947973e-11      -3.273972013039e-15 
   24       1.290984846919e-10       1.793269989906e-15       2.815863152194e-13       0.000000000000e+00       2.354965608778e-10       2.558972342381e-11      -1.356709812554e-14 
   25       1.306818248823e-10       2.037130204235e-15       2.910823425256e-13       0.000000000000e+00       2.188627356534e-10       2.392415421998e-11      -2.153990618691e-14 
   26       1.322870263616e-10       2.318504768164e-15       2.995988418471e-13       0.000000000000e+00       2.038470914779e-10       2.242364787165e-11      -2.697415324627e-14 
   27       1.339179178355e-10       2.630521620173e-15       3.070953984412e-13       0.000000000000e+00       1.902711598956e-10       2.106445812744e-11      -2.998734737993e-14 
   28       1.355777440043e-10       2.967519373769e-15       3.135788664348e-13       0.000000000000e+00       1.779025503138e-10       1.981082704457e-11      -3.089072797999e-14 
   29       1.372720480853e-10       3.330934592754e-15       3.190606305177e-13       0.000000000000e+00       1.666791201757e-10       1.865939368726e-11      -2.992968551617e-14 
   30       1.389930388631e-10       3.724855546830e-15       3.235654742920e-13       0.000000000000e+00       1.564811429108e-10       1.760722412984e-11      -2.744049939646e-14 
   31       1.407222301254e-10       4.153854550984e-15       3.271266338892e-13       0.000000000000e+00       1.471014798701e-10       1.664207452846e-11      -2.388101589672e-14 
   32       1.424653853384e-10       4.621787189285e-15       3.297545547099e-13       0.000000000000e+00       1.384925090025e-10       1.575654937390e-11      -1.969349305955e-14 
   33       1.442279796967e-10       5.132599028309e-15       3.314563846331e-13       0.000000000000e+00       1.305941690073e-10       1.493733040891e-11      -1.540837824839e-14 
   34       1.460084492903e-10       5.689725767781e-15       3.322373302132e-13       0.000000000000e+00       1.232967880962e-10       1.416678372363e-11      -1.157961865481e-14 
   35       1.478107626180e-10       6.292849335960e-15       3.320782056941e-13       0.000000000000e+00       1.165635165510e-10       1.344482895801e-11      -8.403491001866e-15 
   36       1.496344610985e-10       6.939930811351e-15       3.309488105790e-13       0.000000000000e+00       1.103407348758e-10       1.277378555912e-11      -5.968811192192e-15 
   37       1.514739284761e-10       7.628757561225e-15       3.288069137423e-13       0.000000000000e+00       1.045479073032e-10       1.215295881815e-11      -4.342361422850e-15 
   38       1.533305236098e-10       8.359553646136e-15       3.255774688356e-13       0.000000000000e+00       9.917047999551e-11       1.158116672822e-11      -3.522100572767e-15 
   39       1.552031737433e-10       9.133188747707e-15       3.211644905944e-13       0.000000000000e+00       9.419181036792e-11       1.105445608530e-11      -3.464990561801e-15 
   40       1.570842942259e-10       9.950475526183e-15       3.154548545152e-13       0.000000000000e+00       8.956490198873e-11       1.056500822879e-11      -4.096371119544e-15 
   41       1.589643194448e-10       1.081221078015e-14       3.083271525045e-13       0.000000000000e+00       8.522888677535e-11       1.010364136741e-11      -5.305718797034e-15 
   42       1.608486321017e-10       1.171932200957e-14       2.996850439635e-13       0.000000000000e+00       8.117129947555e-11       9.669081638472e-12      -6.938213441673e-15 
   43       1.627450509388e-10       1.267276368433e-14       2.894324391393e-13       0.000000000000e+00       7.738161215958e-11       9.261160892073e-12      -8.796260419139e-15 
   44       1.646588369946e-10       1.367347743092e-14       2.774635368517e-13       0.000000000000e+00       7.383253779486e-11       8.878119129956e-12      -1.063847042231e-14 
   45       1.665929819903e-10       1.472225036850e-14       2.636778202936e-13       0.000000000000e+00       7.048984981857e-11       8.517357609424e-12      -1.222600693920e-14 
   46       1.685498701204e-10       1.581923942902e-14       2.480319740203e-13       0.000000000000e+00       6.734849046703e-11       8.178277216737e-12      -1.348425387026e-14 
   47       1.705296122387e-10       1.696430496063e-14       2.305023450477e-13       0.000000000000e+00       6.440498440184e-11       7.860064466934e-12      -1.438507538434e-14 
   48       1.725292520824e-10       1.815713224873e-14       2.110708469373e-13       0.000000000000e+00       6.164654429477e-11       7.560801538569e-12      -1.490229792043e-14 
   49       1.745425054091e-10       1.939722343115e-14       1.897251901497e-13       0.000000000000e+00       5.905037705420e-11       7.277385440915e-12      -1.501193905614e-14 
