# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.406012197535e-10       5.926780593164e-15       4.525413770347e-13       0.000000000000e+00       8.880801973014e-09       4.487994003459e-10      -2.236392300061e-12 
    3       1.334365959774e-10       6.013032610017e-15       4.610606290120e-13       0.000000000000e+00       5.470103822652e-09       3.195928303997e-10      -1.456760990576e-12 
    4       1.266715866449e-10       4.067152933813e-15       3.939932155420e-13       0.000000000000e+00       3.802505303394e-09       2.421397409661e-10      -7.656242324358e-13 
    5       1.217669738628e-10       2.135510344056e-15       3.064306771615e-13       0.000000000000e+00       2.837076211656e-09       1.911603456931e-10      -2.823539713345e-13 
    6       1.185891344467e-10       1.031812824978e-15       2.255431205486e-13       0.000000000000e+00       2.215651813256e-09       1.555751455742e-10      -7.868197712695e-15 
    7       1.166987707407e-10       5.867266297187e-16       1.643842076933e-13       0.000000000000e+00       1.787296125537e-09       1.295978510818e-10       1.021825317483e-13 
    8       1.157283687219e-10       4.176772263373e-16       1.252865166975e-13       0.000000000000e+00       1.477378086386e-09       1.099120165955e-10       1.076463841033e-13 
    9       1.154548155999e-10       3.228900347030e-16       1.049281787183e-13       0.000000000000e+00       1.244502183812e-09       9.459310081442e-11       6.448564937657e-14 
   10       1.156762469046e-10       2.601779781049e-16       9.786838982171e-14       0.000000000000e+00       1.064033285999e-09       8.243772302446e-11       1.395290500426e-14 
   11       1.162951314342e-10       2.272926755818e-16       9.888027839219e-14       0.000000000000e+00       8.971814298061e-10       7.291564774266e-11      -2.031573198000e-14 
   12       1.172520154837e-10       2.150281124239e-16       1.039245512845e-13       0.000000000000e+00       7.839283752825e-10       6.455939793312e-11      -3.374187633930e-14 
   13       1.183553069769e-10       2.160102828010e-16       1.105756175035e-13       0.000000000000e+00       6.909484487000e-10       5.753858206056e-11      -3.012837066179e-14 
   14       1.197062798984e-10       2.318925017360e-16       1.179365047736e-13       0.000000000000e+00       6.135729219625e-10       5.148970046894e-11      -1.884136437691e-14 
   15       1.212407602675e-10       2.666326083688e-16       1.259906890018e-13       0.000000000000e+00       5.484359107865e-10       4.644450349514e-11      -8.057428575988e-15 
   16       1.228952922914e-10       3.207480072929e-16       1.350144358569e-13       0.000000000000e+00       4.930476040504e-10       4.214830828019e-11      -2.550269381902e-15 
   17       1.246687052500e-10       3.926945223835e-16       1.451706539640e-13       0.000000000000e+00       4.455278404033e-10       3.841564359738e-11      -2.942236684998e-15 
   18       1.265382136575e-10       4.809295297017e-16       1.564655742983e-13       0.000000000000e+00       4.042784693121e-10       3.513810939143e-11      -6.880219512310e-15 
   19       1.285172835575e-10       5.843425110182e-16       1.684728289005e-13       0.000000000000e+00       3.686464323135e-10       3.227215885598e-11      -1.170645545266e-14 
   20       1.305755390033e-10       7.016166743380e-16       1.804952350049e-13       0.000000000000e+00       3.372605121365e-10       2.971942018061e-11      -1.459910540342e-14 
   21       1.327087674410e-10       8.332002366250e-16       1.920047434649e-13       0.000000000000e+00       3.096288338075e-10       2.744056870424e-11      -1.499306588912e-14 
   22       1.348914996275e-10       9.803043460418e-16       2.025533438864e-13       0.000000000000e+00       2.850914681794e-10       2.538192023545e-11      -1.333508243036e-14 
   23       1.371374180313e-10       1.144916878128e-15       2.121471226214e-13       0.000000000000e+00       2.633118035120e-10       2.353226857855e-11      -1.077124696051e-14 
   24       1.394503617933e-10       1.329327857640e-15       2.209816007682e-13       0.000000000000e+00       2.437871891365e-10       2.187268325552e-11      -8.741558926593e-15 
   25       1.418319575134e-10       1.535138474473e-15       2.292112937992e-13       0.000000000000e+00       2.262882538388e-10       2.039300524828e-11      -7.761798048372e-15 
   26       1.442667341921e-10       1.763640759042e-15       2.369677755931e-13       0.000000000000e+00       2.104985767779e-10       1.906813384953e-11      -7.936926314686e-15 
   27       1.467495352704e-10       2.015662888259e-15       2.441771562728e-13       0.000000000000e+00       1.962291259772e-10       1.786726682279e-11      -8.765368438662e-15 
