# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       2.358427012619e-11       1.092928123743e-15       3.363462398241e-14       0.000000000000e+00       1.214084024241e-11       1.265925984608e-12      -9.856461191760e-16 
   41       2.393712753034e-11       1.187234889470e-15       3.231276277724e-14       0.000000000000e+00       1.154061334550e-11       1.209168348557e-12      -9.179778732633e-16 
   42       2.429329911194e-11       1.286649313287e-15       3.079348720785e-14       0.000000000000e+00       1.097921566578e-11       1.155172912930e-12      -9.172287306960e-16 
   43       2.465320475489e-11       1.391247102645e-15       2.907021665775e-14       0.000000000000e+00       1.045516402981e-11       1.104164365346e-12      -9.616722101976e-16 
   44       2.501677834918e-11       1.501094223855e-15       2.713600487938e-14       0.000000000000e+00       9.964655241115e-12       1.056229260067e-12      -1.024078093726e-15 
   45       2.538369467675e-11       1.616250748125e-15       2.498392174364e-14       0.000000000000e+00       9.502926238192e-12       1.011334894451e-12      -1.077844428114e-15 
   46       2.575424484904e-11       1.736784976860e-15       2.260843171349e-14       0.000000000000e+00       9.069254794869e-12       9.694226368431e-13      -1.118378996796e-15 
   47       2.612864037670e-11       1.862762661458e-15       2.000435736710e-14       0.000000000000e+00       8.663139595626e-12       9.303208669706e-13      -1.147533039368e-15 
   48       2.650672903487e-11       1.994242749894e-15       1.716647578772e-14       0.000000000000e+00       8.282791861189e-12       8.937051890321e-13      -1.167717571519e-15 
   49       2.688796238162e-11       2.131277121893e-15       1.408950170530e-14       0.000000000000e+00       7.925039588211e-12       8.590875336675e-13      -1.181936849623e-15 
   50       2.727170548699e-11       2.273907905376e-15       1.076830923125e-14       0.000000000000e+00       7.586283626607e-12       8.259556532976e-13      -1.193480667195e-15 
   51       2.765834059087e-11       2.422159181469e-15       7.198707129155e-15       0.000000000000e+00       7.265894020279e-12       7.942615300852e-13      -1.204825141262e-15 
   52       2.804840687406e-11       2.576042570144e-15       3.376844841857e-15       0.000000000000e+00       6.963570037100e-12       7.640467028784e-13      -1.218491402478e-15 
   53       2.844226844164e-11       2.735559082486e-15      -7.010132060140e-16       0.000000000000e+00       6.678323741265e-12       7.352997307460e-13      -1.237377682184e-15 
   54       2.884009794534e-11       2.900698742046e-15      -5.038493238474e-15       0.000000000000e+00       6.408433731214e-12       7.079523722811e-13      -1.264776722027e-15 
   55       2.924195307992e-11       3.071446805526e-15      -9.638612350608e-15       0.000000000000e+00       6.151970722709e-12       6.819128319405e-13      -1.303249825892e-15 
   56       2.964806584523e-11       3.247805101936e-15      -1.450212088719e-14       0.000000000000e+00       5.908633177211e-12       6.571839235923e-13      -1.350881583300e-15 
   57       3.005859645641e-11       3.429775331313e-15      -1.962875813745e-14       0.000000000000e+00       5.678286651329e-12       6.337675690810e-13      -1.404125233214e-15 
   58       3.047353428431e-11       3.617352810942e-15      -2.501770790996e-14       0.000000000000e+00       5.460408444016e-12       6.116279782408e-13      -1.458837958992e-15 
   59       3.089268509636e-11       3.810526353825e-15      -3.066758447178e-14       0.000000000000e+00       5.254063614166e-12       5.906892723700e-13      -1.510253751596e-15 
   60       3.131565829743e-11       4.009278147152e-15      -3.657641848771e-14       0.000000000000e+00       5.057880998212e-12       5.708331077043e-13      -1.552956272818e-15 
   61       3.174204760038e-11       4.213573190824e-15      -4.274198332471e-14       0.000000000000e+00       4.870434167680e-12       5.519316046276e-13      -1.582120382111e-15 
   62       3.217204929159e-11       4.423325117738e-15      -4.916289136296e-14       0.000000000000e+00       4.691538480378e-12       5.339601488752e-13      -1.597623754883e-15 
   63       3.260596073205e-11       4.638422450925e-15      -5.583771993232e-14       0.000000000000e+00       4.521203934032e-12       5.169058078116e-13      -1.600814206451e-15 
   64       3.304399268289e-11       4.858737922681e-15      -6.276468946496e-14       0.000000000000e+00       4.359245003395e-12       5.007330275115e-13      -1.593335323743e-15 
