# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       1.023905707569e+03 
       2.326967407118e-05       2.224891983087e+03 
       3.616373025385e-05       3.406298043648e+03 
       4.913726151694e-05       4.580240291559e+03 
       6.222535674519e-05       5.753697597022e+03 
       7.546398425925e-05       6.931950355074e+03 
       8.889031306114e-05       8.119547259038e+03 
       1.025430482400e-04       9.320700907314e+03 
       1.164627848241e-04       1.053949229762e+04 
       1.306923843984e-04       1.177999538005e+04 
       1.452773788140e-04       1.304636338278e+04 
       1.602664052592e-04       1.434289731100e+04 
       1.757116767896e-04       1.567410484748e+04 
       1.916694920592e-04       1.704475172753e+04 
       2.082007873531e-04       1.845991828975e+04 
       2.253717329846e-04       1.992504613301e+04 
       2.432543744979e-04       2.144599165178e+04 
       2.619273167265e-04       2.302907853562e+04 
       2.814764453069e-04       2.468115058087e+04 
       3.019956754356e-04       2.640961903970e+04 
       3.235877111086e-04       2.822252007536e+04 
       3.463647893982e-04       3.012855216476e+04 
       3.704493731400e-04       3.213711532802e+04 
       3.959747414598e-04       3.425833825446e+04 
       4.230854108700e-04       3.650307847360e+04 
       4.519373007024e-04       3.888290765687e+04 
       4.826975366868e-04       4.141005753268e+04 
       5.155437679602e-04       4.409731830518e+04 
       5.506628596178e-04       4.695789339347e+04 
       5.882488207355e-04       5.000517330070e+04 
       6.284998437510e-04       5.325246284761e+04 
       6.716143729589e-04       5.671260031249e+04 
       7.177861941321e-04       6.039753767515e+04 
       7.671986460617e-04       6.431784234481e+04 
       8.200181922824e-04       6.848217279565e+04 
       8.763877404929e-04       7.289673783638e+04 
       9.364202297721e-04       7.756484450341e+04 
       1.000193085873e-03       8.248649381953e+04 
       1.067744139097e-03       8.765814598598e+04 
       1.139069488995e-03       9.307267171473e+04 
       1.214123592691e-03       9.871947131645e+04 
       1.292821585146e-03       1.045848338262e+05 
       1.375043566260e-03       1.106519674316e+05 
       1.460640369998e-03       1.169024037185e+05 
       1.549440206739e-03       1.233167031120e+05 
       1.641255555047e-03       1.298742696373e+05 
       1.735889757970e-03       1.365542810070e+05 
       1.833142917693e-03       1.433362343727e+05 
       1.932816842085e-03       1.502003298727e+05 
       2.034718945141e-03       1.571277708492e+05 
       2.138665120595e-03       1.641009703288e+05 
       2.244481687023e-03       1.711036811897e+05 
       2.352006545691e-03       1.781210655634e+05 
       2.461089706729e-03       1.851396635208e+05 
       2.571593333874e-03       1.921473798922e+05 
       2.683391441209e-03       1.991333778320e+05 
       2.796369353385e-03       2.060880557172e+05 
       2.910423018044e-03       2.130028968544e+05 
       3.025458238157e-03       2.198704259533e+05 
       3.141389873900e-03       2.266840509619e+05 
       3.258141048979e-03       2.334380486544e+05 
       3.375642384775e-03       2.401274045715e+05 
       3.493831276973e-03       2.467477959937e+05 
       3.612651222911e-03       2.532954608627e+05 
       3.732051203381e-03       2.597672115376e+05 
       3.851985119443e-03       2.661602860861e+05 
       3.972411282778e-03       2.724723985560e+05 
       4.093291956816e-03       2.787015518349e+05 
       4.214592945137e-03       2.848461929258e+05 
       4.336283223305e-03       2.909049388889e+05 
       4.458334610212e-03       2.968768061064e+05 
       4.580721475085e-03       3.027609143747e+05 
       4.703420476514e-03       3.085565135868e+05 
       4.826410330102e-03       3.142623743027e+05 
       4.949671601620e-03       3.198802362077e+05 
       5.073186522822e-03       3.254082996203e+05 
       5.196938827396e-03       3.308469714321e+05 
       5.320913604738e-03       3.361970907699e+05 
       5.445097169534e-03       3.414589709903e+05 
       5.569476945340e-03       3.466315511116e+05 
       5.694041360547e-03       3.517000350137e+05 
       5.818779755339e-03       3.566959325153e+05 
       5.943682298366e-03       3.616041219544e+05 
       6.068739912061e-03       3.664240790023e+05 
       6.193944205599e-03       3.711591941735e+05 
       6.319287414666e-03       3.758115016143e+05 
       6.444762347267e-03       3.803823574108e+05 
       6.570362334913e-03       3.848578274813e+05 
       6.696081188603e-03       3.892512173234e+05 
       6.821913159065e-03       3.935603758742e+05 
       6.947852900830e-03       3.977887441812e+05 
       7.073895439691e-03       4.019353985721e+05 
       7.200036143231e-03       4.060000425073e+05 
       7.326270694071e-03       4.099843804339e+05 
       7.452595065570e-03       4.138858774046e+05 
       7.579005499726e-03       4.177125675701e+05 
       7.705498487058e-03       4.214715039950e+05 
       7.832070748261e-03       4.251419784869e+05 
       7.958719217469e-03       4.287353923275e+05 
       8.085441026969e-03       4.322529683412e+05 
       8.212233493217e-03       4.356966412119e+05 
       8.339094104040e-03       4.390656655000e+05 
       8.466020506906e-03       4.423610450615e+05 
       8.593010498167e-03       4.455838026858e+05 
       8.720062013184e-03       4.487347707886e+05 
