# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       3.766738595129e+02 
       2.326967407118e-05       8.184920194049e+02 
       3.616373025385e-05       1.253107020761e+03 
       4.913726151694e-05       1.684976238890e+03 
       6.222535674519e-05       2.116667056662e+03 
       7.546398425925e-05       2.550122022853e+03 
       8.889031306114e-05       2.987014508220e+03 
       1.025430482400e-04       3.428894241109e+03 
       1.164627848241e-04       3.877262536680e+03 
       1.306923843984e-04       4.333618117415e+03 
       1.452773788140e-04       4.799488870576e+03 
       1.602664052592e-04       5.276457047550e+03 
       1.757116767896e-04       5.766180932154e+03 
       1.916694920592e-04       6.270413740431e+03 
       2.082007873531e-04       6.791024424504e+03 
       2.253717329846e-04       7.330014836729e+03 
       2.432543744979e-04       7.889539424225e+03 
       2.619273167265e-04       8.471924542375e+03 
       2.814764453069e-04       9.079687883159e+03 
       3.019956754356e-04       9.715555893876e+03 
       3.235877111086e-04       1.038248491377e+04 
       3.463647893982e-04       1.108367493368e+04 
       3.704493731400e-04       1.182258402773e+04 
       3.959747414598e-04       1.260293833251e+04 
       4.230854108700e-04       1.342873210991e+04 
       4.519373007024e-04       1.430422233993e+04 
       4.826975366868e-04       1.523390882400e+04 
       5.155437679602e-04       1.622249681527e+04 
       5.506628596178e-04       1.727484358018e+04 
       5.882488207355e-04       1.839587520954e+04 
       6.284998437510e-04       1.959048627338e+04 
       6.716143729589e-04       2.086339971034e+04 
       7.177861941321e-04       2.221901240807e+04 
       7.671986460617e-04       2.366121189916e+04 
       8.200181922824e-04       2.519318345827e+04 
       8.763877404929e-04       2.681721117847e+04 
       9.364202297721e-04       2.853451165047e+04 
       1.000193085873e-03       3.034508525052e+04 
       1.067744139097e-03       3.224762975945e+04 
       1.139069488995e-03       3.423952245875e+04 
       1.214123592691e-03       3.631686394064e+04 
       1.292821585146e-03       3.847461022300e+04 
       1.375043566260e-03       4.070658394324e+04 
       1.460640369998e-03       4.300599095157e+04 
       1.549440206739e-03       4.536567982796e+04 
       1.641255555047e-03       4.777807373673e+04 
       1.735889757970e-03       5.023551258644e+04 
       1.833142917693e-03       5.273045380064e+04 
       1.932816842085e-03       5.525561341735e+04 
       2.034718945141e-03       5.780407653252e+04 
       2.138665120595e-03       6.036937326025e+04 
       2.244481687023e-03       6.294552661843e+04 
       2.352006545691e-03       6.552707806034e+04 
       2.461089706729e-03       6.810907595469e+04 
       2.571593333874e-03       7.068707073732e+04 
       2.683391441209e-03       7.325707575541e+04 
       2.796369353385e-03       7.581555876936e+04 
       2.910423018044e-03       7.835938666269e+04 
       3.025458238157e-03       8.088580942984e+04 
       3.141389873900e-03       8.339240199035e+04 
       3.258141048979e-03       8.587705888713e+04 
       3.375642384775e-03       8.833793540371e+04 
       3.493831276973e-03       9.077344130046e+04 
       3.612651222911e-03       9.318219259344e+04 
       3.732051203381e-03       9.556301661512e+04 
       3.851985119443e-03       9.791489730740e+04 
       3.972411282778e-03       1.002369937154e+05 
       4.093291956816e-03       1.025285711426e+05 
       4.214592945137e-03       1.047890582734e+05 
       4.336283223305e-03       1.070179463525e+05 
       4.458334610212e-03       1.092148735272e+05 
       4.580721475085e-03       1.113795159887e+05 
       4.703420476514e-03       1.135115977881e+05 
       4.826410330102e-03       1.156106666397e+05 
       4.949671601620e-03       1.176773625379e+05 
       5.073186522822e-03       1.197110234169e+05 
       5.196938827396e-03       1.217117989637e+05 
       5.320913604738e-03       1.236799978759e+05 
       5.445097169534e-03       1.256157354309e+05 
       5.569476945340e-03       1.275186213153e+05 
       5.694041360547e-03       1.293832123408e+05 
       5.818779755339e-03       1.312211003219e+05 
       5.943682298366e-03       1.330267223099e+05 
       6.068739912061e-03       1.347998854151e+05 
       6.193944205599e-03       1.365418369382e+05 
       6.319287414666e-03       1.382533251997e+05 
       6.444762347267e-03       1.399348490758e+05 
       6.570362334913e-03       1.415812825043e+05 
       6.696081188603e-03       1.431975203042e+05 
       6.821913159065e-03       1.447827711438e+05 
       6.947852900830e-03       1.463383009137e+05 
       7.073895439691e-03       1.478637698137e+05 
       7.200036143231e-03       1.493590687532e+05 
       7.326270694071e-03       1.508248247630e+05 
       7.452595065570e-03       1.522601052883e+05 
       7.579005499726e-03       1.536678659280e+05 
       7.705498487058e-03       1.550507013594e+05 
       7.832070748261e-03       1.564009934643e+05 
