# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.961069388799e-10       1.198317133847e-14       1.009036161226e-12       0.000000000000e+00       2.361925417660e-08       1.300278402068e-09      -5.281797963774e-12 
    3       3.746100021305e-10       1.535180311380e-14       1.133900371969e-12       0.000000000000e+00       1.452946403009e-08       9.223573386400e-10      -3.999256891950e-12 
    4       3.543448553607e-10       1.327234154147e-14       1.060255977677e-12       0.000000000000e+00       1.010405415425e-08       6.986589927239e-10      -2.616944450380e-12 
    5       3.391714332888e-10       8.848960207457e-15       9.027749998254e-13       0.000000000000e+00       7.545303268220e-09       5.519872040635e-10      -1.453513028212e-12 
    6       3.287652871376e-10       4.945045143084e-15       7.269949726286e-13       0.000000000000e+00       5.896846501037e-09       4.491884251186e-10      -5.967461217118e-13 
    7       3.219831536270e-10       2.671175549103e-15       5.707549287378e-13       0.000000000000e+00       4.759964852202e-09       3.737262945412e-10      -5.067231659677e-14 
    8       3.180228704455e-10       1.723575597625e-15       4.505945080091e-13       0.000000000000e+00       3.936077031381e-09       3.164829883129e-10       2.276430524718e-13 
    9       3.161728171021e-10       1.383274439843e-15       3.701671302327e-13       0.000000000000e+00       3.315782106665e-09       2.720641207103e-10       3.051613943152e-13 
   10       3.157719218271e-10       1.177770354027e-15       3.256649185276e-13       0.000000000000e+00       2.834734791007e-09       2.368835702400e-10       2.560008698632e-13 
   11       3.166513242950e-10       9.882333177897e-16       3.094595371457e-13       0.000000000000e+00       2.389182114850e-09       2.093051661523e-10       1.492291889973e-13 
   12       3.183767594287e-10       8.595038230125e-16       3.127809543197e-13       0.000000000000e+00       2.088071943324e-09       1.850731196711e-10       3.524802905419e-14 
   13       3.208034505183e-10       8.231402596710e-16       3.279370556981e-13       0.000000000000e+00       1.840830868729e-09       1.653962588904e-10      -5.154354248157e-14 
   14       3.237959960064e-10       8.563100694855e-16       3.491336926788e-13       0.000000000000e+00       1.635085492659e-09       1.482624708003e-10      -9.893236784022e-14 
   15       3.273159435203e-10       9.253399445094e-16       3.726748770946e-13       0.000000000000e+00       1.461865724780e-09       1.338510596240e-10      -1.075079674346e-13 
   16       3.311473213403e-10       1.022969370324e-15       3.966604833860e-13       0.000000000000e+00       1.314560271888e-09       1.214281502212e-10      -8.862448832961e-14 
   17       3.353699863943e-10       1.165059459074e-15       4.204544695979e-13       0.000000000000e+00       1.188173800278e-09       1.105851677872e-10      -5.717823843003e-14 
   18       3.398020863094e-10       1.367174792877e-15       4.448042515362e-13       0.000000000000e+00       1.078457813348e-09       1.011277834333e-10      -2.717725162272e-14 
   19       3.444758256644e-10       1.630259059559e-15       4.703495862082e-13       0.000000000000e+00       9.836787172825e-10       9.292036801380e-11      -6.079928032644e-15 
   20       3.493707654739e-10       1.948585751715e-15       4.974920779428e-13       0.000000000000e+00       9.001882240379e-10       8.563178609124e-11       1.214541587244e-15 
   21       3.544912197649e-10       2.320310704043e-15       5.260943330689e-13       0.000000000000e+00       8.266790205232e-10       7.913120604600e-11      -3.678498506887e-15 
   22       3.597624386845e-10       2.744022960620e-15       5.556183348877e-13       0.000000000000e+00       7.613967495988e-10       7.325789828186e-11      -1.576019848149e-14 
   23       3.651983736754e-10       3.220298169285e-15       5.851258038931e-13       0.000000000000e+00       7.034468917667e-10       6.798822551779e-11      -3.001800002766e-14 
   24       3.707807808757e-10       3.749803882432e-15       6.134282526417e-13       0.000000000000e+00       6.514927705510e-10       6.327529162102e-11      -4.110488019141e-14 
   25       3.765152623457e-10       4.332772481401e-15       6.397001268188e-13       0.000000000000e+00       6.049252301592e-10       5.905926538290e-11      -4.663412813989e-14 
   26       3.823695793301e-10       4.969974722626e-15       6.632341528906e-13       0.000000000000e+00       5.629032577115e-10       5.523495894659e-11      -4.565101969200e-14 
   27       3.883293021112e-10       5.667199371560e-15       6.836961155816e-13       0.000000000000e+00       5.249240777759e-10       5.175295907685e-11      -3.993956231820e-14 
   28       3.943607724810e-10       6.431727154088e-15       7.009575468329e-13       0.000000000000e+00       4.903342549849e-10       4.855938775123e-11      -3.240345610729e-14 
   29       4.004902589147e-10       7.267590591285e-15       7.152207342426e-13       0.000000000000e+00       4.589581091410e-10       4.564872800027e-11      -2.493896546472e-14 
   30       4.067305528401e-10       8.177748392780e-15       7.269057767101e-13       0.000000000000e+00       4.304597682694e-10       4.300451846417e-11      -1.946495352820e-14 
   31       4.130644377997e-10       9.165061203590e-15       7.364386396398e-13       0.000000000000e+00       4.042591617514e-10       4.058536489883e-11      -1.775096949235e-14 
   32       4.195005593291e-10       1.023257063923e-14       7.436555754839e-13       0.000000000000e+00       3.802215610608e-10       3.836696871966e-11      -1.926993051879e-14 
   33       4.260308118742e-10       1.138330128889e-14       7.481720005415e-13       0.000000000000e+00       3.581774348328e-10       3.631083242003e-11      -2.250295409718e-14 
