# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       6.899022389664e+00 
       2.326967407118e-05       1.499120426073e+01 
       3.616373025385e-05       2.295145568119e+01 
       4.913726151694e-05       3.086141632760e+01 
       6.222535674519e-05       3.876810945750e+01 
       7.546398425925e-05       4.670711409278e+01 
       8.889031306114e-05       5.470907908797e+01 
       1.025430482400e-04       6.280238870781e+01 
       1.164627848241e-04       7.101454049864e+01 
       1.306923843984e-04       7.937298452025e+01 
       1.452773788140e-04       8.790570500396e+01 
       1.602664052592e-04       9.664168189484e+01 
       1.757116767896e-04       1.056112877204e+02 
       1.916694920592e-04       1.148466337527e+02 
       2.082007873531e-04       1.243819510438e+02 
       2.253717329846e-04       1.342539047986e+02 
       2.432543744979e-04       1.445019550925e+02 
       2.619273167265e-04       1.551687106108e+02 
       2.814764453069e-04       1.663002844904e+02 
       3.019956754356e-04       1.779466133555e+02 
       3.235877111086e-04       1.901618444484e+02 
       3.463647893982e-04       2.030045876453e+02 
       3.704493731400e-04       2.165381797837e+02 
       3.959747414598e-04       2.308308674353e+02 
       4.230854108700e-04       2.459558080586e+02 
       4.519373007024e-04       2.619909709623e+02 
       4.826975366868e-04       2.790187728843e+02 
       5.155437679602e-04       2.971253935421e+02 
       5.506628596178e-04       3.163997968739e+02 
       5.882488207355e-04       3.369322073802e+02 
       6.284998437510e-04       3.588122722380e+02 
       6.716143729589e-04       3.821264950858e+02 
       7.177861941321e-04       4.069554077304e+02 
       7.671986460617e-04       4.333702128149e+02 
       8.200181922824e-04       4.614292506793e+02 
       8.763877404929e-04       4.911743559477e+02 
       9.364202297721e-04       5.226278112563e+02 
       1.000193085873e-03       5.557896234964e+02 
       1.067744139097e-03       5.906359416916e+02 
       1.139069488995e-03       6.271187290771e+02 
       1.214123592691e-03       6.651665655080e+02 
       1.292821585146e-03       7.046870672292e+02 
       1.375043566260e-03       7.455670918983e+02 
       1.460640369998e-03       7.876822003212e+02 
       1.549440206739e-03       8.309014096709e+02 
       1.641255555047e-03       8.750859453613e+02 
       1.735889757970e-03       9.200955079237e+02 
       1.833142917693e-03       9.657919502515e+02 
       1.932816842085e-03       1.012041861928e+03 
       2.034718945141e-03       1.058718592066e+03 
       2.138665120595e-03       1.105703640574e+03 
       2.244481687023e-03       1.152887535204e+03 
       2.352006545691e-03       1.200170299187e+03 
       2.461089706729e-03       1.247461240231e+03 
       2.571593333874e-03       1.294678861727e+03 
       2.683391441209e-03       1.341750145581e+03 
       2.796369353385e-03       1.388610396567e+03 
       2.910423018044e-03       1.435202229656e+03 
       3.025458238157e-03       1.481475276740e+03 
       3.141389873900e-03       1.527385120919e+03 
       3.258141048979e-03       1.572893199403e+03 
       3.375642384775e-03       1.617965725031e+03 
       3.493831276973e-03       1.662573571547e+03 
       3.612651222911e-03       1.706691390402e+03 
       3.732051203381e-03       1.750297703441e+03 
       3.851985119443e-03       1.793373900910e+03 
       3.972411282778e-03       1.835904580184e+03 
       4.093291956816e-03       1.877876284826e+03 
       4.214592945137e-03       1.919278550826e+03 
       4.336283223305e-03       1.960102060005e+03 
       4.458334610212e-03       2.000340184803e+03 
       4.580721475085e-03       2.039986994452e+03 
       4.703420476514e-03       2.079037434770e+03 
       4.826410330102e-03       2.117483221858e+03 
       4.949671601620e-03       2.155336077623e+03 
       5.073186522822e-03       2.192583875904e+03 
       5.196938827396e-03       2.229229358317e+03 
       5.320913604738e-03       2.265278178854e+03 
       5.445097169534e-03       2.300732448895e+03 
       5.569476945340e-03       2.335585019601e+03 
       5.694041360547e-03       2.369736195499e+03 
       5.818779755339e-03       2.403398288077e+03 
       5.943682298366e-03       2.436469408380e+03 
       6.068739912061e-03       2.468946023506e+03 
       6.193944205599e-03       2.500850978564e+03 
       6.319287414666e-03       2.532197979524e+03 
       6.444762347267e-03       2.562996163621e+03 
       6.570362334913e-03       2.593151643752e+03 
       6.696081188603e-03       2.622754071654e+03 
       6.821913159065e-03       2.651788953580e+03 
       6.947852900830e-03       2.680279475125e+03 
       7.073895439691e-03       2.708219412635e+03 
       7.200036143231e-03       2.735606768041e+03 
       7.326270694071e-03       2.762453025816e+03 
       7.452595065570e-03       2.788741105622e+03 
       7.579005499726e-03       2.814525141139e+03 
       7.705498487058e-03       2.839852655543e+03 
       7.832070748261e-03       2.864584118131e+03 
       7.958719217469e-03       2.888796350135e+03 
       8.085441026969e-03       2.912497590880e+03 
       8.212233493217e-03       2.935700876165e+03 
       8.339094104040e-03       2.958401183257e+03 
       8.466020506906e-03       2.980605276084e+03 
       8.593010498167e-03       3.002320046148e+03 
       8.720062013184e-03       3.023551102221e+03 
       8.847173117248e-03       3.044303064987e+03 
       8.974341997231e-03       3.064574799883e+03 
       9.101566953904e-03       3.084382559875e+03 
       9.228846394849e-03       3.103726946304e+03 
       9.356178827935e-03       3.122611407210e+03 
       9.483562855287e-03       3.141044582591e+03 
       9.610997167722e-03       3.159029995673e+03 
       9.738480539603e-03       3.176576560468e+03 
       9.866011824080e-03       3.193670006394e+03 
       9.993589948689e-03       3.210347902389e+03 
       1.012121391127e-02       3.226577165514e+03 
       1.024888277620e-02       3.242390299080e+03 
       1.037659567085e-02       3.257796257157e+03 
       1.050435178240e-02       3.272775347465e+03 
       1.063215035476e-02       3.287337035677e+03 
       1.075999068579e-02       3.301511972167e+03 
       1.088787212472e-02       3.315262634510e+03 
       1.101579406970e-02       3.328635782936e+03 
       1.114375596555e-02       3.341613097320e+03 
       1.127175730171e-02       3.354204238409e+03 
       1.139979761025e-02       3.366411507188e+03 
       1.152787646409e-02       3.378239559867e+03 
       1.165599347531e-02       3.389695131795e+03 
       1.178414829358e-02       3.400782033974e+03 
       1.191234060471e-02       3.411502997607e+03 
       1.204057012930e-02       3.421861062497e+03 
       1.216883662147e-02       3.431860960851e+03 
       1.229713986770e-02       3.441513866408e+03 
       1.242547968574e-02       3.450813344041e+03 
       1.255385592360e-02       3.459775088628e+03 
       1.268226845859e-02       3.468393255177e+03 
       1.281071719650e-02       3.476681546697e+03 
       1.293920207075e-02       3.484629122951e+03 
       1.306772304166e-02       3.492253632698e+03 
       1.319628009576e-02       3.499557052256e+03 
       1.332487324514e-02       3.506528924650e+03 
       1.345350252690e-02       3.513196582121e+03 
       1.358216800256e-02       3.519553908406e+03 
       1.371086975761e-02       3.525591186692e+03 
       1.383960790101e-02       3.531321395557e+03 
       1.396838256483e-02       3.536750453535e+03 
       1.409719390384e-02       3.541888421169e+03 
       1.422604209517e-02       3.546736464463e+03 
       1.435492733802e-02       3.551298770081e+03 
       1.448384985339e-02       3.555549934017e+03 
       1.461280988382e-02       3.559535621965e+03 
       1.474180769318e-02       3.563243135822e+03 
       1.487084356650e-02       3.566672682658e+03 
       1.499991780983e-02       3.569823426366e+03 
       1.512903075006e-02       3.572710457355e+03 
       1.525818273484e-02       3.575345454009e+03 
       1.538737413253e-02       3.577694586372e+03 
       1.551660533208e-02       3.579791823843e+03 
       1.564587674306e-02       3.581639327926e+03 
       1.577518879559e-02       3.583227483835e+03 
       1.590454194039e-02       3.584584081190e+03 
       1.603393664878e-02       3.585682318601e+03 
       1.616337341274e-02       3.586435462247e+03 
       1.629285274500e-02       3.587162723991e+03 
       1.642237517907e-02       3.587540370069e+03 
       1.655194126939e-02       3.587689897172e+03 
       1.668155159146e-02       3.587614841009e+03 
       1.681120674194e-02       3.587314197828e+03 
       1.694090733885e-02       3.586801857018e+03 
       1.707065402172e-02       3.586047171374e+03 
       1.720044745181e-02       3.585081543247e+03 
       1.733028831227e-02       3.583902587982e+03 
       1.746017730845e-02       3.582519555134e+03 
