# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.926856392559e-09       8.854432526307e-14       7.455824801148e-12       0.000000000000e+00       1.745239941258e-07       9.607830057112e-09      -3.902750145755e-11 
    3       2.768014320963e-09       1.134353344276e-13       8.378453459074e-12       0.000000000000e+00       1.073590248057e-07       6.815350118471e-09      -2.955073352865e-11 
    4       2.618274014628e-09       9.807007621409e-14       7.834290898285e-12       0.000000000000e+00       7.465942297242e-08       5.162430491259e-09      -1.933674935165e-11 
    5       2.506156747725e-09       6.538546339011e-14       6.670655118422e-12       0.000000000000e+00       5.575266913232e-08       4.078664416717e-09      -1.074008930598e-11 
    6       2.429265150041e-09       3.653921597399e-14       5.371806636393e-12       0.000000000000e+00       4.357212960294e-08       3.319078472192e-09      -4.409390570148e-12 
    7       2.379151585060e-09       1.973746598241e-14       4.217340187185e-12       0.000000000000e+00       3.517164732186e-08       2.761484556010e-09      -3.744205899963e-13 
    8       2.349888830465e-09       1.273559678160e-14       3.329468097549e-12       0.000000000000e+00       2.908389399458e-08       2.338510555001e-09       1.682067285246e-12 
    9       2.336218682524e-09       1.022109243622e-14       2.735185691270e-12       0.000000000000e+00       2.450049999798e-08       2.010297050434e-09       2.254854661823e-12 
   10       2.333256444848e-09       8.702611217563e-15       2.406356352454e-12       0.000000000000e+00       2.094601439634e-08       1.750345989418e-09       1.891604788794e-12 
   11       2.339754399016e-09       7.302111423980e-15       2.286613880319e-12       0.000000000000e+00       1.765380067719e-08       1.546567614496e-09       1.102662849099e-12 
   12       2.352503736015e-09       6.350921965485e-15       2.311156018145e-12       0.000000000000e+00       1.542888072783e-08       1.367515663654e-09       2.604496640581e-13 
   13       2.370434692610e-09       6.082229555998e-15       2.423145301471e-12       0.000000000000e+00       1.360200255768e-08       1.222122235494e-09      -3.808581269339e-13 
   14       2.392546779100e-09       6.327323141508e-15       2.579768441230e-12       0.000000000000e+00       1.208173843180e-08       1.095519714109e-09      -7.310168159715e-13 
   15       2.418555868746e-09       6.837388760561e-15       2.753715573514e-12       0.000000000000e+00       1.080180784950e-08       9.890329884627e-10      -7.943824024565e-13 
   16       2.446866134394e-09       7.558778064812e-15       2.930946563968e-12       0.000000000000e+00       9.713359594407e-09       8.972394139737e-10      -6.548513160065e-13 
   17       2.478067643365e-09       8.608689701690e-15       3.106761662905e-12       0.000000000000e+00       8.779482865531e-09       8.171200084891e-10      -4.224932113975e-13 
   18       2.510816678273e-09       1.010213124161e-14       3.286683567644e-12       0.000000000000e+00       7.968785283160e-09       7.472388649493e-10      -2.008142368550e-13 
   19       2.545351200560e-09       1.204607564687e-14       3.475439478601e-12       0.000000000000e+00       7.268457225324e-09       6.865938119873e-10      -4.492492931067e-14 
   20       2.581520185413e-09       1.439820943300e-14       3.675996872693e-12       0.000000000000e+00       6.651541287013e-09       6.327380712798e-10       8.974315922626e-15 
   21       2.619355509421e-09       1.714490595912e-14       3.887340540376e-12       0.000000000000e+00       6.108377658455e-09       5.847049206500e-10      -2.718063182722e-14 
   22       2.658304841728e-09       2.027573959277e-14       4.105495046079e-12       0.000000000000e+00       5.626003296329e-09       5.413067200944e-10      -1.164529907100e-13 
   23       2.698471270326e-09       2.379496382813e-14       4.323527389898e-12       0.000000000000e+00       5.197808545882e-09       5.023688124177e-10      -2.218046861821e-13 
   24       2.739719990296e-09       2.770751124728e-14       4.532655771439e-12       0.000000000000e+00       4.813916629649e-09       4.675446794639e-10      -3.037262656742e-13 
   25       2.782092395576e-09       3.201509892897e-14       4.726780123557e-12       0.000000000000e+00       4.469826461305e-09       4.363922250759e-10      -3.445821889504e-13 
   26       2.825350272195e-09       3.672342203575e-14       4.900674362435e-12       0.000000000000e+00       4.159323749501e-09       4.081342102785e-10      -3.373179454775e-13 
   27       2.869386998158e-09       4.187525408028e-14       5.051868952653e-12       0.000000000000e+00       3.878693458365e-09       3.824055179045e-10      -2.951156665359e-13 
   28       2.913953871079e-09       4.752439275458e-14       5.179414636517e-12       0.000000000000e+00       3.623107317311e-09       3.588080402236e-10      -2.394309549760e-13 
   29       2.959244990196e-09       5.370063458307e-14       5.284806128437e-12       0.000000000000e+00       3.391267215502e-09       3.373010120388e-10      -1.842754148681e-13 
   30       3.005354872085e-09       6.042584163719e-14       5.371147562748e-12       0.000000000000e+00       3.180691376075e-09       3.177627994393e-10      -1.438276335829e-13 
   31       3.052156303375e-09       6.772115138346e-14       5.441586421718e-12       0.000000000000e+00       2.987093624687e-09       2.998875380330e-10      -1.311629093894e-13 
   32       3.099713166415e-09       7.560903848955e-14       5.494912765533e-12       0.000000000000e+00       2.809478444701e-09       2.834956842155e-10      -1.423865976258e-13 
   33       3.147965568811e-09       8.411185181466e-14       5.528284883651e-12       0.000000000000e+00       2.646593159350e-09       2.683027777505e-10      -1.662755902158e-13 
   34       3.196707398700e-09       9.325013473599e-14       5.538543952920e-12       0.000000000000e+00       2.496162446564e-09       2.539539018137e-10      -1.903244837781e-13 
   35       3.245985120347e-09       1.030389511222e-13       5.522992630281e-12       0.000000000000e+00       2.357419212757e-09       2.404903035177e-10      -2.084680755063e-13 
   36       3.295801799575e-09       1.134899941731e-13       5.478839668346e-12       0.000000000000e+00       2.229253399732e-09       2.280299775009e-10      -2.158777004464e-13 
   37       3.346070142077e-09       1.246143361866e-13       5.403546812611e-12       0.000000000000e+00       2.110000511435e-09       2.166278030762e-10      -2.086827474020e-13 
   38       3.396875665251e-09       1.364291975203e-13       5.296802928769e-12       0.000000000000e+00       1.999354401904e-09       2.062380324755e-10      -1.901732108981e-13 
   39       3.448276196916e-09       1.489532777957e-13       5.159216703452e-12       0.000000000000e+00       1.896965807794e-09       1.967281581308e-10      -1.667278116038e-13 
   40       3.500216034556e-09       1.622049155167e-13       4.991820800456e-12       0.000000000000e+00       1.801860454535e-09       1.878800745657e-10      -1.462828543041e-13 
   41       3.552584716618e-09       1.762012805431e-13       4.795639203103e-12       0.000000000000e+00       1.712778884586e-09       1.794564944962e-10      -1.362399961573e-13 
   42       3.605445266226e-09       1.909556892421e-13       4.570158716302e-12       0.000000000000e+00       1.629460081427e-09       1.714428613177e-10      -1.361288135422e-13 
   43       3.658859999676e-09       2.064793775959e-13       4.314402689972e-12       0.000000000000e+00       1.551683922599e-09       1.638725216294e-10      -1.427248107366e-13 
   44       3.712819105371e-09       2.227821358729e-13       4.027340209571e-12       0.000000000000e+00       1.478885963702e-09       1.567583212232e-10      -1.519866650575e-13 
   45       3.767274316671e-09       2.398728794311e-13       3.707942752745e-12       0.000000000000e+00       1.410359303729e-09       1.500954065961e-10      -1.599662965975e-13 
   46       3.822268838348e-09       2.577617450976e-13       3.355388772953e-12       0.000000000000e+00       1.345996754813e-09       1.438750760394e-10      -1.659821599885e-13 
   47       3.877834061361e-09       2.764584912453e-13       2.968909872668e-12       0.000000000000e+00       1.285723915133e-09       1.380718588462e-10      -1.703090035472e-13 
   48       3.933947393541e-09       2.959718665292e-13       2.547730902314e-12       0.000000000000e+00       1.229275306308e-09       1.326376104106e-10      -1.733046537287e-13 
   49       3.990527438887e-09       3.163095705831e-13       2.091067458265e-12       0.000000000000e+00       1.176180161299e-09       1.274998948172e-10      -1.754149817123e-13 
   50       4.047479965440e-09       3.374778557451e-13       1.598158791204e-12       0.000000000000e+00       1.125904318873e-09       1.225826877845e-10      -1.771282361462e-13 
   51       4.104861702626e-09       3.594802959711e-13       1.068382866492e-12       0.000000000000e+00       1.078354285254e-09       1.178788628336e-10      -1.788119053809e-13 
   52       4.162752671974e-09       3.823186158178e-13       5.011682107792e-13       0.000000000000e+00       1.033485427838e-09       1.133945848761e-10      -1.808401583811e-13 
   53       4.221206911467e-09       4.059929653435e-13      -1.040395844772e-13       0.000000000000e+00       9.911511239509e-10       1.091281559273e-10      -1.836431308160e-13 
   54       4.280250044896e-09       4.305018639120e-13      -7.477786986390e-13       0.000000000000e+00       9.510958949490e-10       1.050694480644e-10      -1.877095088754e-13 
   55       4.339890634920e-09       4.558431234236e-13      -1.430496908319e-12       0.000000000000e+00       9.130334096638e-10       1.012048376209e-10      -1.934194237606e-13 
   56       4.400163113372e-09       4.820170153279e-13      -2.152305574555e-12       0.000000000000e+00       8.769189158082e-10       9.753474221176e-11      -2.004886033510e-13 
   57       4.461091258286e-09       5.090237919323e-13      -2.913166004440e-12       0.000000000000e+00       8.427324602138e-10       9.405944706407e-11      -2.083906616370e-13 
   58       4.522673492156e-09       5.368627582604e-13      -3.712957064423e-12       0.000000000000e+00       8.103964671669e-10       9.077364044624e-11      -2.165107501127e-13 
   59       4.584880988312e-09       5.655322540148e-13      -4.551473093502e-12       0.000000000000e+00       7.797721791042e-10       8.766606096043e-11      -2.241415303209e-13 
   60       4.647655777299e-09       5.950296355398e-13      -5.428421816418e-12       0.000000000000e+00       7.506560973096e-10       8.471914483473e-11      -2.304791463971e-13 
   61       4.710937560756e-09       6.253497083601e-13      -6.343472771530e-12       0.000000000000e+00       7.228365210265e-10       8.191391305133e-11      -2.348074839896e-13 
   62       4.774755470169e-09       6.564796544613e-13      -7.296420017793e-12       0.000000000000e+00       6.962860469242e-10       7.924671252944e-11      -2.371083885196e-13 
   63       4.839153637818e-09       6.884029291941e-13      -8.287052412240e-12       0.000000000000e+00       6.710061587967e-10       7.671562389579e-11      -2.375818935157e-13 
   64       4.904163343430e-09       7.211006443566e-13      -9.315105843587e-12       0.000000000000e+00       6.469693222559e-10       7.431537047998e-11      -2.364719289065e-13 
   65       4.969802031422e-09       7.545515009951e-13      -1.038026274822e-11       0.000000000000e+00       6.241173323047e-10       7.203713186284e-11      -2.340682677488e-13 
   66       5.036072328141e-09       7.887317222049e-13      -1.148215162619e-11       0.000000000000e+00       6.023596609110e-10       6.986835742462e-11      -2.307084729570e-13 
   67       5.102961059113e-09       8.236149859318e-13      -1.262034655717e-11       0.000000000000e+00       5.815718045810e-10       6.779257989332e-11      -2.267798440316e-13 
   68       5.170452088276e-09       8.591750735353e-13      -1.379438835799e-11       0.000000000000e+00       5.616285503809e-10       6.579364016882e-11      -2.226474649245e-13 
   69       5.238570053446e-09       8.953945888833e-13      -1.500385411529e-11       0.000000000000e+00       5.425152949591e-10       6.386977264613e-11      -2.184170662108e-13 
   70       5.307343768061e-09       9.322578933734e-13      -1.624830093721e-11       0.000000000000e+00       5.242364168357e-10       6.202205211282e-11      -2.141273889647e-13 
   71       5.376792565314e-09       9.697485487061e-13      -1.752724562675e-11       0.000000000000e+00       5.067816079565e-10       6.025016268762e-11      -2.098198878634e-13 
   72       5.446925668905e-09       1.007849319142e-12      -1.884016475121e-11       0.000000000000e+00       4.901251143216e-10       5.855232418902e-11      -2.055387879189e-13 
   73       5.517741563781e-09       1.046542173761e-12      -2.018649471170e-11       0.000000000000e+00       4.742249766140e-10       5.692521850389e-11      -2.013311412111e-13 
   74       5.589227366890e-09       1.085808288718e-12      -2.156563181260e-11       0.000000000000e+00       4.590222708280e-10       5.536391595612e-11      -1.972468836195e-13 
   75       5.661358197922e-09       1.125628049501e-12      -2.297693233103e-11       0.000000000000e+00       4.444403488979e-10       5.386180167528e-11      -1.933388915555e-13 
